Year,State,Minimum_Wage,Voter_Turnout, Median_Household_Income 
1996,New York,4.25,50.9," $35,410 "
1996,North Carolina,4.25,54," $35,601 "
1996,North Dakota,4.25,65.8," $31,470 "
1996,Ohio,4.25,58.7," $34,070 "
1996,Oklahoma,4.25,58.5," $27,437 "
1996,Oregon,4.75,61.1," $35,492 "
1996,Pennsylvania,4.25,55," $34,899 "
1996,Rhode Island,4.45,60.6," $36,986 "
1996,South Carolina,0,54.5," $34,665 "
1996,South Dakota,4.25,64.3," $29,526 "
1996,Tennessee,0,53.1," $30,790 "
1996,Texas,3.35,46.2," $33,072 "
1996,Utah,4.25,53," $37,038 "
1996,Vermont,4.75,59.5," $32,358 "
1996,Virginia,4.25,56.4," $39,211 "
1996,Washington,4.9,60," $36,676 "
1996,West Virginia,4.25,50.2," $25,247 "
1996,Wisconsin,4.25,62.4," $40,001 "
1996,Wyoming,1.6,66.2," $30,953 "
,,,,
2000,Alabama,0,59.6," $35,424 "
2000,Alaska,5.65,65.5," $52,847 "
2000,Arizona,0,46.7," $39,783 "
2000,Arkansas,5.15,49.4," $29,697 "
2000,California,5.75,46.4," $46,816 "
2000,Colorado,5.15,53.6," $48,240 "
2000,Connecticut,6.15,55.2," $50,172 "
2000,Delaware,5.65,62.2," $50,365 "
2000,District of Columbia,6.15,65.6," $41,222 "
2000,Florida,0,51.6," $38,856 "
2000,Georgia,3.25,49," $41,901 "
2000,Hawaii,5.25,39.7," $51,546 "
2000,Idaho,5.15,53.9," $37,611 "
2000,Illinois,5.15,56.8," $46,064 "
2000,Indiana,5.15,58.5," $40,865 "
2000,Iowa,5.15,64.1," $40,991 "
2000,Kansas,2.65,60.2," $41,059 "
2000,Kentucky,5.15,54.9," $36,265 "
2000,Louisiana,0,64.6," $30,718 "
2000,Maine,5.15,69.2," $37,266 "
2000,Maryland,5.15,57.1," $54,535 "
2000,Massachusetts,6,60.1," $46,753 "
2000,Michigan,5.15,60.1," $45,512 "
2000,Minnesota,4.9,67.8," $54,251 "
2000,Mississippi,0,59.8," $34,299 "
2000,Missouri,5.15,65.4," $45,097 "
2000,Montana,4,62.2," $32,777 "
2000,Nebraska,5.15,58.9," $41,750 "
2000,Nevada,5.15,46.5," $45,758 "
2000,New Hampshire,5.15,63.3," $50,926 "
2000,New Jersey,5.15,55.2," $50,405 "
2000,New Mexico,4.25,51.3," $35,093 "
2000,New York,4.25,51," $40,744 "
2000,North Carolina,5.15,53.2," $38,317 "
2000,North Dakota,5.15,69.8," $35,996 "
2000,Ohio,2.8,58.1," $42,962 "
2000,Oklahoma,2,58.3," $32,432 "
2000,Oregon,6.5,60.8," $42,499 "
2000,Pennsylvania,5.15,55.7," $42,176 "
2000,Rhode Island,5.65,60.1," $42,197 "
2000,South Carolina,0,58.9," $37,570 "
2000,South Dakota,5.15,58.7," $36,475 "
2000,Tennessee,0,52.3," $34,096 "
2000,Texas,3.35,48.2," $38,609 "
2000,Utah,5.15,56.3," $47,550 "
2000,Vermont,5.75,63.3," $39,594 "
2000,Virginia,5.15,57.2," $47,163 "
2000,Washington,6.5,58.6," $42,525 "
2000,West Virginia,5.15,52.1," $29,411 "
2000,Wisconsin,5.15,67.8," $45,088 "
2000,Wyoming,1.6,62.5," $39,629 "
,,,,
,,,,
2004,Alabama,0,61.8," $36,629 "
2004,Alaska,7.15,65," $55,063 "
2004,Arizona,0,54.3," $43,846 "
2004,Arkansas,5.15,56.7," $34,984 "
2004,California,6.75,49.1," $49,222 "
2004,Colorado,5.15,61.7," $50,886 "
2004,Connecticut,7.1,58.5," $55,100 "
2004,Delaware,6.15,62.8," $48,049 "
2004,District of Columbia,6.15,62," $43,451 "
2004,Florida,0,56.1," $40,535 "
2004,Georgia,5.15,52.6," $40,984 "
2004,Hawaii,6.25,46.2," $56,242 "
2004,Idaho,5.15,58.7," $44,358 "
2004,Illinois,5.5,61," $46,077 "
2004,Indiana,5.15,57.3," $42,329 "
2004,Iowa,5.15,68.8," $43,391 "
2004,Kansas,2.65,59.7," $41,066 "
2004,Kentucky,5.15,63.4," $35,610 "
2004,Louisiana,0,63.1," $36,429 "
2004,Maine,6.25,72," $41,329 "
2004,Maryland,5.15,59.7," $57,103 "
2004,Massachusetts,6.75,63.7," $52,019 "
2004,Michigan,5.15,64.7," $42,256 "
2004,Minnesota,4.9,76.7," $56,104 "
2004,Mississippi,0,60.7," $34,755 "
2004,Missouri,5.15,66.3," $42,137 "
2004,Montana,4,69.9," $33,956 "
2004,Nebraska,5.15,61.3," $43,786 "
2004,Nevada,5.15,51.3," $47,204 "
2004,New Hampshire,5.15,68.9," $56,815 "
2004,New Jersey,5.15,57.6," $55,275 "
2004,New Mexico,5.15,60.9," $39,562 "
2004,New York,5.15,53.1," $44,649 "
2004,North Carolina,5.15,58.2," $40,238 "
2004,North Dakota,5.15,70.8," $39,220 "
2004,Ohio,2.8,64.8," $43,055 "
2004,Oklahoma,2,59.2," $39,614 "
2004,Oregon,7.05,70.6," $40,994 "
2004,Pennsylvania,5.15,62.5," $44,106 "
2004,Rhode Island,6.75,57.4," $47,935 "
2004,South Carolina,0,62," $38,691 "
2004,South Dakota,5.15,67.1," $41,107 "
2004,Tennessee,0,52.7," $38,072 "
2004,Texas,5.15,50.3," $41,397 "
2004,Utah,5.15,62.8," $50,871 "
2004,Vermont,6.75,65.4," $47,329 "
2004,Virginia,5.15,58.4," $51,141 "
2004,Washington,7.16,62," $49,922 "
2004,West Virginia,5.15,57.2," $33,373 "
2004,Wisconsin,5.15,73," $45,732 "
2004,Wyoming,5.15,66.3," $45,397 "
,,,,
,,,,
2008,Alabama,0,60.8," $44,476 "
2008,Alaska,7.15,62.4," $63,989 "
2008,Arizona,6.9,53.3," $46,914 "
2008,Arkansas,6.25,51.8," $39,586 "
2008,California,8,51.2," $57,014 "
2008,Colorado,7.02,62.5," $60,943 "
2008,Connecticut,7.65,60.8," $64,682 "
2008,Delaware,7.15,63," $50,702 "
2008,District of Columbia,7,65.3," $55,590 "
2008,Florida,6.79,56.5," $44,857 "
2008,Georgia,5.15,59.6," $46,227 "
2008,Hawaii,7.25,46.8," $61,521 "
2008,Idaho,5.85,58.8," $47,420 "
2008,Illinois,7.75,57.1," $53,254 "
2008,Indiana,5.85,58.8," $46,520 "
2008,Iowa,7.25,66.9," $50,142 "
2008,Kansas,2.65,59.8," $47,877 "
2008,Kentucky,5.85,61.4," $41,148 "
2008,Louisiana,0,68," $39,563 "
2008,Maine,7,70.2," $47,228 "
2008,Maryland,6.15,61.9," $63,711 "
2008,Massachusetts,8,61.3," $60,320 "
2008,Michigan,7.15,65," $49,788 "
2008,Minnesota,5.25,70.8," $54,925 "
2008,Mississippi,0,68.2," $36,446 "
2008,Missouri,6.65,64.2," $46,038 "
2008,Montana,4,64.7," $42,900 "
2008,Nebraska,5.85,64.5," $50,728 "
2008,Nevada,6.33,52.8," $54,744 "
2008,New Hampshire,6.5,69.8," $66,176 "
2008,New Jersey,7.15,56," $65,306 "
2008,New Mexico,6.5,57.4," $42,102 "
2008,New York,7.15,51.5," $50,461 "
2008,North Carolina,6.15,63.8," $42,930 "
2008,North Dakota,5.85,66.3," $49,631 "
2008,Ohio,7,64.5," $46,934 "
2008,Oklahoma,2,56.5," $46,111 "
2008,Oregon,7.95,62.6," $51,727 "
2008,Pennsylvania,7.15,60.8," $51,402 "
2008,Rhode Island,7.4,63," $53,241 "
2008,South Carolina,0,63.4," $42,155 "
2008,South Dakota,5.85,66.1," $51,600 "
2008,Tennessee,0,53.6," $39,702 "
2008,Texas,5.85,48.8," $46,490 "
2008,Utah,5.85,50.5," $62,537 "
2008,Vermont,7.68,63.2," $50,706 "
2008,Virginia,5.85,63.8," $61,985 "
2008,Washington,8.07,62.6," $56,631 "
2008,West Virginia,6.55,53.1," $37,994 "
2008,Wisconsin,6.5,68.5," $51,200 "
2008,Wyoming,5.15,62.9," $53,337 "
,,,,
,,,,
2012,Alabama,0,59.9," $43,464 "
2012,Alaska,7.75,56," $63,648 "
2012,Arizona,7.65,49.6," $47,044 "
2012,Arkansas,6.25,51.1," $39,018 "
2012,California,8,47.5," $57,020 "
2012,Colorado,7.64,65.4," $57,255 "
2012,Connecticut,8.25,57.5," $64,247 "
2012,Delaware,7.25,62.2," $48,972 "
2012,District of Columbia,8.25,67.7," $65,246 "
2012,Florida,7.67,53.9," $46,071 "
2012,Georgia,5.15,58.1," $48,121 "
2012,Hawaii,7.25,47.4," $56,263 "
2012,Idaho,7.25,60.2," $47,922 "
2012,Illinois,8.25,56.2," $51,738 "
2012,Indiana,7.25,57.7," $46,158 "
2012,Iowa,7.25,66.7," $53,442 "
2012,Kansas,7.25,58.9," $50,003 "
2012,Kentucky,7.25,57.6," $41,086 "
2012,Louisiana,0,64.7," $39,085 "
2012,Maine,7.5,67.2," $49,158 "
2012,Maryland,7.25,58.7," $71,836 "
2012,Massachusetts,8,65.4," $63,656 "
2012,Michigan,7.4,64.5," $50,015 "
2012,Minnesota,5.25,70.5," $61,795 "
2012,Mississippi,0,73.3," $36,641 "
2012,Missouri,7.25,62.3," $49,764 "
2012,Montana,4,64.5," $45,088 "
2012,Nebraska,7.25,58.2," $52,196 "
2012,Nevada,7.25,51.4," $47,333 "
2012,New Hampshire,7.25,66.9," $67,819 "
2012,New Jersey,7.25,54.5," $66,692 "
2012,New Mexico,7.5,56.5," $43,424 "
2012,New York,7.25,50.9," $47,680 "
2012,North Carolina,7.25,63.7," $41,553 "
2012,North Dakota,7.25,62.2," $55,766 "
2012,Ohio,7.7,61.7," $44,375 "
2012,Oklahoma,2,51," $48,407 "
2012,Oregon,8.8,63.3," $51,775 "
2012,Pennsylvania,7.25,59.1," $51,904 "
2012,Rhode Island,7.4,57.4," $56,065 "
2012,South Carolina,0,62.2," $44,401 "
2012,South Dakota,7.25,60.1," $49,415 "
2012,Tennessee,0,53.7," $42,995 "
2012,Texas,7.25,46.4," $51,926 "
2012,Utah,7.25,53.3," $58,341 "
2012,Vermont,8.46,62.1," $55,582 "
2012,Virginia,7.25,62," $64,632 "
2012,Washington,9.04,60.7," $62,187 "
2012,West Virginia,7.25,47.5," $43,553 "
2012,Wisconsin,7.25,71.9," $53,079 "
2012,Wyoming,5.15,57.8," $57,512 "
,,,,
,,,,
2016,Alabama,0,56.4," $47,221 "
2016,Alaska,9.75,59.4," $75,723 "
2016,Arizona,8.05,53.3," $57,100 "
2016,Arkansas,8,56," $45,907 "
2016,California,10,48.2," $66,637 "
2016,Colorado,8.31,63.8," $70,566 "
2016,Connecticut,9.6,57.5," $75,923 "
2016,Delaware,8.25,57.2," $58,046 "
2016,District of Columbia,11.5,68.7," $70,982 "
2016,Florida,8.05,52.9," $51,176 "
2016,Georgia,5.15,55.7," $53,527 "
2016,Hawaii,8.5,43.3," $72,133 "
2016,Idaho,7.25,58.3," $56,564 "
2016,Illinois,8.25,58.8," $61,386 "
2016,Indiana,7.25,56," $56,094 "
2016,Iowa,7.25,60.7," $59,094 "
2016,Kansas,7.25,58," $56,810 "
2016,Kentucky,7.25,55.3," $45,369 "
2016,Louisiana,0,59.7," $42,196 "
2016,Maine,7.5,71.3," $50,856 "
2016,Maryland,8.75,59.2," $73,760 "
2016,Massachusetts,10,61.7," $72,266 "
2016,Michigan,8.5,61.8," $57,091 "
2016,Minnesota,7.25,65.3," $70,218 "
2016,Mississippi,0,66.7," $41,099 "
2016,Missouri,7.65,62.8," $55,016 "
2016,Montana,8.05,65.2," $57,075 "
2016,Nebraska,9,63.4," $59,374 "
2016,Nevada,7.25,53.5," $55,431 "
2016,New Hampshire,7.25,66.9," $76,260 "
2016,New Jersey,8.38,53.4," $68,468 "
2016,New Mexico,7.5,49.4," $48,451 "
2016,New York,9,50.7," $61,437 "
2016,North Carolina,7.25,61.6," $53,764 "
2016,North Dakota,7.25,62.1," $60,184 "
2016,Ohio,7.25,61.4," $53,985 "
2016,Oklahoma,2,53.2," $50,943 "
2016,Oregon,9.75,61," $59,135 "
2016,Pennsylvania,7.25,60.2," $60,979 "
2016,Rhode Island,9.6,55.5," $61,528 "
2016,South Carolina,0,59.8," $54,336 "
2016,South Dakota,8.55,57.3," $57,450 "
2016,Tennessee,0,52," $51,344 "
2016,Texas,7.25,47.7," $58,146 "
2016,Utah,7.25,58.9," $67,481 "
2016,Vermont,9.6,61," $60,837 "
2016,Virginia,7.25,62.6," $66,451 "
2016,Washington,9.47,60.5," $70,310 "
2016,West Virginia,8.75,50.4," $44,354 "
2016,Wisconsin,7.25,68.7," $59,817 "
2016,Wyoming,5.15,63.5," $57,829 "
,,,,
,,,,
2020,Alabama,0,59.6,
2020,Alaska,10.19,62.4,
2020,Arizona,12,64.7,
2020,Arkansas,10,51.9,
2020,California,13,55.7,
2020,Colorado,12,62.7,
2020,Connecticut,11,60.5,
2020,Delaware,9.25,63.8,
2020,District of Columbia,14,77.8,
2020,Florida,8.56,56.4,
2020,Georgia,5.15,60.9,
2020,Hawaii,10.1,59.7,
2020,Idaho,7.25,61.6,
2020,Illinois,9.25,62.7,
2020,Indiana,7.25,58.9,
2020,Iowa,7.25,68.5,
2020,Kansas,7.25,60.1,
2020,Kentucky,7.25,65.3,
2020,Louisiana,0,59.4,
2020,Maine,12,70.5,
2020,Maryland,11,68.7,
2020,Massachusetts,12.75,58.9,
2020,Michigan,9.65,64.1,
2020,Minnesota,8.15,74.3,
2020,Mississippi,0,69.2,
2020,Missouri,9.45,64.5,
2020,Montana,8.65,72.6,
2020,Nebraska,9,62.2,
2020,Nevada,7.25,56.3,
2020,New Hampshire,7.25,72.4,
2020,New Jersey,11,68.2,
2020,New Mexico,9,58.3,
2020,New York,11.8,57,
2020,North Carolina,7.25,58.9,
2020,North Dakota,7.25,65.3,
2020,Ohio,8.7,68.5,
2020,Oklahoma,2,55.5,
2020,Oregon,11.25,71.3,
2020,Pennsylvania,7.25,68.2,
2020,Rhode Island,10.5,61.3,
2020,South Carolina,0,61.3,
2020,South Dakota,9.3,57.7,
2020,Tennessee,0,63.3,
2020,Texas,7.25,55.3,
2020,Utah,7.25,59.7,
2020,Vermont,10.96,67.5,
2020,Virginia,7.25,66,
2020,Washington,13.5,64.3,
2020,West Virginia,8.75,55.3,
2020,Wisconsin,7.25,71.7,
2020,Wyoming,5.15,64.1,
,,,,
