,Unnamed: 0,Event,Revenue,Offer ID
64,13508,transaction,21.97,Bogo 5
65,13513,transaction,16.62,Bogo 10
66,13515,transaction,32.61,Bogo 5
67,13517,transaction,34.88,Bogo 5
68,13538,transaction,18.74,Bogo 10
69,13542,transaction,25.96,Bogo 5
70,13552,transaction,8.11,Bogo 5
71,13571,transaction,16.92,3off7
72,13587,transaction,6.72,Bogo 5
73,13622,transaction,19.38,2off10
74,13663,transaction,16.68,Bogo 10
75,13668,transaction,14.51,Bogo 10
76,13675,transaction,45.09,3off7
77,13685,transaction,16.51,Bogo 5
78,13692,transaction,11.46,Bogo 10
79,13714,transaction,16.29,Bogo 5
80,13725,transaction,28.97,Bogo 5
81,13726,transaction,20.5,2off10
82,13746,transaction,10.8,Bogo 10
83,13749,transaction,11.09,Bogo 10
84,13753,transaction,5.85,Bogo 5
85,13759,transaction,21.02,Bogo 5
86,13765,transaction,13.03,3off7
87,13785,transaction,20.47,2off10
88,13787,transaction,16.6,2off10
89,13791,transaction,8.97,Bogo 5
90,13811,transaction,25.37,Bogo 10
91,13822,transaction,22.92,2off10
92,13830,transaction,34.73,2off10
93,13833,transaction,27.52,3off7
94,13835,transaction,23.51,3off7
95,13852,transaction,16.3,2off10
96,13856,transaction,10.81,Bogo 10
97,13867,transaction,14.09,Bogo 5
98,13877,transaction,13.13,Bogo 5
99,13898,transaction,28.82,3off7
100,13906,transaction,5.48,Bogo 5
101,13910,transaction,14.73,Bogo 5
102,13913,transaction,18.39,Bogo 10
103,13953,transaction,16.89,2off10
104,13978,transaction,21.31,Bogo 5
105,13980,transaction,22.73,3off7
106,13991,transaction,19.68,3off7
107,14007,transaction,13.18,Bogo 10
108,14025,transaction,11.26,3off7
109,14037,transaction,20.27,Bogo 5
110,14038,transaction,7.99,Bogo 5
111,14051,transaction,21.7,Bogo 5
112,14084,transaction,7.72,Bogo 5
113,14098,transaction,8.75,3off7
114,14103,transaction,16.91,2off10
115,14121,transaction,29.37,2off10
116,14124,transaction,9.49,3off7
117,14141,transaction,30.51,2off10
118,14142,transaction,11.81,Bogo 5
119,14145,transaction,12.41,2off10
120,14162,transaction,27.23,2off10
121,14169,transaction,33.74,2off10
122,14199,transaction,16.78,2off10
123,14201,transaction,17.0,2off10
124,14221,transaction,17.48,2off10
125,14230,transaction,13.06,2off10
126,14294,transaction,11.71,Bogo 10
127,14322,transaction,17.43,3off7
128,14329,transaction,16.1,3off7
129,14332,transaction,20.5,Bogo 5
130,14342,transaction,26.8,Bogo 5
131,14350,transaction,23.5,Bogo 10
132,14355,transaction,21.71,Bogo 10
133,14371,transaction,23.92,Bogo 5
134,14392,transaction,17.95,Bogo 10
135,14405,transaction,12.76,Bogo 10
136,14410,transaction,7.01,Bogo 5
137,14429,transaction,10.6,Bogo 10
138,14458,transaction,19.86,Bogo 10
139,14467,transaction,11.37,Bogo 10
140,14476,transaction,27.71,Bogo 5
141,14486,transaction,10.07,Bogo 10
142,14491,transaction,30.33,5off20
143,14494,transaction,20.74,5off20
144,14542,transaction,29.99,Bogo 10
145,14545,transaction,23.51,5off20
146,14557,transaction,9.09,Bogo 5
147,14598,transaction,12.28,2off10
148,14607,transaction,19.9,Bogo 5
149,14611,transaction,15.7,2off10
150,14628,transaction,37.12,2off10
151,14660,transaction,17.39,Bogo 5
152,14673,transaction,21.22,2off10
153,14694,transaction,5.4,Bogo 5
154,14696,transaction,25.18,5off20
155,14707,transaction,15.15,Bogo 10
156,14710,transaction,13.26,Bogo 10
157,14722,transaction,13.53,Bogo 10
158,14735,transaction,6.32,Bogo 5
159,14741,transaction,21.4,2off10
160,14777,transaction,23.9,Bogo 10
161,14792,transaction,24.64,3off7
162,14829,transaction,21.11,2off10
163,14866,transaction,21.65,3off7
164,14900,transaction,19.54,Bogo 10
165,14920,transaction,15.28,Bogo 10
166,14924,transaction,9.39,Bogo 5
167,14926,transaction,27.69,Bogo 5
168,14939,transaction,13.45,2off10
169,14953,transaction,28.91,5off20
170,14961,transaction,10.76,2off10
171,14963,transaction,16.56,Bogo 10
172,14968,transaction,11.36,Bogo 10
173,14972,transaction,16.73,Bogo 5
174,14976,transaction,19.05,Bogo 5
175,14990,transaction,5.87,Bogo 5
176,14996,transaction,19.12,2off10
177,15013,transaction,8.25,3off7
178,15015,transaction,20.81,2off10
179,15019,transaction,20.95,Bogo 10
180,15032,transaction,37.18,2off10
181,15036,transaction,19.01,Bogo 5
182,15043,transaction,24.94,2off10
183,15065,transaction,20.18,Bogo 5
184,15067,transaction,29.42,3off7
185,15072,transaction,16.91,2off10
186,15081,transaction,11.11,Bogo 10
187,15084,transaction,13.56,Bogo 5
188,15114,transaction,33.67,Bogo 10
189,15121,transaction,15.64,3off7
190,15138,transaction,15.35,Bogo 5
191,15144,transaction,12.28,3off7
192,15168,transaction,7.83,Bogo 5
193,15202,transaction,11.93,3off7
194,15211,transaction,26.21,Bogo 10
195,15227,transaction,17.07,2off10
196,15233,transaction,22.84,Bogo 5
197,15272,transaction,25.14,Bogo 5
198,15299,transaction,15.47,Bogo 5
199,15309,transaction,17.04,Bogo 10
200,15311,transaction,14.89,Bogo 5
201,15319,transaction,43.26,Bogo 10
202,15329,transaction,11.05,Bogo 10
203,15332,transaction,18.82,2off10
204,15336,transaction,195.24,Bogo 10
205,15344,transaction,17.5,Bogo 5
206,15357,transaction,19.88,Bogo 10
207,15387,transaction,27.87,Bogo 5
208,15389,transaction,17.78,Bogo 5
209,15391,transaction,17.78,2off10
210,15401,transaction,7.4,3off7
211,15418,transaction,14.06,Bogo 10
212,15426,transaction,24.67,3off7
213,15435,transaction,22.84,Bogo 10
214,15437,transaction,12.89,2off10
215,15449,transaction,11.09,Bogo 10
216,15452,transaction,18.26,Bogo 10
217,15453,transaction,11.72,Bogo 5
218,15457,transaction,24.25,Bogo 10
219,15466,transaction,21.53,Bogo 10
220,15467,transaction,17.86,2off10
221,15485,transaction,23.33,Bogo 10
222,15488,transaction,26.76,Bogo 5
223,15490,transaction,5.34,Bogo 5
224,15506,transaction,21.51,2off10
225,15520,transaction,8.72,Bogo 5
226,15533,transaction,15.11,3off7
227,15536,transaction,38.59,2off10
228,15547,transaction,11.21,2off10
229,15554,transaction,23.09,Bogo 5
230,15590,transaction,6.33,3off7
231,15595,transaction,35.62,Bogo 10
232,15596,transaction,24.89,Bogo 5
233,15597,transaction,14.24,Bogo 10
234,15603,transaction,23.06,3off7
235,15625,transaction,20.59,2off10
236,15639,transaction,26.4,Bogo 10
237,15647,transaction,6.07,Bogo 5
238,15648,transaction,39.71,Bogo 10
239,15651,transaction,25.39,2off10
240,15656,transaction,25.91,2off10
241,15660,transaction,13.35,Bogo 10
242,15662,transaction,13.99,Bogo 5
243,15667,transaction,11.72,Bogo 10
244,15670,transaction,14.36,3off7
245,15685,transaction,23.76,Bogo 10
246,15689,transaction,15.21,2off10
247,15690,transaction,14.54,3off7
248,15698,transaction,34.47,5off20
249,15705,transaction,23.16,3off7
250,15725,transaction,18.14,3off7
251,15730,transaction,14.26,2off10
252,15731,transaction,8.89,2off10
253,15739,transaction,7.67,Bogo 5
254,15742,transaction,17.44,2off10
255,15747,transaction,12.87,Bogo 10
256,15755,transaction,11.39,Bogo 5
257,15757,transaction,40.67,2off10
258,15767,transaction,22.11,2off10
259,15772,transaction,14.38,3off7
260,15776,transaction,19.85,2off10
261,15784,transaction,19.46,Bogo 5
262,15794,transaction,16.75,3off7
263,15809,transaction,14.6,2off10
264,15815,transaction,22.76,Bogo 10
265,15817,transaction,20.23,2off10
266,15828,transaction,15.32,Bogo 5
267,15838,transaction,14.45,Bogo 5
268,15857,transaction,12.09,Bogo 10
269,15861,transaction,23.38,5off20
270,15862,transaction,31.23,2off10
271,15864,transaction,27.41,3off7
272,15870,transaction,25.62,3off7
273,15876,transaction,42.36,Bogo 5
274,15880,transaction,23.71,3off7
275,15884,transaction,16.05,Bogo 5
276,15905,transaction,37.07,2off10
277,15920,transaction,13.9,Bogo 10
278,15925,transaction,25.08,3off7
279,15946,transaction,23.77,2off10
280,15951,transaction,20.06,3off7
281,15963,transaction,10.74,3off7
282,15968,transaction,17.08,3off7
283,15974,transaction,17.12,2off10
284,15977,transaction,9.53,Bogo 5
285,15985,transaction,25.65,2off10
286,15987,transaction,17.95,3off7
287,15995,transaction,14.54,Bogo 5
288,16007,transaction,8.25,Bogo 5
289,16014,transaction,11.44,Bogo 5
290,16036,transaction,20.98,2off10
291,16057,transaction,44.54,Bogo 5
292,16077,transaction,14.22,2off10
293,16078,transaction,21.34,3off7
294,16104,transaction,5.88,Bogo 5
295,16118,transaction,30.91,2off10
296,16119,transaction,12.5,Bogo 10
297,16132,transaction,8.24,3off7
298,16133,transaction,33.24,3off7
299,16139,transaction,14.21,Bogo 10
300,16148,transaction,24.94,Bogo 5
301,16150,transaction,22.48,3off7
302,16173,transaction,18.5,Bogo 10
303,16183,transaction,14.43,2off10
304,16184,transaction,13.73,3off7
305,16206,transaction,12.02,Bogo 10
306,16213,transaction,19.46,2off10
307,16222,transaction,19.09,2off10
308,16230,transaction,16.18,Bogo 5
309,16235,transaction,26.62,2off10
310,16246,transaction,12.18,2off10
311,16249,transaction,9.53,Bogo 5
312,16253,transaction,22.55,Bogo 10
313,16256,transaction,28.41,Bogo 5
314,16260,transaction,13.88,2off10
315,16263,transaction,26.69,Bogo 10
316,16267,transaction,22.17,5off20
317,16274,transaction,15.65,2off10
318,16277,transaction,34.51,2off10
319,16286,transaction,10.75,2off10
320,16289,transaction,16.84,2off10
321,16293,transaction,13.78,2off10
322,16297,transaction,11.92,Bogo 10
323,16299,transaction,11.36,Bogo 10
324,16300,transaction,21.9,Bogo 10
325,16303,transaction,26.18,3off7
326,16314,transaction,8.4,Bogo 5
327,16317,transaction,12.81,2off10
328,16323,transaction,10.38,Bogo 10
329,16325,transaction,15.85,Bogo 5
330,16329,transaction,12.07,Bogo 5
331,16331,transaction,12.33,Bogo 10
332,16333,transaction,26.45,2off10
333,16343,transaction,36.06,Bogo 10
334,16347,transaction,43.42,Bogo 10
335,16350,transaction,15.95,2off10
336,16353,transaction,10.3,Bogo 10
337,16364,transaction,28.78,5off20
338,16366,transaction,16.14,2off10
339,16377,transaction,19.5,3off7
340,16387,transaction,26.17,Bogo 10
341,16401,transaction,16.7,3off7
342,16411,transaction,21.35,2off10
343,16440,transaction,27.23,Bogo 5
344,16452,transaction,14.19,Bogo 10
345,16458,transaction,22.53,Bogo 10
346,16462,transaction,10.01,3off7
347,16463,transaction,26.97,Bogo 10
348,16485,transaction,25.93,5off20
349,16486,transaction,20.19,2off10
350,16487,transaction,29.98,Bogo 10
351,16497,transaction,17.43,Bogo 10
352,16505,transaction,12.64,2off10
353,16511,transaction,12.26,Bogo 5
354,16522,transaction,26.32,2off10
355,16542,transaction,21.39,3off7
356,16550,transaction,18.22,2off10
357,16556,transaction,9.75,3off7
358,16562,transaction,41.58,Bogo 10
359,16573,transaction,9.65,Bogo 5
360,16606,transaction,40.61,Bogo 5
361,16629,transaction,12.73,3off7
362,16630,transaction,15.86,2off10
363,16634,transaction,22.33,Bogo 5
364,16646,transaction,17.32,Bogo 5
365,16657,transaction,26.15,Bogo 5
366,16659,transaction,11.08,3off7
367,16664,transaction,12.86,Bogo 5
368,16671,transaction,19.03,2off10
369,16672,transaction,44.14,3off7
370,16677,transaction,13.79,2off10
371,16682,transaction,21.84,2off10
372,16687,transaction,10.23,Bogo 5
373,16706,transaction,24.09,2off10
374,16717,transaction,22.71,2off10
375,16726,transaction,13.81,Bogo 10
376,16728,transaction,14.63,2off10
377,16750,transaction,23.19,2off10
378,16755,transaction,11.85,Bogo 10
379,16763,transaction,18.36,2off10
380,16765,transaction,25.02,2off10
381,16772,transaction,10.33,3off7
382,16777,transaction,8.82,Bogo 5
383,16783,transaction,5.59,Bogo 5
384,16785,transaction,28.64,5off20
385,16788,transaction,9.41,Bogo 5
386,16814,transaction,20.38,Bogo 10
387,16829,transaction,20.3,Bogo 5
388,16838,transaction,23.93,2off10
389,16848,transaction,28.43,3off7
390,16852,transaction,17.34,Bogo 10
391,16866,transaction,25.49,Bogo 5
392,16872,transaction,20.88,Bogo 10
393,16875,transaction,33.04,Bogo 10
394,16907,transaction,24.93,Bogo 5
395,16910,transaction,11.46,Bogo 10
396,16915,transaction,31.67,Bogo 5
397,16918,transaction,10.65,Bogo 10
398,16921,transaction,16.82,2off10
399,16927,transaction,15.85,Bogo 10
400,16947,transaction,12.68,3off7
401,16948,transaction,22.1,Bogo 10
402,16953,transaction,26.69,Bogo 10
403,16969,transaction,24.8,Bogo 5
404,16972,transaction,20.27,Bogo 5
405,16978,transaction,25.54,2off10
406,16992,transaction,6.63,2off10
407,16994,transaction,16.4,2off10
408,16996,transaction,29.04,Bogo 10
409,17000,transaction,15.28,2off10
410,17005,transaction,17.75,Bogo 10
411,17010,transaction,14.41,5off20
412,17014,transaction,24.78,Bogo 5
413,17016,transaction,5.44,Bogo 5
414,17018,transaction,5.39,Bogo 5
415,17039,transaction,12.03,Bogo 5
416,17041,transaction,18.33,2off10
417,17042,transaction,8.31,3off7
418,17059,transaction,26.91,3off7
419,17060,transaction,19.3,3off7
420,17079,transaction,12.64,Bogo 5
421,17102,transaction,33.06,2off10
422,17134,transaction,11.19,3off7
423,17140,transaction,24.48,Bogo 5
424,17173,transaction,15.18,Bogo 5
425,17174,transaction,17.01,2off10
426,17182,transaction,10.88,2off10
427,17183,transaction,21.86,2off10
428,17188,transaction,26.2,2off10
429,17191,transaction,14.48,3off7
430,17199,transaction,15.77,Bogo 5
431,17203,transaction,15.51,3off7
432,17207,transaction,12.95,2off10
433,17213,transaction,17.7,Bogo 5
434,17216,transaction,5.14,Bogo 5
435,17218,transaction,11.19,Bogo 10
436,17221,transaction,10.68,2off10
437,17222,transaction,14.16,Bogo 10
438,17236,transaction,17.86,Bogo 10
439,17240,transaction,10.02,Bogo 10
440,17242,transaction,8.03,3off7
441,17247,transaction,13.89,Bogo 10
442,17254,transaction,29.97,Bogo 5
443,17269,transaction,18.29,Bogo 10
444,17277,transaction,18.65,2off10
445,17290,transaction,27.02,3off7
446,17300,transaction,17.08,Bogo 10
447,17309,transaction,12.04,2off10
448,17314,transaction,20.04,Bogo 10
449,17331,transaction,28.56,Bogo 10
450,17338,transaction,38.59,Bogo 5
451,17348,transaction,29.53,3off7
452,17351,transaction,12.67,3off7
453,17358,transaction,14.79,2off10
454,17362,transaction,23.78,Bogo 5
455,17390,transaction,7.69,3off7
456,17399,transaction,21.96,3off7
457,17406,transaction,34.55,Bogo 5
458,17413,transaction,18.02,Bogo 10
459,17430,transaction,6.14,Bogo 5
460,17433,transaction,16.48,Bogo 10
461,17436,transaction,11.19,2off10
462,17442,transaction,24.38,5off20
463,17466,transaction,24.67,3off7
464,17469,transaction,13.71,3off7
465,17475,transaction,23.63,2off10
466,17482,transaction,31.34,Bogo 5
467,17486,transaction,33.14,3off7
468,17487,transaction,13.84,Bogo 10
469,17497,transaction,22.72,Bogo 10
470,17500,transaction,22.02,2off10
471,17501,transaction,22.3,Bogo 5
472,17504,transaction,21.06,Bogo 10
473,17507,transaction,16.83,3off7
474,17517,transaction,12.77,Bogo 5
475,17532,transaction,17.5,Bogo 10
476,17534,transaction,24.28,2off10
477,17538,transaction,14.18,Bogo 10
478,17550,transaction,20.8,Bogo 10
479,17574,transaction,448.97,2off10
480,17580,transaction,16.27,2off10
481,17582,transaction,16.57,Bogo 10
482,17586,transaction,5.47,Bogo 5
483,17599,transaction,16.6,Bogo 10
484,17618,transaction,16.39,Bogo 10
485,17619,transaction,16.72,2off10
486,17620,transaction,70.19,2off10
487,17623,transaction,16.69,Bogo 5
488,17629,transaction,30.88,Bogo 5
489,17632,transaction,13.89,3off7
490,17643,transaction,18.18,Bogo 5
491,17664,transaction,23.43,2off10
492,17665,transaction,8.36,3off7
493,17684,transaction,21.32,2off10
494,17692,transaction,20.68,5off20
495,17698,transaction,17.16,Bogo 10
496,17700,transaction,20.21,Bogo 5
497,17703,transaction,21.81,Bogo 10
498,17704,transaction,27.32,3off7
499,17710,transaction,18.45,Bogo 5
500,17711,transaction,28.95,3off7
501,17714,transaction,20.76,Bogo 5
502,17718,transaction,18.94,2off10
503,17725,transaction,17.29,2off10
504,17732,transaction,29.46,3off7
505,17740,transaction,35.5,Bogo 5
506,17742,transaction,26.58,Bogo 10
507,17749,transaction,27.28,3off7
508,17751,transaction,24.29,Bogo 5
509,17756,transaction,28.92,Bogo 10
510,17758,transaction,27.24,Bogo 5
511,17760,transaction,6.83,3off7
512,17764,transaction,10.31,2off10
513,17771,transaction,20.17,Bogo 5
514,17779,transaction,22.47,3off7
515,17783,transaction,11.24,2off10
516,17792,transaction,38.69,2off10
517,17796,transaction,18.25,3off7
518,17802,transaction,7.07,Bogo 5
519,17807,transaction,33.13,2off10
520,17842,transaction,25.58,2off10
521,17847,transaction,35.28,Bogo 10
522,17848,transaction,25.43,2off10
523,17849,transaction,22.73,5off20
524,17862,transaction,19.86,Bogo 5
525,17886,transaction,12.5,Bogo 10
526,17891,transaction,219.02,Bogo 10
527,17894,transaction,20.85,5off20
528,17895,transaction,14.76,Bogo 10
529,17898,transaction,14.34,Bogo 10
530,17904,transaction,23.68,Bogo 5
531,17908,transaction,8.55,Bogo 5
532,17912,transaction,19.07,Bogo 5
533,17915,transaction,23.0,Bogo 5
534,17920,transaction,16.85,Bogo 5
535,17921,transaction,12.18,2off10
536,17928,transaction,16.71,3off7
537,17933,transaction,6.01,Bogo 5
538,17947,transaction,31.59,3off7
539,17949,transaction,11.1,2off10
540,17960,transaction,20.67,Bogo 5
541,17987,transaction,18.87,Bogo 10
542,17989,transaction,5.22,Bogo 5
543,18000,transaction,25.48,Bogo 10
544,18006,transaction,26.75,2off10
545,18018,transaction,22.62,Bogo 10
546,18032,transaction,11.66,Bogo 10
547,18034,transaction,26.8,5off20
548,18036,transaction,40.28,2off10
549,18054,transaction,14.56,Bogo 10
550,18056,transaction,36.14,Bogo 10
551,18058,transaction,22.74,Bogo 5
552,18069,transaction,14.78,Bogo 10
553,18077,transaction,19.11,Bogo 10
554,18087,transaction,20.42,3off7
555,18098,transaction,9.39,Bogo 5
556,18102,transaction,19.07,Bogo 10
557,18108,transaction,15.03,2off10
558,18116,transaction,13.7,3off7
559,18117,transaction,28.9,3off7
560,18122,transaction,22.04,Bogo 10
561,18131,transaction,29.68,Bogo 10
562,18134,transaction,14.76,Bogo 5
563,18147,transaction,18.08,3off7
564,18174,transaction,10.15,2off10
565,18180,transaction,20.84,Bogo 10
566,18181,transaction,29.56,Bogo 5
567,18184,transaction,22.66,Bogo 10
568,18187,transaction,7.19,2off10
569,18195,transaction,23.95,2off10
570,18202,transaction,34.74,2off10
571,18226,transaction,19.31,3off7
572,18228,transaction,628.41,Bogo 10
573,18249,transaction,10.26,Bogo 5
574,18277,transaction,17.7,2off10
575,18282,transaction,25.7,2off10
576,18289,transaction,31.83,Bogo 10
577,18291,transaction,10.39,Bogo 10
578,18295,transaction,4.3,3off7
579,18300,transaction,29.04,Bogo 10
580,18305,transaction,9.17,3off7
581,18307,transaction,37.46,3off7
582,18310,transaction,28.67,5off20
583,18312,transaction,21.77,2off10
584,18320,transaction,19.37,Bogo 10
585,18328,transaction,23.71,Bogo 10
586,18330,transaction,17.61,Bogo 10
587,18333,transaction,11.82,Bogo 10
588,18339,transaction,23.81,2off10
589,18381,transaction,17.48,Bogo 10
590,18387,transaction,7.6,Bogo 5
591,18388,transaction,14.3,2off10
592,18397,transaction,11.79,Bogo 10
593,18403,transaction,27.41,3off7
594,18406,transaction,26.88,3off7
595,18417,transaction,19.95,2off10
596,18426,transaction,13.34,Bogo 5
597,18431,transaction,7.41,Bogo 5
598,18436,transaction,13.46,Bogo 5
599,18442,transaction,27.93,Bogo 5
600,18448,transaction,13.33,3off7
601,18453,transaction,22.18,2off10
602,18455,transaction,22.86,2off10
603,18458,transaction,29.76,Bogo 5
604,18469,transaction,18.6,Bogo 5
605,18477,transaction,10.34,Bogo 5
606,18481,transaction,20.87,2off10
607,18490,transaction,871.51,Bogo 10
608,18504,transaction,26.49,Bogo 5
609,18523,transaction,11.57,Bogo 10
610,18540,transaction,36.47,2off10
611,18550,transaction,19.94,3off7
612,18567,transaction,27.39,Bogo 10
613,18572,transaction,20.82,Bogo 5
614,18577,transaction,8.29,3off7
615,18579,transaction,18.88,Bogo 10
616,18589,transaction,2.93,3off7
617,18599,transaction,9.12,Bogo 5
618,18605,transaction,20.0,Bogo 10
619,18606,transaction,17.98,2off10
620,18607,transaction,28.13,5off20
621,18608,transaction,28.49,2off10
622,18611,transaction,15.86,3off7
623,18614,transaction,22.3,Bogo 5
624,18621,transaction,19.8,Bogo 5
625,18627,transaction,11.27,2off10
626,18643,transaction,47.45,Bogo 10
627,18656,transaction,11.26,Bogo 5
628,18658,transaction,14.13,Bogo 10
629,18660,transaction,14.45,2off10
630,18663,transaction,13.08,3off7
631,18666,transaction,8.4,3off7
632,18674,transaction,8.14,Bogo 5
633,18676,transaction,18.3,2off10
634,18679,transaction,18.78,Bogo 5
635,18685,transaction,6.01,Bogo 5
636,18686,transaction,11.29,3off7
637,18688,transaction,14.03,Bogo 5
638,18691,transaction,17.85,Bogo 10
639,18704,transaction,11.04,3off7
640,18707,transaction,16.06,Bogo 5
641,18708,transaction,11.81,2off10
642,18718,transaction,5.28,Bogo 5
643,18722,transaction,276.36,3off7
644,18730,transaction,27.26,Bogo 10
645,18737,transaction,16.27,3off7
646,18742,transaction,23.02,Bogo 10
647,18757,transaction,19.82,2off10
648,18775,transaction,26.28,Bogo 10
649,18778,transaction,16.79,Bogo 10
650,18781,transaction,17.39,2off10
651,18784,transaction,13.92,3off7
652,18791,transaction,17.96,3off7
653,18795,transaction,13.06,Bogo 5
654,18803,transaction,17.7,Bogo 10
655,18804,transaction,18.49,Bogo 5
656,18811,transaction,23.44,Bogo 5
657,18815,transaction,21.46,3off7
658,18817,transaction,27.69,2off10
659,18821,transaction,12.15,2off10
660,18823,transaction,14.17,2off10
661,18832,transaction,29.76,Bogo 10
662,18833,transaction,24.34,Bogo 10
663,18846,transaction,19.23,Bogo 5
664,18850,transaction,21.82,3off7
665,18855,transaction,30.28,2off10
666,18860,transaction,27.06,Bogo 5
667,18869,transaction,19.67,2off10
668,18893,transaction,10.7,3off7
669,18899,transaction,21.78,2off10
670,18901,transaction,22.04,2off10
671,18903,transaction,19.66,Bogo 10
672,18912,transaction,17.77,2off10
673,18915,transaction,20.31,2off10
674,18920,transaction,16.52,Bogo 10
675,18923,transaction,29.22,Bogo 5
676,18935,transaction,17.17,2off10
677,18938,transaction,29.43,Bogo 10
678,18954,transaction,10.21,Bogo 5
679,18962,transaction,12.22,Bogo 10
680,18971,transaction,15.86,Bogo 5
681,18973,transaction,24.23,2off10
682,18975,transaction,6.71,Bogo 5
683,18979,transaction,16.48,Bogo 10
684,18982,transaction,16.46,Bogo 10
685,18990,transaction,34.23,Bogo 5
686,19007,transaction,34.32,Bogo 10
687,19011,transaction,15.1,Bogo 5
688,19013,transaction,19.01,Bogo 5
689,19040,transaction,7.1,Bogo 5
690,19048,transaction,17.48,Bogo 5
691,19051,transaction,14.17,3off7
692,19061,transaction,15.47,2off10
693,19076,transaction,15.45,2off10
694,19088,transaction,23.78,Bogo 5
695,19089,transaction,8.43,Bogo 5
696,19090,transaction,7.25,Bogo 5
697,19091,transaction,14.54,Bogo 5
698,19097,transaction,30.56,Bogo 10
699,19107,transaction,21.75,2off10
700,19118,transaction,8.47,Bogo 5
701,19132,transaction,21.42,3off7
702,19134,transaction,7.92,2off10
703,19142,transaction,639.59,5off20
704,19161,transaction,7.93,Bogo 5
705,19167,transaction,37.29,Bogo 10
706,19175,transaction,16.87,Bogo 10
707,19182,transaction,20.48,Bogo 5
708,19183,transaction,7.61,Bogo 5
709,19206,transaction,16.17,2off10
710,19212,transaction,34.96,3off7
711,19215,transaction,14.82,Bogo 5
712,19235,transaction,21.22,Bogo 5
713,19237,transaction,24.97,3off7
714,19238,transaction,17.28,2off10
715,19250,transaction,20.29,Bogo 5
716,19252,transaction,12.92,2off10
717,19257,transaction,26.0,5off20
718,19259,transaction,21.83,Bogo 5
719,19262,transaction,20.31,2off10
720,19268,transaction,60.63,Bogo 10
721,19270,transaction,21.68,5off20
722,19271,transaction,16.57,2off10
723,19276,transaction,31.94,2off10
724,19278,transaction,17.68,3off7
725,19285,transaction,35.52,Bogo 10
726,19304,transaction,13.99,Bogo 5
727,19316,transaction,14.08,2off10
728,19323,transaction,27.33,2off10
729,19326,transaction,17.65,Bogo 10
730,19334,transaction,20.37,2off10
731,19344,transaction,19.52,3off7
732,19345,transaction,15.42,Bogo 5
733,19349,transaction,10.96,Bogo 5
734,19359,transaction,14.43,2off10
735,19363,transaction,19.61,Bogo 5
736,19372,transaction,7.7,Bogo 5
737,19376,transaction,25.97,2off10
738,19380,transaction,27.65,Bogo 5
739,19389,transaction,21.31,Bogo 5
740,19391,transaction,22.74,Bogo 5
741,19393,transaction,27.8,Bogo 10
742,19408,transaction,13.21,Bogo 10
743,19409,transaction,23.93,Bogo 10
744,19413,transaction,17.29,Bogo 5
745,19421,transaction,16.57,3off7
746,19427,transaction,30.57,3off7
747,19432,transaction,25.59,2off10
