,gender,age,id,became_member_on,income
341,M,49,1e78f244cac34e758dff086f30dbc1be,20171123,39000.0
347,M,61,9e0369f1045443c2a83a423920155ab3,20180227,32000.0
368,M,62,a7456960b600412fa516433d4821361c,20180312,39000.0
377,M,40,508e507b462a4f6cb3dd48bcd3118521,20170815,39000.0
386,M,58,90a221d6183c49d68dd6b2d17e67b2ba,20180129,36000.0
389,M,36,f5b84c63d6514f02bed8258e627f172d,20180315,31000.0
407,F,57,a04fcfd571034456aaa6d56c0a3fd9b6,20180408,37000.0
431,M,19,80712efd45a84787b08074798ac40429,20180624,32000.0
434,M,44,81d1298cca294146801c6c086a616399,20140319,37000.0
438,F,41,597bcbdab11c4236aaf895ca94d9aa60,20171210,37000.0
457,M,60,35ad0c309d7743e6bb03025ee6008100,20151215,38000.0
466,M,54,32e149f18abe4a0a8555707ea9e99749,20171112,39000.0
478,M,24,d7d78a3fabfc4f53883e5fa624c3d612,20180703,38000.0
494,M,47,62db888b21974136981082c0b8ec6d64,20171202,35000.0
497,M,78,5cd3b3a0e5284df1adf8cca2f59ed28f,20150509,39000.0
519,F,24,c80e5ece0bfc4cec9e2116935adc3958,20150118,35000.0
523,M,57,05ad6da25fcf4ea483562a4233cc345f,20170806,33000.0
529,M,38,e296bfe8daed4c889800d3765c2d5d75,20150513,31000.0
575,M,61,ae37927ce8524f43b2174b77d89263a3,20170425,39000.0
578,F,64,a200b438d32b4faa98f2b914b1ba7937,20170724,34000.0
592,F,68,1cf78b092c964dbbaf4fc82cbaed6c54,20170903,32000.0
594,M,36,490b282bfc3945df8ac3bbe54dd400fe,20171226,35000.0
601,M,59,131d42c477cf4ea9a4823922d1f3f831,20180405,35000.0
630,F,49,993f1b479403428d9a7af63109cd7d94,20180430,31000.0
667,M,53,0fb53c5429d54a50a82803a7e1f03f25,20140712,36000.0
682,F,46,80df0308856f4207be404ae750b73399,20170911,36000.0
697,M,43,a2acc24642b34dbca491bb3c5ba2b2ec,20160416,34000.0
698,M,75,6d8a45614bea44658e131c8d66b21cf8,20180624,38000.0
702,M,70,825af41b833a4bcfb41a5a11005dbb48,20180304,35000.0
703,F,49,9da3f2339b244229a8337572e982b189,20180109,36000.0
705,M,37,0b265c689a2b406095d5aec5b33bded9,20171219,36000.0
709,M,69,67dbaaa6f68a4c029eec9a4d51b6ba5a,20150920,38000.0
710,M,66,083145b8b0004b21bd4433134747c6b2,20171219,32000.0
717,M,53,142a2b3df84841599071107326368f2b,20150925,39000.0
725,M,38,bed9fd6cebd64367a9198990c097477f,20180403,33000.0
726,F,44,9f2bbc9d8b65448aab330a6059292679,20180217,39000.0
734,M,70,69743d51492d4173b0e054fd5d8f943c,20170903,37000.0
740,M,72,92a01881553f458daa00d6b726dc78d3,20141204,35000.0
741,M,43,0eca500cc9b449f2a134bcd37990d539,20180327,31000.0
750,M,18,d62cf96d9f19459e8ddb11720f1fa78c,20161031,36000.0
752,M,38,f5eea282dcf84ee493a914f9b2a21a09,20160207,33000.0
754,F,46,5508e87b5a874f5fb73492a7e3e25309,20151229,36000.0
756,M,37,9fb2081cc2eb4cb9bfb7265dca9a7879,20180705,36000.0
758,F,66,732bd0b897334fe1ae49ccad7dd3ae61,20170815,34000.0
794,M,61,54ddebb6c4a744fab1b222aabf7581f6,20170802,35000.0
804,F,52,7ac5250da1b746e6b56a9e6d8a7b3fd4,20150930,31000.0
809,M,62,99297ea01107436fa8c2e2bc86f55d89,20170325,35000.0
815,M,32,bafc2350ece84692b0db74a6130a213c,20180422,38000.0
817,F,58,18a6ec6f4a534611bdbfda76d3244852,20180621,38000.0
826,M,54,24115a61df25473e84a8a03f3c98de1a,20180523,39000.0
834,M,74,250032cbd1b94b2b822f036f18fb407c,20170801,34000.0
862,M,53,106b6653b9814b478fccecb0a22546f0,20171118,33000.0
869,M,30,1418e71469474b7fa160cd76b198cb08,20180305,35000.0
871,M,38,ae27549c1fcc4407a7d5d270928ff0ab,20180615,38000.0
872,F,72,c6e579c6821c41d1a7a6a9cf936e91bb,20171014,35000.0
873,M,69,363c76c8cc6e4554ba17d25349e03db8,20150324,36000.0
875,F,58,136d774c59da4d0b9c8f88225e2b0be1,20180413,37000.0
903,M,57,416fa60078fd4121b15416f2806d7a7c,20170728,33000.0
920,F,69,50125c58c6794f84bd12049eb1f60239,20180516,34000.0
921,M,54,915fc599460e404fbf2c49bce8309a0c,20160421,39000.0
933,F,91,fb4d977017f24913a9602692fc881b2e,20170815,37000.0
936,M,57,d0c9c4785bf34d839b31485a37bf25ca,20161114,38000.0
945,M,64,ecdde9d9ac5e41828ec0d8783bebc841,20171003,38000.0
946,F,53,b0d214d419dc495e84bda1eebf17210b,20170126,32000.0
953,M,32,71679c29984041a5b72297f2bdfcf6c2,20151030,34000.0
967,M,22,051066a2c1284e23a1e3a2cc1389f23f,20160226,31000.0
973,M,45,48a6e49849bd4375a4463eda85789a29,20180408,32000.0
997,F,22,3d48ea8b03644af2aeddd6804491f144,20180109,36000.0
1015,M,28,00c5a385c71a4d3db5e9b4e31e430943,20171003,35000.0
1026,F,39,716bbdabd4d0498da48299483c7046d2,20170818,35000.0
1036,M,67,e243c277c5ef41d0b9afbf1eb76cc606,20180226,35000.0
1037,M,47,19a0510b9ce24b9da44618f7161ae72d,20171126,38000.0
1047,F,72,8df06dd9393c4268949244071f1c2dfe,20170731,39000.0
1056,F,44,1099fec5d4bd4c9caf1d9c29619b5a4c,20171106,36000.0
1064,F,63,d3fd6d671fa041428d961950d5470ec2,20171126,31000.0
1068,M,61,8101f91fe14b4311a1253873934a1255,20131205,34000.0
1072,M,63,bae134fdf29e4734bb7165e0ce4e8297,20171223,34000.0
1074,M,46,de8ea15f5f0545b6b45df1a7ae2dca11,20171009,32000.0
1077,F,83,b81e563d9abd43aab41ec37bbee73949,20170615,34000.0
1113,M,56,126e7904f9114eff8bead85a217ffb85,20180322,32000.0
1117,F,64,99d0d659823e4fe5a2b9837140fbcc64,20171012,33000.0
1120,M,58,1c686db7faf7458d918652c13d38d09f,20170423,39000.0
1124,F,53,533435d3beb342c69c8d6a00947b7a4a,20170818,31000.0
1143,M,42,d4a1f79859224f558228bda4029c4816,20180519,33000.0
1144,M,48,fc543a5400c742f39aff9b7d654227e4,20180629,39000.0
1152,F,29,226260d7327d484abff1d8668fe4be65,20140529,39000.0
1154,F,21,f9666b682c0349e5a833c1088894ae75,20161101,31000.0
1155,M,20,b90505ef4a754b139d54db583ee424ac,20180308,33000.0
1167,M,36,ed53076edc1d445cabf99d3d0b37a6a9,20150305,37000.0
1170,M,19,b4f2fa2ea0674f53916963aecf291dfb,20150115,34000.0
1175,F,20,54dd0ebf9ac74e7b876341509876e06a,20171205,39000.0
1178,M,70,1bead1cdfe3c4be1a0840deceb396be6,20170731,35000.0
1187,F,81,e6697e5f58354ce891d5a6852c33d459,20150810,33000.0
1192,M,58,b97fba3eb0c0486aa2805797833c4c2b,20170929,31000.0
1221,M,62,c78fd6429c624b73aeb2a269d9c15f0a,20180403,31000.0
1226,F,39,3ecd6653a2d145a4b2bc3b35e8aece7a,20151225,31000.0
1231,M,65,d80211f9f5ff46408d55adee3727aff3,20160323,31000.0
1234,M,75,548282598f884537b30d6c2cd3173df6,20180201,36000.0
1273,F,54,424fa072fc4347a38a85285591e5821a,20170227,37000.0
1277,M,59,4b026d0cd4584db1ac8dca47598aa196,20171021,32000.0
1278,M,50,454f568904744e3b9ac0d3049c07da0e,20180308,33000.0
1281,M,34,88a5c73f15144c5fae93006b818adb79,20180411,39000.0
1290,M,66,e0653781c9954236b42c0c7e264aa7b8,20180429,35000.0
1300,M,25,c0ec94b876144b3ab6605ff6e9527564,20141110,35000.0
1306,M,48,8d1e56c804e140fca2c001caf65d3eaa,20171206,39000.0
1311,M,80,8a6a2df8be214007991afb612eb64c1c,20131104,39000.0
1321,M,50,c94f3d4f206647d18f2b3d80562af5cc,20171121,31000.0
1326,M,65,81af83e08a7d48deaaf764753e2810b3,20170408,35000.0
1332,M,58,40610dc7b61f4e6abaa83bd2ade8d231,20151221,31000.0
1356,O,56,10e4aeef401f4b7d8a700e365cca1a4b,20180501,33000.0
1360,M,43,479134f6760f4d69b5f368075ac1aca1,20150109,32000.0
1366,F,45,7bd149ccf9af497fa01366cf2237f568,20170830,33000.0
1384,F,60,06c2a531fef542cd89877cb9fb10aaeb,20180106,32000.0
1387,M,53,983220d3eb664ad5b2dcbe70c8428904,20140908,34000.0
1399,M,43,ab31fd0403f6478b97f7140ba82712a2,20180524,33000.0
1400,M,50,f7662fcebd8049b280cc95b70caa1f23,20160911,39000.0
1403,M,64,da2cee9684f84f1aa336ddd723a5568a,20171223,36000.0
1408,M,71,9f6b5a9af4e146fba33f0add6b9e2dfc,20171011,32000.0
1444,F,63,edaf4bf5397248dcacb925996f6a36c8,20161203,31000.0
1457,M,76,8e1c2a8b7d7f4bc695ef755c2d2e6df1,20180308,36000.0
1459,M,33,5a7af629a0244c35b98846d4fc8d4603,20180525,33000.0
1470,F,24,fac7592dd8ee40f1a4f3b5952b25d8c0,20180606,33000.0
1477,O,20,24ca64fbcf5e433fba3554d60b0d0433,20180205,33000.0
1478,M,83,c4d1240fc43e4feda07bd58c84b4606c,20150307,39000.0
1483,O,47,dec189ccab874c059b32e2c6596c362d,20161012,39000.0
1506,M,23,a6937b83abe649b38e3c019e559345df,20170924,34000.0
1517,M,28,267e47de94fd46b1afa96dea1c9d3cbf,20180726,33000.0
1526,M,61,86bb1d4a590f44ccabaef642015e70db,20171218,35000.0
1541,O,64,f5f1e2044c7d4fa68938640809cbb4bd,20180529,31000.0
1549,M,51,d883f0f3711b470eaa63865f0eaa531b,20171206,34000.0
1572,M,30,21f58f38b6ac4f67acd2959072adaa7c,20170220,35000.0
1600,M,20,ea10d329aaae4289bad750793117f69f,20171106,33000.0
1607,M,51,1a297cc7262d42b59fb3e34fe0166702,20140624,33000.0
1621,M,39,5d26e4cc7a9c47af96abca48de7745d9,20180513,32000.0
1646,O,57,54b0aabbe655480c880c8423b30a09e0,20180124,32000.0
1648,M,59,37fc4360c23544fdafbb9f3ccf612457,20170911,30000.0
1649,O,35,e690a6ff8e78481ca126e1e8e1eb4212,20170815,31000.0
1654,M,43,cd02713a74cf44958e270a9659d8f661,20150607,39000.0
1661,F,29,4a05c64a2047466a9bd8f4fa5d0dbafa,20170816,37000.0
1679,M,35,b784cc0181ee49f59ffca05ab571872a,20140612,33000.0
1682,M,90,e5d09e529cde4cab98c90a108ddbabc2,20160504,38000.0
1696,M,48,73acdf97f74e4223a793bee5d26cff7c,20131201,39000.0
1701,M,39,2eb1f939e4e44b11b753af7c44aa6f7f,20171221,37000.0
1702,M,54,1b710ab9262c480380b05b9e3578f618,20171029,39000.0
1716,M,68,cda901ec302642e898b0886f9b198555,20140104,39000.0
1726,F,63,6835293ad93c4b2daa148395a0729408,20160124,36000.0
1733,F,57,86c83f7d6bd748a7b580f1c22b48e375,20170923,32000.0
1739,F,57,e973d133f6c547439dac45482d096241,20180707,32000.0
1744,M,31,4c27f8abefe14962be39ee6d446a2f68,20171103,33000.0
1770,M,23,44ef9fb6b6094e588b4c75e5963c9834,20171003,35000.0
1777,M,72,9a1ebc47359348d9b57f353d445dc482,20180309,33000.0
1779,M,89,03cc530b458e4fb180c222777916e9b5,20150809,36000.0
1785,F,69,23b724c1f63849088971c3f94cc839af,20160723,36000.0
1786,M,44,3966806a938b466bba287ee9fbcf1a37,20160730,36000.0
1793,M,61,18b386bf37a141318ad125282f3a58f9,20160303,35000.0
1804,F,43,9a3fdbdde97f48748fedea07119e148d,20171213,39000.0
1812,M,21,151bf5881ab14c338cca17471db41d6a,20160527,31000.0
1813,F,69,f030124b48cf4960b569da21d8aedb5b,20161211,31000.0
1815,M,46,34290ee4c4db45c3bae89de9ad7a4e8b,20180413,36000.0
1826,M,27,8bd0c7b1cb984131b72e148a9fd98f3a,20170730,37000.0
1836,M,57,a5d1040cc7f94b0cabc4965f9fd7a8ff,20140511,34000.0
1843,M,29,559082c5907547069a80e23d8cfc7c35,20180616,38000.0
1850,M,54,cd8bbd01523e41b89785601c04393797,20150412,30000.0
1854,M,34,fbd07f6b2ebd48c2b2a7dc96e244deb5,20140905,36000.0
1856,F,48,0e7a9c1d1ebd4ed4a77dee9edaad8093,20170301,33000.0
1858,M,33,9e8a5054c46d4bd7b58ca018740fb1ad,20170824,34000.0
1876,M,23,eff43f470d36465b8aa4a12d79d25986,20171215,34000.0
1883,M,33,614c0569deff45ab990b0f423675490f,20170923,32000.0
1900,M,37,1486070ef4014e37bccc2522646991fa,20140308,39000.0
1901,M,23,e60f4ead8cb6426ea089ed07a42b3780,20180510,35000.0
1932,M,24,bd56398238844f63bf73ebe02ad4733a,20170104,32000.0
1940,M,41,220b34699e5b45d2839a02f333afcbec,20180203,35000.0
1941,F,70,dc6884f3dadd406ca88fe3195c68745d,20180606,33000.0
1948,M,64,99f9b5eb9a084c899c45bad9d61b4d1b,20170803,37000.0
1951,M,54,b6eb4cfb36ca4ba3936273d23bfc0730,20180515,35000.0
1959,F,31,c65b97e1d35946a383273985ef66f165,20170901,39000.0
1961,M,31,a70774fbe32140a5bffcbff6ea31825a,20170902,39000.0
1987,M,57,4c96ca31cb434fb2a0aaecc2c1961cb0,20180121,35000.0
2011,M,72,c062ae783c3245aea6203f072ae931c3,20140327,33000.0
2014,M,41,a8fc8a1034d34edf9bc2c6dfaec408e1,20170925,38000.0
2020,M,59,63914affd9bd417dba43bf335b6fa254,20170216,36000.0
2026,F,57,9326fc2e01cd4496808eafe54916cc53,20160612,30000.0
2027,M,74,14124920a71f47b0aafe3af220107cfe,20141111,35000.0
2029,F,52,b892431655444eab8ee18d5712e24958,20161203,32000.0
2032,F,66,bf6849a39d3640069a65f44f8b01f5da,20180210,32000.0
2050,F,43,fa4d939bf99e4efbbe8d00f10c1e2ee7,20180105,34000.0
2055,F,92,6779114475a84348a20ae39e694522b3,20160229,39000.0
2057,F,39,055640cd12d04eb4b8a51ec67d451fc7,20161124,38000.0
2060,M,26,10983bae435748a3a300222adc9ee9ed,20171206,39000.0
2061,M,90,0ff208c9b551457db756758715073af5,20170723,36000.0
2080,M,68,6aaa34e41698451e910b971123fd0d69,20160901,30000.0
2087,M,53,aaf4e1f165fc4fae9b4583bc0cecb4f1,20180321,37000.0
2094,F,27,e433442492614997ad025b268178226c,20141207,39000.0
2112,M,36,8be1c2fa06c04e15b380249ff9be040b,20180424,31000.0
2119,M,43,e6ca6d6cba034c75a954934ca390a84d,20170918,31000.0
2122,M,29,91aef7566d8c4965aa29687a05a9ab25,20160719,36000.0
2149,M,70,69cc8fb8c5d34d18aa8237014204ac17,20180317,32000.0
2163,M,70,07f1d6d949634863bb93b0e9fd0dc8f0,20171023,36000.0
2164,M,38,4c796b09e5c04b0195036a60ff8f7fb5,20170918,32000.0
2168,M,76,9431b531c73f402a810754e48c8eac0e,20180309,33000.0
2176,M,42,ecde4ed5d52e481dba63bb14d91c7a4d,20171224,35000.0
2179,M,23,adee4e7b7dfd4661bd0faa61ed3ad33b,20171028,32000.0
2180,F,68,b0c6b9ecae7f47dc93a44edef68ab1a8,20180409,30000.0
2211,M,40,67b51df867b040ba8f97525907a8550c,20180309,30000.0
2229,M,20,2efa56bdd66f404299852e789396daf7,20171204,39000.0
2237,M,49,3b3ae55adad84178bbce0728975906ac,20180307,31000.0
2240,F,48,e999c4985c4347cdae42c5097959093f,20160909,38000.0
2241,M,20,30a5ebaf192842c3a31b8fbb90529ac2,20180203,39000.0
2244,F,58,601bb5be1d574b91a3672cf11af6236b,20171214,39000.0
2245,M,36,976bf9ec3fe746819ca6ebba0f8ce261,20150404,31000.0
2256,M,67,3c8b13e129d44befaf5ca29994a484c5,20180213,39000.0
2257,M,53,8570f31ec1734e9ebd87e8c268e5d3f3,20151121,34000.0
2264,M,20,316f9251e7564cc095ba1654556b9315,20130804,39000.0
2265,M,62,894a6c4b725e46da8a322de4753d31e6,20160918,37000.0
2274,M,68,9a771d17217c4cce87c1abeca24b70bb,20160903,39000.0
2284,M,54,09eb3e5e84224d018376b4d92b00b815,20180402,35000.0
2286,M,24,7fc12dee8c9144f3b3ae0a93f9406c31,20170926,38000.0
2313,M,19,d95023d1b9384f11861dcde35e65ce8c,20171101,35000.0
2325,M,23,c904a6699db54225931ef82552f3f9ea,20180604,32000.0
2344,M,36,b838d092a36b4d908d64692f51277fb5,20170920,33000.0
2355,M,54,406e02eb805440949a9c37122c75d2f8,20170929,33000.0
2390,F,86,afd43fca497d4e489c23b0e673535fee,20171220,39000.0
2399,F,90,fc8600d39af040a0a5bcf8e8311e4c29,20170129,31000.0
2410,M,36,2f634444cfdf456bb1f4061964d74189,20180317,34000.0
2413,F,81,317c811d010e4103b96458f2104282a5,20160928,33000.0
2416,M,27,645584b4fa3e45da9bffe712a63898da,20160104,33000.0
2418,F,67,68f32c01b6b144c6be1bd18ac2c319c3,20151013,38000.0
2452,F,76,226fc5b19c124d79983942fb0985ee15,20171022,31000.0
2453,M,60,15618710293b44e59b72aae0f5827725,20170801,38000.0
2475,F,57,5f5c91807f7f475f85fc241e45e23ed2,20170913,33000.0
2493,M,34,4bbc98fd8048429eb9dbfd856e1288d7,20170826,38000.0
2498,M,39,4d20573b5dee49718990534338be745e,20160219,33000.0
2505,F,70,50af182d9e074539b7d6ed8035e1e16e,20180130,37000.0
2507,M,55,86a32235141948dd85e67ad2a3b530c6,20171125,35000.0
2513,M,49,eb708237b7884000ad536f75d77f08f6,20171210,30000.0
2557,M,34,5f32718d07b64338a5517eed5c1eb232,20161203,39000.0
2562,F,23,35a6fbe3a39c4d58ba1996d3691eda18,20150522,31000.0
2566,M,84,7e795099f75645b997a137f4a63fcde4,20160904,37000.0
2588,M,22,9b9bd320b3b34859abfee2109a0b4831,20170204,35000.0
2589,M,20,c1f6b2a757b94ddab8721f5f73d6cf4b,20171112,32000.0
2597,F,59,cb55460bf6ac4dc8b4c48623f061544c,20151207,35000.0
2599,M,68,e29397df32d34d40992ad6dcf92568d0,20180711,38000.0
2600,M,26,464dad60900a47e9bd225fd15f612313,20160126,31000.0
2609,M,53,5405936fa4ac46aead4dbfb87b9e3d2f,20180310,33000.0
2611,M,24,3c55dbc0fe1a487c9743dfa6170d20e8,20171203,32000.0
2620,M,58,7ab8b28bc5044b56b13aa5ed2f12bc40,20161018,32000.0
2621,M,33,9aa6316728c24a16a7819ba6cefb6060,20180303,35000.0
2625,M,62,151b12c2cfa5443f9c92a53ba9ada28b,20170329,33000.0
2626,F,46,4df7791248754e999696b3a4880a995f,20180309,33000.0
2628,M,62,42023cd8387840388f7df528de2dbbe2,20131008,35000.0
2630,M,68,34fe7c1f20874ccc81e2c4506407fa72,20180418,39000.0
2639,F,70,59a46ccbaeb64ab0a33feef55ad07222,20170522,37000.0
2668,M,22,0bc0a681c7a74a4abd36563d3f3646b2,20180602,33000.0
2672,M,39,c1dc09fa7f5940a38c2f393f89cb4a50,20150304,32000.0
2690,F,53,098d957407b44982a3debf3337aa6b9c,20161014,37000.0
2696,M,25,839ab35f5a3e4379a76902eac5b10165,20150325,30000.0
2710,M,26,ac43af82b68d48cea31a0f0a229a1375,20150508,39000.0
2758,M,51,75ce7d71302e4e97af9bbeaebdd9ca9f,20180629,35000.0
2759,M,38,d48ca9287f4c458793c9279c5bb6973e,20170809,38000.0
2773,F,65,11bfc66cfc5b421ab0e1a8cb8ef7fd5c,20180115,36000.0
2777,M,27,9045d97579294e3287696d71cad9c68d,20160905,34000.0
2780,M,20,6fb9bdf5ad7e43eea5133d3621cd1f4d,20150122,33000.0
2782,M,59,37952de9ff3e4da7b332185597217e93,20170823,38000.0
2795,M,54,7dfe7355623a45988127c78ac7504bbc,20171231,37000.0
2806,M,69,475c43062aa14e3680fb4affaf7225dc,20180410,33000.0
2809,M,46,015fb0b3fbaa4aceb910fbdf272f7547,20180710,35000.0
2814,M,26,d4ec2de5571548a39e5874296ecddb4e,20150921,37000.0
2817,M,71,42de30f65a554db2b2928ab318de7390,20170820,38000.0
2821,F,55,c12ae136c4ad4390b3cbc2afc2eee413,20180608,39000.0
2825,M,63,25e01569a79f4bf080b447a94cc92e31,20171031,32000.0
2828,M,69,4f74f4ade74b43bdb17c98a941c6b502,20180124,30000.0
2831,F,78,70425153d8ec410d823ee209aa49700b,20171012,31000.0
2838,F,48,265189106dc54eb9863e31f174e66d64,20171204,32000.0
2842,M,27,019cc78d8fed432ca6df71c132c72a99,20180710,39000.0
2850,M,66,3c4fd3642bbb47b285cec7816104649c,20170929,33000.0
2854,M,71,50fba1b9344343fda7a24d9ff40a7dc5,20161128,38000.0
2860,M,32,0409252539634eca8a8d1b5407caa582,20170925,39000.0
2873,F,19,0b9248aa06a24ff991321150b8b56098,20151231,39000.0
2880,M,54,062d468f10ff4489822fbdd647e57398,20140626,37000.0
2884,F,59,30b98e23337b4e98815b8a0e2472a9ff,20160328,37000.0
2889,F,71,e3948b4335a54d09993e3219b445e922,20180624,31000.0
2892,M,19,b5084bd5d94f492c873dededc5491648,20171122,31000.0
2916,M,60,68aa156c761e40bf8a0f8d859379c89d,20180529,38000.0
2927,F,77,82b13a64bcba4a59a11d5323f9e04134,20160421,35000.0
2929,M,45,9b59c4800e8a4ae1b8e7f071891bbc6c,20150201,35000.0
2945,F,29,01e57718fc6b49b2875a9c02b32905b1,20161211,31000.0
2949,M,19,d4fa96bdf9c94098afaa05cfbeba1958,20131003,36000.0
2970,M,57,5b38d876f0b449e58efee9f9f611dfac,20180627,34000.0
2975,F,71,bef25728635745c59bf78870bdd393d9,20160707,35000.0
2996,M,74,7cbd6bb87cb14d0998be226523da3a21,20180213,38000.0
3011,F,30,fae649ff726b4af68d0805de45181fb3,20160911,37000.0
3019,M,37,66f5ffa82c1d49019aa884922d0c3c92,20160130,31000.0
3024,M,67,f22ef72359934e3987d61507bbe0fe3f,20180123,34000.0
3032,M,24,3a97fdd1f1aa42ca989e9fcec3f6e043,20170113,38000.0
3038,F,48,6a4066d776b64dde8c0444d2f1c14f5f,20171016,31000.0
3039,F,77,67e6be3bd5c44381b3e2dfe9170ada94,20180313,37000.0
3055,F,29,c2f2e7f440bc45738b2fbea9b58217bd,20161204,38000.0
3056,F,77,a45b69f1c8554ae7af83e74426ca437a,20180329,39000.0
3082,M,19,70743262fadd4895adf8e5907da3c654,20161019,30000.0
3088,M,68,05e42f14818d4e82911557052b334e05,20171126,38000.0
3092,M,78,bdf569412b3542459ee5de4a6e6e01c8,20180721,35000.0
3107,M,21,f444db6612f649c79084b88b7e1eb83f,20170501,31000.0
3108,M,27,94de646f7b6041228ca7dec82adb97d2,20140126,33000.0
3116,F,55,7798e0c17e124ecda35b1530d4761145,20180111,31000.0
3124,F,41,3f044daa78164ef1a7ce38efaa236667,20171205,37000.0
3129,F,67,1b45f1b2f293458e91782ed6bc41ed76,20180607,36000.0
3136,M,19,43c18a0cc9fc4e02bbc1bedd52c7859b,20170911,37000.0
3151,M,66,a9de7a1151d44d8fb367722103707cdb,20170407,33000.0
3168,M,46,5fa8b71b28e1485d9d3fc1368c469bcd,20130930,35000.0
3179,M,51,a634dd39d760460cb70cf96a2467637f,20171116,34000.0
3180,M,70,9f0578a74c7b46249401d04deee59203,20160829,36000.0
3183,M,53,8364ddc3bc524a7d9eb872e70fda3e0d,20171015,32000.0
3189,M,34,00ceaf16a40341e6996d543d04daa2c2,20180519,38000.0
3203,F,58,47e28072fc414f54bf1aa27be3a19d32,20180629,32000.0
3215,M,66,dd69125d21a54693840469a1ad6ca243,20171017,32000.0
3226,M,87,3bbce1ae7d1f43e098beda1a1c78913a,20170829,30000.0
3241,M,52,576442c0de6747d292794dbb200c25d1,20160201,38000.0
3271,M,80,6a8e83b6175e4611935554d202d26994,20171009,31000.0
3287,M,47,77433277a3e7435aa5dabac8168a3d44,20170729,35000.0
3288,M,40,b5d0c4015cb44faa823e5402fa7b7560,20150221,38000.0
3308,M,57,5c43939d39324efab6ac3e0665934ffc,20180106,34000.0
3333,F,50,b66f9cb486024f0d87ab7469e8d7528d,20180119,33000.0
3335,F,22,3d43c355a4bb4d5e8d86a80a87408925,20160926,36000.0
3351,M,63,3834698bb4164d349a2aee2cf0e7b9d7,20170106,39000.0
3354,M,45,7f1551c4db4e4c42ad75c3337b16ff70,20171029,35000.0
3363,M,92,c87b649217d8403992fea5194e9047a8,20180208,38000.0
3378,M,68,19123568af6b42d4a99e5be64b2d7bfb,20180712,33000.0
3380,O,28,f917c5071d1140ed9d6d3d1f32d711e2,20170124,30000.0
3387,M,66,81b07b3a6150443f9d0fece90b754d4c,20160805,31000.0
3399,M,59,8250821311ad4d33becbc761e76b12f7,20140828,36000.0
3406,M,23,babdde66a9bb4c1b8648915220a1af3b,20180711,33000.0
3417,M,54,15400aee4fb24ab78f2a8f754a3c5f43,20171118,31000.0
3427,M,66,c5949a72f28a46b7a01ad99e98c20088,20180416,35000.0
3453,F,73,ab10cdddba53486598f20b32f70acbc6,20170910,39000.0
3454,M,35,7cd93021f0324c289aeb1521a9425fbf,20170608,35000.0
3464,M,63,4e916af218a84f8383172af0979d201f,20180718,32000.0
3466,F,21,92295cd152354d4bb9389da6a175c118,20150809,39000.0
3470,M,45,26829118683847c8ae5374b27a1e774d,20160117,36000.0
3472,M,52,9680c2c9be554bb6bbafe9dbc06b1be4,20171002,32000.0
3477,F,64,4e0d84ccaeb2468d93417121730145ef,20180228,30000.0
3485,M,60,dd77d1d722f24dd0b8b1a84f08aefe92,20140508,31000.0
3487,M,56,2b7c18169e88411596f4231ccda5d15b,20180310,37000.0
3492,M,22,9b4b02ab6a744385ae6007e4c95099cc,20151229,38000.0
3493,M,19,097e0be7292b4349a952e59ee82bab73,20171222,32000.0
