,storeNumber,countryCode,opening_times,closing_times,duration
45,23287-137113,HK,07:30:00,22:30:00,15:00:00
46,32157-218684,HK,07:30:00,23:00:00,15:30:00
47,17868-186924,HK,07:30:00,22:00:00,14:30:00
48,53240-284367,HK,07:00:00,22:00:00,15:00:00
49,17103-179445,HK,07:00:00,22:00:00,15:00:00
50,34601-20281,HK,06:30:00,20:30:00,14:00:00
51,34622-64463,HK,06:30:00,22:00:00,15:30:00
53,22733-224529,HK,06:30:00,20:30:00,14:00:00
54,34607-131304,HK,06:30:00,20:00:00,13:30:00
55,13020-151249,HK,07:00:00,21:30:00,14:30:00
56,32636-134915,HK,07:30:00,20:00:00,12:30:00
57,16712-167649,HK,07:30:00,22:00:00,14:30:00
58,34644-94628,HK,07:00:00,20:30:00,13:30:00
59,15593-163265,HK,07:00:00,20:30:00,13:30:00
60,34630-69462,HK,06:30:00,20:30:00,14:00:00
61,31187-105744,HK,07:00:00,23:30:00,16:30:00
62,31373-106380,HK,07:00:00,21:30:00,14:30:00
63,1909-139865,HK,07:00:00,21:00:00,14:00:00
64,16021-297190,HK,07:00:00,20:30:00,13:30:00
65,30625-100796,HK,07:00:00,20:30:00,13:30:00
66,34616-51681,HK,06:30:00,20:30:00,14:00:00
67,31011-103797,HK,07:00:00,22:00:00,15:00:00
68,34634-82422,HK,06:30:00,22:00:00,15:30:00
69,1611-181864,HK,07:00:00,21:30:00,14:30:00
70,20900-208764,HK,07:00:00,22:00:00,15:00:00
71,15414-161225,HK,07:00:00,20:30:00,13:30:00
72,34609-22927,HK,07:00:00,21:30:00,14:30:00
73,49648-270180,HK,07:00:00,21:00:00,14:00:00
74,16505-172146,HK,07:30:00,20:30:00,13:00:00
76,18145-188484,HK,07:00:00,22:00:00,15:00:00
77,48916-264345,HK,07:00:00,21:00:00,14:00:00
79,22016-217104,HK,07:30:00,21:00:00,13:30:00
80,12922-155444,HK,07:30:00,23:00:00,15:30:00
81,7076-154450,HK,09:00:00,22:30:00,13:30:00
82,20668-234764,HK,07:30:00,22:00:00,14:30:00
83,34645-95953,HK,07:00:00,23:30:00,16:30:00
84,31356-295106,HK,08:00:00,22:00:00,14:00:00
86,32024-296966,HK,08:00:00,22:30:00,14:30:00
87,58123-292255,HK,06:30:00,21:00:00,14:30:00
88,28937-251934,HK,07:30:00,23:00:00,15:30:00
89,57102-291124,HK,09:30:00,22:00:00,12:30:00
90,34605-28027,HK,07:00:00,19:30:00,12:30:00
91,1777-134912,HK,08:00:00,22:30:00,14:30:00
92,18770-195085,HK,07:00:00,21:00:00,14:00:00
94,30735-101334,HK,06:30:00,20:30:00,14:00:00
95,32347-134899,HK,07:30:00,23:00:00,15:30:00
96,23343-229464,HK,07:30:00,23:00:00,15:30:00
97,31996-167164,HK,07:00:00,23:00:00,16:00:00
98,16738-175264,HK,07:30:00,22:00:00,14:30:00
99,15014-157084,HK,07:30:00,20:30:00,13:00:00
100,31354-107893,HK,06:30:00,20:00:00,13:30:00
101,31235-106228,HK,07:00:00,21:00:00,14:00:00
103,20654-207724,HK,07:00:00,22:00:00,15:00:00
104,52643-282604,HK,07:30:00,22:00:00,14:30:00
105,27612-248108,HK,07:30:00,22:00:00,14:30:00
106,34646-96055,HK,07:00:00,23:00:00,16:00:00
107,24613-238415,HK,07:30:00,22:00:00,14:30:00
108,22975-218604,HK,07:30:00,22:30:00,15:00:00
109,34659-100323,HK,07:30:00,22:30:00,15:00:00
110,21323-211425,HK,07:30:00,23:00:00,15:30:00
111,16506-172147,HK,07:30:00,23:00:00,15:30:00
112,17437-181845,HK,08:00:00,23:00:00,15:00:00
113,54331-286434,HK,09:30:00,22:00:00,12:30:00
114,32195-235805,HK,07:30:00,23:00:00,15:30:00
116,48031-261185,HK,07:00:00,21:30:00,14:30:00
117,50070-272545,HK,07:00:00,21:30:00,14:30:00
118,14951-156525,HK,07:00:00,22:00:00,15:00:00
119,31028-104389,HK,06:30:00,22:00:00,15:30:00
120,16020-167645,HK,07:30:00,22:00:00,14:30:00
121,19320-201106,HK,07:00:00,22:30:00,15:30:00
122,34249-62099,AE,08:00:00,22:30:00,14:30:00
123,30954-99024,AE,07:00:00,23:00:00,16:00:00
124,32714-122107,AE,00:00:00,00:00:00,00:00:00
127,31199-104340,AE,08:00:00,00:00:00,16:00:00
128,34320-74020,AE,08:00:00,00:00:00,16:00:00
129,49595-270099,AE,07:30:00,23:00:00,15:30:00
130,50733-276145,AE,08:00:00,23:30:00,15:30:00
132,24927-239346,AE,07:30:00,00:00:00,16:30:00
133,34211-17922,AE,06:30:00,00:00:00,17:30:00
134,23213-228760,AE,00:00:00,00:00:00,00:00:00
135,23212-228759,AE,00:00:00,00:00:00,00:00:00
136,23973-234507,AE,00:00:00,00:00:00,00:00:00
137,34219-17920,AE,08:00:00,18:00:00,10:00:00
138,28908-251804,AE,06:30:00,00:00:00,17:30:00
139,3169-123447,AE,00:00:00,00:00:00,00:00:00
140,32328-123449,AE,07:00:00,00:00:00,17:00:00
141,31853-109684,AE,00:00:00,00:00:00,00:00:00
143,32269-114734,AE,00:00:00,00:00:00,00:00:00
144,24139-236004,AE,00:00:00,00:00:00,00:00:00
146,27072-246650,AE,09:00:00,00:00:00,15:00:00
149,1719-136469,AE,08:30:00,00:00:00,15:30:00
150,20347-204885,AE,00:00:00,00:00:00,00:00:00
151,48097-261445,AE,07:00:00,19:00:00,12:00:00
152,1801-136467,AE,08:30:00,00:00:00,15:30:00
153,32292-111724,AE,07:00:00,18:00:00,11:00:00
155,32144-123448,AE,06:30:00,00:00:00,17:30:00
157,32329-111864,AE,07:00:00,23:00:00,16:00:00
158,18857-187024,AE,07:30:00,00:00:00,16:30:00
160,48396-262946,AE,07:30:00,22:00:00,14:30:00
161,25406-240945,AE,07:00:00,22:00:00,15:00:00
162,34284-65720,AE,08:00:00,00:00:00,16:00:00
164,21600-213424,AE,00:00:00,00:00:00,00:00:00
165,26915-237081,AE,00:00:00,00:00:00,00:00:00
167,28258-250593,AE,07:30:00,00:00:00,16:30:00
168,4143-147546,AE,08:00:00,00:00:00,16:00:00
169,34259-54260,AE,09:00:00,00:00:00,15:00:00
172,1359-138434,AE,07:00:00,00:00:00,17:00:00
173,34253-62541,AE,06:00:00,23:00:00,17:00:00
175,34291-80114,AE,07:00:00,23:00:00,16:00:00
176,3183-143827,AE,08:00:00,23:00:00,15:00:00
179,18026-187444,AE,07:00:00,00:00:00,17:00:00
180,17787-183964,AE,00:00:00,00:00:00,00:00:00
182,34317-95971,AE,08:00:00,00:00:00,16:00:00
183,26743-245288,AE,06:30:00,00:00:00,17:30:00
184,30780-154130,AE,07:30:00,00:00:00,16:30:00
185,26048-243344,AE,09:00:00,00:00:00,15:00:00
186,15060-156348,AE,06:30:00,23:00:00,16:30:00
189,15976-165685,AE,08:00:00,23:00:00,15:00:00
196,51430-278405,AE,06:00:00,00:00:00,18:00:00
197,34346-97779,AE,07:30:00,21:00:00,13:30:00
198,32117-116426,AE,06:30:00,23:30:00,17:00:00
200,50249-273632,AE,07:00:00,23:00:00,16:00:00
201,34315-87671,AE,08:00:00,01:00:00,17:00:00
202,32457-106838,AE,00:00:00,00:00:00,00:00:00
203,1968-136466,AE,08:00:00,23:00:00,15:00:00
204,32571-107873,AE,06:30:00,23:30:00,17:00:00
205,32523-106836,AE,07:00:00,00:00:00,17:00:00
207,32476-106835,AE,06:30:00,01:00:00,18:30:00
210,31002-101076,AE,07:00:00,23:00:00,16:00:00
212,34336-97974,AE,08:00:00,00:00:00,16:00:00
213,34337-97975,AE,08:00:00,23:00:00,15:00:00
215,7073-204444,AE,08:00:00,00:00:00,16:00:00
216,34335-97976,AE,08:00:00,23:30:00,15:30:00
217,32741-141410,AE,08:00:00,18:00:00,10:00:00
221,26471-239345,AE,08:00:00,00:00:00,16:00:00
224,22125-218025,AE,07:00:00,22:00:00,15:00:00
227,4141-147544,AE,06:30:00,23:00:00,16:30:00
229,34262-62540,AE,08:00:00,00:00:00,16:00:00
230,20424-205466,AE,07:00:00,18:30:00,11:30:00
232,17127-178586,AE,05:45:00,01:00:00,19:15:00
237,32239-100001,AE,06:00:00,00:30:00,18:30:00
238,1935-141406,AE,06:00:00,00:30:00,18:30:00
239,18837-193244,AE,07:30:00,00:00:00,16:30:00
240,34260-17877,AE,06:00:00,02:00:00,20:00:00
241,32029-110804,AE,06:00:00,01:00:00,19:00:00
242,31719-103601,AE,08:00:00,00:00:00,16:00:00
243,51436-278404,AE,06:30:00,17:00:00,10:30:00
244,1897-120044,AE,06:00:00,01:00:00,19:00:00
245,1579-122101,AE,07:30:00,18:30:00,11:00:00
246,24932-239347,AE,06:00:00,00:00:00,18:00:00
248,34227-33225,AE,07:30:00,01:00:00,17:30:00
256,2176-143834,AE,06:30:00,17:30:00,11:00:00
257,18469-188844,AE,06:30:00,18:00:00,11:30:00
258,28809-251348,AE,07:00:00,23:00:00,16:00:00
259,28810-251346,AE,00:00:00,00:00:00,00:00:00
260,29539-254261,AE,07:30:00,00:00:00,16:30:00
261,49298-267850,AE,08:00:00,00:00:00,16:00:00
262,20423-205465,AE,07:00:00,01:00:00,18:00:00
263,16453-170544,AE,06:00:00,00:00:00,18:00:00
265,24191-236428,AE,06:30:00,22:30:00,16:00:00
266,20008-200004,AE,06:00:00,23:00:00,17:00:00
267,22126-218024,AE,06:00:00,23:00:00,17:00:00
268,21605-213406,AE,06:30:00,00:00:00,17:30:00
270,18182-182165,AE,08:30:00,00:00:00,15:30:00
271,32767-131566,AE,06:30:00,01:00:00,18:30:00
272,24931-239348,AE,06:00:00,00:00:00,18:00:00
274,17688-182164,AE,08:00:00,00:00:00,16:00:00
276,3886-141408,AE,08:30:00,19:00:00,10:30:00
278,3178-141407,AE,09:30:00,20:30:00,11:00:00
279,22963-226644,AE,08:00:00,00:00:00,16:00:00
280,24085-235545,AE,08:00:00,21:00:00,13:00:00
281,24604-238367,AE,08:00:00,23:00:00,15:00:00
282,34252-54259,AE,06:00:00,23:00:00,17:00:00
284,17964-183966,AE,06:00:00,23:00:00,17:00:00
285,47089-256771,AE,08:00:00,00:00:00,16:00:00
286,34217-27108,AE,06:30:00,22:00:00,15:30:00
287,25879-242844,AE,07:30:00,00:00:00,16:30:00
288,3173-122109,AE,07:30:00,00:00:00,16:30:00
290,31338-103600,AE,07:30:00,00:00:00,16:30:00
293,22331-212325,AE,07:00:00,23:00:00,16:00:00
295,6106-148051,AE,07:30:00,19:15:00,11:45:00
296,16528-168726,AE,07:00:00,23:00:00,16:00:00
301,1911-138604,AE,07:00:00,23:00:00,16:00:00
303,3172-113584,AE,08:00:00,00:00:00,16:00:00
305,48961-265989,AE,08:00:00,00:00:00,16:00:00
306,34228-219605,AE,08:30:00,23:30:00,15:00:00
308,22697-223524,AE,07:00:00,23:30:00,16:30:00
313,23216-228405,OM,05:30:00,20:00:00,14:30:00
314,1926-141411,AE,08:30:00,00:00:00,15:30:00
315,17788-183965,AE,00:00:00,00:00:00,00:00:00
316,16257-166109,AE,08:00:00,00:00:00,16:00:00
318,17291-169884,AE,07:00:00,00:00:00,17:00:00
321,34332-97778,AE,07:30:00,00:00:00,16:30:00
322,30781-99022,AE,06:30:00,00:00:00,17:30:00
323,24510-238164,AE,07:00:00,23:00:00,16:00:00
324,49299-267848,AE,07:00:00,23:30:00,16:30:00
327,29306-253248,AE,08:00:00,01:00:00,17:00:00
328,32640-131563,AE,07:00:00,00:00:00,17:00:00
329,29651-254742,AE,07:30:00,23:00:00,15:30:00
330,15938-165686,AE,08:00:00,00:00:00,16:00:00
334,27950-248318,AE,07:00:00,23:00:00,16:00:00
337,17045-172945,AE,08:00:00,00:00:00,16:00:00
339,32073-107463,AE,10:00:00,22:00:00,12:00:00
342,49327-268228,AE,06:30:00,23:00:00,16:30:00
343,23549-231166,AE,08:00:00,23:00:00,15:00:00
344,20772-207664,AE,06:30:00,23:00:00,16:30:00
345,20113-195784,AE,08:30:00,23:00:00,14:30:00
346,4034-136938,AR,10:00:00,23:00:00,13:00:00
347,3525-142748,AR,07:00:00,22:00:00,15:00:00
348,13054-156007,AR,07:00:00,21:00:00,14:00:00
349,21884-185944,AR,07:00:00,20:00:00,13:00:00
350,15478-161685,AR,07:00:00,21:00:00,14:00:00
351,47283-246923,AR,06:30:00,21:30:00,15:00:00
352,15654-164107,AR,07:00:00,22:00:00,15:00:00
353,15458-161684,AR,07:00:00,21:00:00,14:00:00
354,20331-204904,AR,06:30:00,21:30:00,15:00:00
355,1284-140707,AR,07:00:00,21:00:00,14:00:00
356,29536-246926,AR,07:00:00,21:00:00,14:00:00
357,49461-269445,AR,07:00:00,20:30:00,13:30:00
358,1270-136935,AR,07:00:00,21:00:00,14:00:00
359,16690-174425,AR,06:30:00,21:00:00,14:30:00
360,7123-150606,AR,06:30:00,21:00:00,14:30:00
361,54216-286480,AR,10:00:00,00:00:00,14:00:00
362,47294-254164,AR,07:30:00,20:00:00,12:30:00
363,1271-136936,AR,10:00:00,00:00:00,14:00:00
364,25324-219149,AR,07:00:00,21:00:00,14:00:00
365,15509-158844,AR,08:00:00,21:30:00,13:30:00
366,49469-269451,AR,07:00:00,21:00:00,14:00:00
367,16744-173424,AR,07:30:00,21:00:00,13:30:00
368,20313-198064,AR,10:00:00,21:00:00,11:00:00
369,26540-219150,AR,06:30:00,21:00:00,14:30:00
370,51308-278015,AR,01:00:00,23:00:00,22:00:00
371,49438-156016,AR,07:00:00,21:00:00,14:00:00
372,24876-231226,AR,07:00:00,21:00:00,14:00:00
373,1290-142064,AR,07:30:00,23:00:00,15:30:00
374,17243-180104,AR,10:00:00,22:00:00,12:00:00
375,57103-289481,AR,07:00:00,21:00:00,14:00:00
376,3629-142529,AR,07:00:00,21:00:00,14:00:00
377,25325-232985,AR,07:00:00,21:00:00,14:00:00
378,7027-149890,AR,07:00:00,21:00:00,14:00:00
379,9199-152184,AR,10:00:00,22:00:00,12:00:00
380,32499-294750,AR,06:30:00,00:00:00,17:30:00
381,15059-157325,AR,07:00:00,21:30:00,14:30:00
382,50998-276869,AR,07:00:00,21:00:00,14:00:00
383,16786-175824,AR,07:00:00,21:30:00,14:30:00
384,15008-157047,AR,07:00:00,20:30:00,13:30:00
385,15058-157324,AR,07:00:00,21:00:00,14:00:00
386,21445-212345,AR,10:00:00,00:00:00,14:00:00
387,15005-157045,AR,07:30:00,23:00:00,15:30:00
388,26464-238685,AR,07:00:00,21:00:00,14:00:00
389,3554-153291,AR,07:00:00,21:00:00,14:00:00
390,6177-149892,AR,07:00:00,22:00:00,15:00:00
391,47751-259030,AR,06:30:00,21:00:00,14:30:00
392,1279-139527,AR,09:00:00,23:00:00,14:00:00
393,19945-198044,AR,10:00:00,22:00:00,12:00:00
394,49471-269448,AR,07:00:00,22:00:00,15:00:00
395,55625-289482,AR,07:00:00,21:00:00,14:00:00
396,24076-221025,AR,07:00:00,21:00:00,14:00:00
397,49462-269446,AR,07:00:00,21:00:00,14:00:00
398,26539-230148,AR,07:00:00,22:00:00,15:00:00
399,1277-139525,AR,06:30:00,22:00:00,15:30:00
400,15653-164104,AR,07:00:00,22:00:00,15:00:00
401,15329-160024,AR,07:00:00,23:00:00,16:00:00
402,16743-175224,AR,06:30:00,22:00:00,15:30:00
403,16479-169427,AR,06:30:00,20:00:00,13:30:00
404,24877-228684,AR,08:00:00,23:00:00,15:00:00
405,16600-173444,AR,07:00:00,21:00:00,14:00:00
406,26472-239830,AR,06:30:00,21:30:00,15:00:00
407,16237-169426,AR,08:00:00,22:00:00,14:00:00
408,8090-154364,AR,06:30:00,21:00:00,14:30:00
409,51315-278014,AR,06:30:00,21:00:00,14:30:00
410,23695-219147,AR,07:00:00,20:30:00,13:30:00
411,56607-290487,AR,07:00:00,22:00:00,15:00:00
412,53537-285731,AR,07:00:00,21:00:00,14:00:00
413,26461-232984,AR,07:00:00,21:00:00,14:00:00
414,51310-278023,AR,09:00:00,22:00:00,13:00:00
415,7152-150785,AR,07:00:00,21:30:00,14:30:00
416,19944-202505,AR,07:00:00,21:00:00,14:00:00
417,47750-259026,AR,07:00:00,20:00:00,13:00:00
418,19948-198065,AR,06:30:00,20:00:00,13:30:00
419,1285-140708,AR,06:30:00,21:00:00,14:30:00
420,1282-139530,AR,07:00:00,21:00:00,14:00:00
421,26459-238684,AR,07:00:00,21:00:00,14:00:00
422,26538-230144,AR,07:00:00,20:00:00,13:00:00
423,26535-240364,AR,06:30:00,20:00:00,13:30:00
424,50378-274446,AR,07:00:00,18:00:00,11:00:00
425,50379-274447,AR,07:00:00,20:00:00,13:00:00
426,15672-164105,AR,06:30:00,21:00:00,14:30:00
427,8177-151507,AR,07:00:00,21:00:00,14:00:00
428,54463-286709,AR,07:00:00,21:00:00,14:00:00
429,17802-185946,AR,07:00:00,20:30:00,13:30:00
430,1281-139529,AR,07:00:00,20:00:00,13:00:00
431,21525-212344,AR,08:30:00,21:00:00,12:30:00
432,15142-156008,AR,06:30:00,21:00:00,14:30:00
433,3803-153444,AR,07:00:00,22:00:00,15:00:00
434,20619-198066,AR,07:00:00,20:00:00,13:00:00
435,15459-161686,AR,07:00:00,21:00:00,14:00:00
436,9126-151506,AR,06:30:00,20:00:00,13:30:00
437,49472-269454,AR,06:00:00,21:00:00,15:00:00
438,54291-286550,AR,07:00:00,22:00:00,15:00:00
439,40204-76700,AT,07:30:00,21:00:00,13:30:00
440,40206-77760,AT,07:00:00,21:00:00,14:00:00
441,32492-120288,AT,06:30:00,20:00:00,13:30:00
442,59648-293830,AT,07:00:00,21:30:00,14:30:00
443,40213-99693,AT,08:00:00,20:00:00,12:00:00
444,15134-158024,AT,07:30:00,20:30:00,13:00:00
445,17786-183845,AT,06:30:00,20:30:00,14:00:00
446,19247-200084,AT,06:30:00,21:00:00,14:30:00
447,31077-103980,AT,07:00:00,21:30:00,14:30:00
448,32495-133884,AT,06:30:00,21:00:00,14:30:00
449,23739-161864,AT,06:00:00,21:00:00,15:00:00
450,40212-96779,AT,06:15:00,18:30:00,12:15:00
451,40202-69420,AT,07:00:00,21:00:00,14:00:00
452,13074-150484,AT,07:30:00,20:30:00,13:00:00
453,21998-216824,AT,08:00:00,19:30:00,11:30:00
454,25921-242984,AT,05:00:00,20:00:00,15:00:00
455,53343-284764,AT,09:00:00,21:00:00,12:00:00
456,56689-290605,SK,08:00:00,21:00:00,13:00:00
458,49159-254844,SK,07:30:00,21:30:00,14:00:00
459,49331-254845,SK,08:00:00,21:30:00,13:30:00
460,51041-276777,SK,07:00:00,21:00:00,14:00:00
461,49324-261229,SK,08:00:00,21:00:00,13:00:00
462,53558-285766,CZ,10:00:00,21:00:00,11:00:00
463,32639-137287,BE,00:00:00,00:00:00,00:00:00
464,6030-137290,BE,05:00:00,21:00:00,16:00:00
465,1338-245953,BE,03:30:00,21:00:00,17:30:00
466,48459-260557,BE,08:00:00,17:00:00,09:00:00
467,48462-260556,BE,08:00:00,17:00:00,09:00:00
469,48458-252564,BE,07:00:00,17:00:00,10:00:00
470,20374-205052,BE,10:30:00,18:00:00,07:30:00
471,15272-158067,BE,07:00:00,19:00:00,12:00:00
472,26401-240667,BE,07:30:00,16:00:00,08:30:00
473,62248-296857,BE,06:30:00,19:00:00,12:30:00
474,26399-240668,BE,07:30:00,15:00:00,07:30:00
475,53522-285716,BE,08:00:00,16:00:00,08:00:00
476,53524-285717,BE,08:00:00,16:00:00,08:00:00
477,20894-198024,BE,08:00:00,17:00:00,09:00:00
479,51471-277548,BE,08:00:00,16:00:00,08:00:00
480,51470-277465,BE,08:00:00,16:00:00,08:00:00
481,6104-148664,BE,08:00:00,19:00:00,11:00:00
482,48460-262584,BE,07:30:00,14:30:00,07:00:00
483,18497-185504,BE,11:00:00,18:00:00,07:00:00
484,57636-291729,BE,06:00:00,18:00:00,12:00:00
485,57637-291730,BE,06:00:00,18:00:00,12:00:00
486,19372-201645,BE,08:00:00,17:30:00,09:30:00
487,17299-177127,BE,07:30:00,19:00:00,11:30:00
488,15759-164604,BE,09:00:00,18:30:00,09:30:00
489,60386-294648,BE,08:30:00,18:30:00,10:00:00
490,51472-277468,BE,08:00:00,16:00:00,08:00:00
491,59943-294077,BE,08:00:00,16:30:00,08:30:00
492,59946-294079,BE,08:00:00,16:30:00,08:30:00
493,55318-289148,NL,07:00:00,16:30:00,09:30:00
494,58555-292747,NL,07:00:00,20:00:00,13:00:00
506,1349-112145,BH,06:30:00,01:30:00,19:00:00
507,34345-98401,BH,10:00:00,18:30:00,08:30:00
515,1582-122086,BH,07:00:00,23:30:00,16:30:00
516,17189-179925,BH,06:30:00,23:00:00,16:30:00
523,32717-122090,BH,08:30:00,00:00:00,15:30:00
525,32716-134986,BH,10:00:00,21:30:00,11:30:00
526,15439-161444,BH,06:30:00,23:30:00,17:00:00
528,34324-95973,BH,00:00:00,00:00:00,00:00:00
529,34286-79020,BH,07:30:00,23:30:00,16:00:00
535,34234-33223,BH,08:30:00,23:30:00,15:00:00
536,34218-27369,BH,09:00:00,00:00:00,15:00:00
540,34302-86720,BH,07:00:00,23:30:00,16:30:00
545,34308-93504,SA,06:00:00,02:00:00,20:00:00
555,32580-128367,SA,06:30:00,00:30:00,18:00:00
561,13053-153764,BS,09:00:00,23:00:00,14:00:00
571,4641-99593,CA,05:30:00,20:00:00,14:30:00
572,138-23,CA,05:30:00,20:00:00,14:30:00
573,4866-113885,CA,05:30:00,18:00:00,12:30:00
574,55048-288809,CA,05:00:00,21:00:00,16:00:00
575,4852-100915,CA,05:00:00,21:00:00,16:00:00
576,79563-103174,CA,07:00:00,20:00:00,13:00:00
577,58255-290135,CA,06:00:00,19:00:00,13:00:00
578,140-2120,CA,05:30:00,19:30:00,14:00:00
579,4482-89003,CA,05:30:00,19:00:00,13:30:00
580,18727-296865,CA,05:00:00,21:00:00,16:00:00
581,4640-99641,CA,05:00:00,19:00:00,14:00:00
582,4201-209164,CA,05:30:00,21:00:00,15:30:00
583,16139-163904,CA,06:30:00,16:00:00,09:30:00
584,4659-100573,CA,05:30:00,21:00:00,15:30:00
585,5077-140164,CA,07:00:00,16:30:00,09:30:00
586,4100-132104,CA,05:30:00,20:00:00,14:30:00
587,20831-207284,CA,06:00:00,20:00:00,14:00:00
588,4972-104887,CA,05:30:00,20:00:00,14:30:00
589,74378-92181,CA,07:00:00,20:00:00,13:00:00
590,51852-279724,CA,05:00:00,20:00:00,15:00:00
591,4501-277760,CA,05:00:00,20:00:00,15:00:00
592,79601-107921,CA,07:00:00,19:00:00,12:00:00
593,4221-46,CA,07:00:00,19:00:00,12:00:00
594,58968-291604,CA,06:00:00,21:00:00,15:00:00
595,74841-100500,CA,07:00:00,20:00:00,13:00:00
596,4723-103830,CA,05:30:00,20:00:00,14:30:00
597,4389-5324,CA,05:30:00,20:00:00,14:30:00
598,4553-101499,CA,05:30:00,19:00:00,13:30:00
599,56496-289940,CA,07:00:00,18:00:00,11:00:00
600,29965-256056,CA,05:30:00,20:00:00,14:30:00
601,15687-157685,CA,06:00:00,19:00:00,13:00:00
602,3067-137671,CA,06:00:00,19:30:00,13:30:00
603,4610-45179,CA,07:00:00,21:00:00,14:00:00
604,4739-103079,CA,05:00:00,18:00:00,13:00:00
605,24247-236889,CA,06:00:00,19:00:00,13:00:00
606,4818-104454,CA,06:00:00,19:00:00,13:00:00
607,22436-210404,CA,06:00:00,19:00:00,13:00:00
608,70310-133529,CA,06:00:00,14:00:00,08:00:00
609,4660-100750,CA,05:30:00,18:00:00,12:30:00
610,74843-99493,CA,07:00:00,20:00:00,13:00:00
611,4464-85803,CA,05:30:00,20:00:00,14:30:00
612,29914-253954,CA,05:30:00,20:00:00,14:30:00
613,27309-246886,CA,07:00:00,18:00:00,11:00:00
614,9039-273384,CA,05:30:00,22:00:00,16:30:00
615,4923-108672,CA,05:30:00,20:00:00,14:30:00
616,4821-104450,CA,05:30:00,20:00:00,14:30:00
617,78056-116695,CA,07:30:00,19:30:00,12:00:00
618,4578-96122,CA,05:00:00,22:00:00,17:00:00
619,127-168,CA,05:30:00,20:00:00,14:30:00
620,4539-94946,CA,05:00:00,20:00:00,15:00:00
621,74720-96049,CA,07:00:00,19:00:00,12:00:00
622,4466-86440,CA,05:00:00,19:00:00,14:00:00
623,4522-87720,CA,05:00:00,19:30:00,14:30:00
624,18376-180065,CA,06:00:00,19:00:00,13:00:00
625,4920-277757,CA,06:00:00,18:00:00,12:00:00
626,4644-99427,CA,06:00:00,19:30:00,13:30:00
627,185-122,CA,05:30:00,19:00:00,13:30:00
628,22372-152325,CA,05:30:00,20:00:00,14:30:00
629,22863-224507,CA,06:00:00,20:00:00,14:00:00
630,4502-87721,CA,05:00:00,18:30:00,13:30:00
631,4471-87100,CA,05:30:00,20:30:00,15:00:00
632,4692-101458,CA,05:30:00,19:00:00,13:30:00
633,74811-99382,CA,07:00:00,20:00:00,13:00:00
634,4453-82766,CA,05:30:00,21:00:00,15:30:00
635,79644-107081,CA,07:00:00,19:00:00,12:00:00
636,4753-103524,CA,05:30:00,19:00:00,13:30:00
637,4341-1741,CA,06:00:00,19:30:00,13:30:00
638,4599-96885,CA,05:00:00,20:30:00,15:30:00
639,4359-1858,CA,06:00:00,21:00:00,15:00:00
640,53011-270704,CA,07:00:00,19:00:00,12:00:00
641,191-128,CA,06:00:00,19:30:00,13:30:00
642,4213-35,CA,06:00:00,18:30:00,12:30:00
643,4771-104877,CA,05:30:00,19:00:00,13:30:00
644,22139-218106,CA,07:00:00,21:30:00,14:30:00
