Year,Postseason Rank,Team,Total Attendance,Avg. Attendance,Approx. Payroll,Payroll %,W-L Record,W Record,L Record,Run Difference,Regular Season Rank,Total Games,Runs/Games,Hits,Stolen Bases,Walks,Stike Outs,Batting Average,On Base %,Slugging %,Avg Attendance % Capacity,,,,,,
2023,12,TOR Blue Jays,"3,021,904.00","37,307.00","$211,190,269 ",4.54,0.54938,89,73,0.5,9,162,4.6,1423,99,550,1303,0.256,0.329,0.417,,,,,,,
2023,26,WAS Nationals,"1,865,832.00","23,035.00","$99,211,578 ",2.13,0.43827,71,91,-0.9,26,162,4.32,1401,127,423,1149,0.254,0.314,0.396,,,,,,,
2022,20,AZ Diamondbacks,"1,605,199.00","19,817.00","$78,860,000 ",1.58,0.45679,74,88,-0.2,19,162,4.33,1232,104,531,1341,0.23,0.304,0.385,,,,,,,
2022,6,ATL Braves,"3,129,931.00","38,641.00","$181,075,000 ",3.62,0.62346,101,61,1.1,3,162,4.87,1394,87,470,1498,0.253,0.317,0.443,,,,,,,
2022,14,BAL Orioles,"1,368,367.00","16,893.00","$48,000,000 ",0.96,0.51235,83,79,-0.1,14,162,4.16,1281,95,476,1390,0.236,0.305,0.39,,,,,,,
2022,18,BOS Red Sox,"2,625,089.00","32,409.00","$188,420,000 ",3.77,0.48148,78,84,-0.3,18,162,4.54,1427,52,478,1373,0.258,0.321,0.409,,,,,,,
2022,19,CHI Cubs,"2,616,780.00","32,306.00","$131,085,000 ",2.62,0.45679,74,88,-0.5,20,162,4.06,1293,111,507,1448,0.238,0.311,0.387,,,,,,,
2022,15,CHI White Sox,"2,009,359.00","24,807.00","$167,458,334 ",3.35,0.5,81,81,-0.2,16,162,4.23,1435,58,388,1269,0.256,0.31,0.387,,,,,,,
2022,28,CIN Reds,"1,395,770.00","17,232.00","$111,882,381 ",2.24,0.38272,62,100,-1,27,162,4,1264,58,452,1430,0.235,0.304,0.372,,,,,,,
2022,7,CLE Guardians,"1,295,870.00","15,998.00","$65,960,000 ",1.32,0.5679,92,70,0.4,7,162,4.31,1410,119,450,1122,0.254,0.316,0.383,,,,,,,
2022,24,COL Rockies,"2,597,428.00","32,067.00","$112,605,000 ",2.25,0.41975,68,94,-1.1,23,162,4.31,1408,45,453,1330,0.254,0.315,0.398,,,,,,,
2022,25,DET Tigers,"1,575,544.00","19,214.00","$117,740,000 ",2.36,0.40741,66,96,-1,25,162,3.44,1240,47,380,1413,0.231,0.286,0.346,,,,,,,
2022,1,HOU Astros,"2,688,998.00","33,198.00","$164,789,600 ",3.3,0.65432,106,56,1.4,2,162,4.55,1341,83,528,1179,0.248,0.319,0.424,,,,,,,
2022,26,KAS Royals,"1,277,686.00","15,774.00","$87,410,000 ",1.75,0.40123,65,97,-1,26,162,3.95,1327,104,460,1287,0.244,0.306,0.38,,,,,,,
2022,21,LA Angels,"2,457,461.00","30,339.00","$167,063,095 ",3.34,0.45062,73,89,-0.3,21,162,3.85,1265,77,449,1539,0.233,0.297,0.39,,,,,,,
2022,8,LA Dodgers,"3,861,408.00","47,672.00","$261,180,131 ",5.23,0.68519,111,51,2.1,1,162,5.23,1418,98,607,1374,0.257,0.333,0.442,,,,,,,
2022,22,MIA Marlins,"907,487.00","11,204.00","$68,200,000 ",1.36,0.42593,69,93,-0.6,22,162,3.62,1241,122,436,1429,0.23,0.294,0.363,,,,,,,
2022,13,MIL Brewers,"2,422,420.00","29,906.00","$128,421,127 ",2.57,0.53086,86,76,0.2,13,162,4.48,1271,96,577,1464,0.235,0.315,0.409,,,,,,,
2022,17,MIN Twins,"1,801,128.00","22,236.00","$110,792,857 ",2.22,0.48148,78,84,0.1,17,162,4.3,1356,38,518,1353,0.248,0.317,0.401,,,,,,,
2022,10,NY Mets,"2,564,737.00","31,663.00","$240,473,333 ",4.81,0.62346,101,61,1,4,162,4.77,1422,62,510,1217,0.259,0.332,0.412,,,,,,,
2022,3,NY Yankees,"3,136,207.00","38,719.00","$238,950,714 ",4.78,0.61111,99,63,1.5,5,162,4.98,1308,102,620,1391,0.241,0.325,0.426,,,,,,,
2022,29,OAK Athletics,"787,902.00","9,849.00","$50,248,334 ",1.01,0.37037,60,102,-1.2,29,162,3.51,1147,78,433,1389,0.216,0.281,0.346,,,,,,,
2022,2,PHI Phillies,"2,276,736.00","28,108.00","$209,488,461 ",4.19,0.53704,87,75,0.4,11,162,4.61,1392,105,478,1363,0.253,0.317,0.422,,,,,,,
2022,27,PIT Pirates,"1,257,458.00","15,524.00","$37,925,000 ",0.76,0.38272,62,100,-1.4,28,162,3.65,1186,89,476,1497,0.222,0.291,0.364,,,,,,,
2022,4,SD Padres,"2,987,470.00","36,882.00","$192,600,824 ",3.85,0.54938,89,73,0.3,10,162,4.35,1317,49,574,1327,0.241,0.318,0.382,,,,,,,
2022,16,SF Giants,"2,287,267.00","28,238.00","$78,285,000 ",1.57,0.5,81,81,0.1,15,162,4.26,1236,83,596,1397,0.23,0.315,0.39,,,,,,,
2022,5,SEA Mariners,"2,482,686.00","30,650.00","$147,929,667 ",2.96,0.55556,90,72,0.4,9,162,4.42,1261,64,571,1462,0.234,0.315,0.39,,,,,,,
2022,9,STL Cardinals,"3,320,551.00","40,994.00","$156,814,666 ",3.14,0.57407,93,69,0.8,6,162,4.77,1386,95,537,1226,0.252,0.325,0.42,,,,,,,
2022,12,TB Rays,"1,128,127.00","13,927.00","$73,004,211 ",1.46,0.53086,86,76,0.3,12,162,4.11,1294,95,500,1395,0.239,0.309,0.377,,,,,,,
2022,23,TEX Rangers,"2,011,361.00","24,832.00","$120,176,667 ",2.4,0.41975,68,94,-0.2,24,162,4.36,1308,128,456,1446,0.239,0.301,0.395,,,,,,,
2022,11,TOR Blue Jays,"2,653,830.00","32,763.00","$172,705,857 ",3.46,0.5679,92,70,0.6,8,162,4.78,1464,67,500,1242,0.264,0.329,0.431,,,,,,,
2022,30,WAS Nationals,"2,026,401.00","25,017.00","$125,051,666 ",2.5,0.33951,55,107,-1.6,30,162,3.72,1351,75,442,1221,0.249,0.31,0.377,,,,,,,
2021,30,AZ Diamondbacks,"1,043,010.00","12,877.00","$77,691,667 ",1.69,0.32099,52,110,-1.3,30,162,4.19,1297,43,537,1465,0.236,0.309,0.382,,,,,,,
2021,1,ATL Braves,"2,299,647.00","28,746.00","$127,230,000 ",2.77,0.54658,88,73,0.8,12,161,4.91,1307,59,549,1453,0.244,0.319,0.435,,,,,,,
2021,29,BAL Orioles,"793,229.00","9,793.00","$42,075,000 ",0.91,0.32099,52,110,-1.8,29,162,4.07,1296,54,451,1454,0.239,0.304,0.402,,,,,,,
2021,4,BOS Red Sox,"1,725,323.00","21,300.00","$156,095,000 ",3.39,0.5679,92,70,0.5,7,162,5.12,1434,40,512,1386,0.261,0.328,0.449,,,,,,,
2021,24,CHI Cubs,"1,978,934.00","24,431.00","$144,413,500 ",3.14,0.43827,71,91,-0.8,24,162,4.35,1255,86,502,1596,0.237,0.312,0.407,,,,,,,
2021,5,CHI White Sox,"1,596,385.00","19,708.00","$115,546,333 ",2.51,0.57407,93,69,1,6,162,4.91,1373,57,586,1389,0.256,0.336,0.422,,,,,,,
2021,14,CIN Reds,"1,505,024.00","18,581.00","$116,784,881 ",2.54,0.51235,83,79,0.2,14,162,4.85,1352,36,553,1425,0.249,0.328,0.431,,,,,,,
2021,16,CLE Guardians,"1,114,368.00","13,758.00","$50,425,500 ",1.1,0,0,0,-0.1,,0,4.43,1269,109,453,1387,0.238,0.303,0.407,,,,,,,
2021,21,COL Rockies,"1,938,645.00","23,934.00","$92,675,000 ",2.02,0.45963,74,87,-0.4,21,161,4.59,1338,76,491,1356,0.249,0.317,0.414,,,,,,,
2021,18,DET Tigers,"1,102,621.00","13,613.00","$78,590,500 ",1.71,0.47531,77,85,-0.4,19,162,4.3,1299,88,490,1514,0.242,0.308,0.399,,,,,,,
2021,2,HOU Astros,"2,068,509.00","25,537.00","$190,400,000 ",4.14,0.58642,95,67,1.3,4,162,5.33,1496,53,569,1222,0.267,0.339,0.444,,,,,,,
2021,22,KC Royals,"1,159,613.00","14,316.00","$86,820,000 ",1.89,0.45679,74,88,-0.6,22,162,4.23,1349,124,421,1258,0.249,0.306,0.396,,,,,,,
2021,20,LA Angels,"1,515,689.00","18,484.00","$188,408,595 ",4.1,0,0,0,-0.5,,0,4.46,1331,79,464,1394,0.245,0.31,0.407,,,,,,,
2021,3,LA Dodgers,"2,804,693.00","34,626.00","$248,108,334 ",5.4,0.65432,106,56,1.7,2,162,5.12,1330,65,613,1408,0.244,0.33,0.429,,,,,,,
2021,25,MIA Marlins,"642,617.00","7,934.00","$33,150,000 ",0.72,0.41358,67,95,-0.5,25,162,3.85,1244,106,450,1553,0.233,0.298,0.372,,,,,,,
2021,6,MIL Brewers,"1,824,282.00","22,522.00","$85,517,626 ",1.86,0.58642,95,67,0.7,5,162,4.56,1251,82,586,1465,0.233,0.317,0.396,,,,,,,
2021,23,MIN Twins,"1,310,199.00","16,175.00","$120,158,333 ",2.61,0.45062,73,89,-0.6,23,162,4.5,1311,54,525,1405,0.241,0.314,0.423,,,,,,,
2021,19,NY Mets,"1,511,926.00","18,666.00","$184,675,167 ",4.02,0.47531,77,85,-0.2,20,162,3.93,1243,54,495,1392,0.239,0.315,0.391,,,,,,,
2021,10,NY Yankees,"1,959,854.00","24,196.00","$209,799,047 ",4.56,0.5679,92,70,0.3,8,162,4.39,1266,63,621,1482,0.237,0.322,0.407,,,,,,,
2021,13,OAK Athletics,"701,430.00","8,660.00","$94,555,834 ",2.06,0.53086,86,76,0.3,13,162,4.59,1284,88,545,1349,0.238,0.317,0.406,,,,,,,
2021,15,PHI Phillies,"1,515,890.00","18,715.00","$185,286,962 ",4.03,0.50617,82,80,-0.1,15,162,4.53,1288,77,564,1402,0.24,0.318,0.408,,,,,,,
2021,27,PIT Pirates,"859,498.00","10,611.00","$50,255,000 ",1.09,0.37654,61,101,-1.4,27,162,3.76,1261,60,529,1328,0.236,0.309,0.364,,,,,,,
2021,17,SD Padres,"2,191,950.00","27,061.00","$154,984,286 ",3.37,0.48765,79,83,0.1,17,162,4.5,1305,110,586,1324,0.242,0.321,0.401,,,,,,,
2021,8,SF Giants,"1,215,985.00","15,012.00","$64,605,500 ",1.4,0.66049,107,55,1.3,1,162,4.3,1209,64,535,1492,0.226,0.303,0.385,,,,,,,
2021,12,SEA Mariners,"1,679,484.00","20,734.00","$150,863,778 ",3.28,0.55556,90,72,-0.3,11,162,4.96,1360,66,602,1461,0.249,0.329,0.44,,,,,,,
2021,9,STL Cardinals,"2,102,530.00","25,957.00","$155,329,667 ",3.38,0.55556,90,72,0.2,10,162,4.36,1303,89,478,1341,0.244,0.313,0.412,,,,,,,
2021,7,TB Rays,"761,072.00","9,396.00","$52,937,166 ",1.15,0.61728,100,62,1.3,3,162,5.29,1336,88,585,1542,0.243,0.321,0.429,,,,,,,
2021,28,TEX Rangers,"2,110,258.00","26,053.00","$67,890,999 ",1.48,0.37037,60,102,-1.2,28,162,3.86,1254,106,433,1381,0.232,0.294,0.375,,,,,,,
2021,11,TOR Blue Jays,"805,901.00","10,074.00","$121,694,071 ",2.65,0.56173,91,71,1.1,9,162,5.22,1455,81,496,1218,0.266,0.33,0.466,,,,,,,
2021,26,WAS Nationals,"1,465,543.00","18,093.00","$172,370,147 ",3.75,0.40123,65,97,-0.6,26,162,4.47,1388,56,573,1303,0.258,0.337,0.417,,,,,,,
2019,13,AZ Diamondbacks,"2,135,510.00","26,364.00","$124,016,266 ",2.71,0.52469,85,77,0.4,13,162,5.02,1419,88,540,1360,0.252,0.323,0.434,,,,,,,
2019,7,ATL Braves,"2,654,920.00","32,777.00","$133,186,667 ",2.91,0.59877,97,65,0.7,5,162,5.28,1432,89,619,1467,0.258,0.336,0.452,,,,,,,
2019,29,BAL Orioles,"1,307,807.00","16,146.00","$82,696,100 ",1.81,0.33333,54,108,-1.6,29,162,4.5,1379,84,462,1435,0.246,0.31,0.415,,,,,,,
2019,14,BOS Red Sox,"2,915,502.00","35,994.00","$218,978,142 ",4.79,0.51852,84,78,0.5,15,162,5.56,1554,68,590,1382,0.269,0.34,0.466,,,,,,,
2019,15,CHI Cubs,"3,094,865.00","38,208.00","$220,305,215 ",4.82,0.51852,84,78,0.6,14,162,5.02,1378,45,581,1460,0.252,0.331,0.452,,,,,,,
2019,20,CHI White Sox,"1,649,775.00","20,622.00","$80,846,333 ",1.77,0.4472,72,89,-0.8,20,161,4.4,1443,63,378,1549,0.261,0.314,0.414,,,,,,,
2019,19,CIN Reds,"1,809,075.00","22,334.00","$109,737,499 ",2.4,0.46296,75,87,-0.1,19,162,4.33,1328,80,492,1436,0.244,0.315,0.422,,,,,,,
2019,11,CLE Guardians,"1,738,642.00","21,465.00","$151,257,783 ",3.31,0.57407,93,69,0.7,8,162,4.75,1354,103,563,1332,0.25,0.323,0.432,,,,,,,
2019,22,COL Rockies,"2,993,244.00","36,954.00","$145,348,500 ",3.18,0.43827,71,91,-0.8,22,162,5.15,1502,71,489,1503,0.265,0.326,0.456,,,,,,,
2019,30,DET Tigers,"1,501,430.00","18,536.00","$100,618,500 ",2.2,0.29193,47,114,-2.1,30,161,3.61,1333,57,391,1595,0.24,0.294,0.388,,,,,,,
2019,2,HOU Astros,"2,857,367.00","35,276.00","$166,042,500 ",3.63,0.66049,107,55,1.7,1,162,5.68,1538,67,645,1166,0.274,0.352,0.495,,,,,,,
2019,27,KAS Royals,"1,479,659.00","18,267.00","$98,183,242 ",2.15,0.3642,59,103,-1.1,27,162,4.27,1356,117,456,1405,0.247,0.309,0.401,,,,,,,
2019,21,LA Angels,"3,023,012.00","37,321.00","$158,078,584 ",3.46,0.44444,72,90,-0.6,21,162,4.75,1368,65,586,1276,0.247,0.324,0.422,,,,,,,
2019,5,LA Dodgers,"3,974,309.00","49,066.00","$193,553,333 ",4.23,0.65432,106,56,1.7,2,162,5.47,1414,57,607,1356,0.257,0.338,0.472,,,,,,,
2019,28,MIA Marlins,"811,302.00","10,016.00","$74,683,643 ",1.63,0.35185,57,105,-1.2,28,162,3.8,1326,55,395,1469,0.241,0.298,0.375,,,,,,,
2019,9,MIL Brewers,"2,923,333.00","36,091.00","$128,842,900 ",2.82,0.54938,89,73,0,11,162,4.75,1366,101,629,1563,0.246,0.329,0.438,,,,,,,
2019,8,MIN Twins,"2,303,299.00","28,436.00","$113,758,333 ",2.49,0.62346,101,61,1.1,4,162,5.8,1547,28,525,1334,0.27,0.338,0.494,,,,,,,
2019,12,NY Mets,"2,442,532.00","30,155.00","$154,837,230 ",3.39,0.53086,86,76,0.3,12,162,4.88,1445,56,516,1384,0.257,0.328,0.442,,,,,,,
2019,4,NY Yankees,"3,304,404.00","40,795.00","$228,442,421 ",5,0.56296,76,59,1.3,3,135,5.82,1493,55,569,1437,0.267,0.339,0.49,,,,,,,
2019,10,OAK Athletics,"1,670,734.00","20,626.00","$102,935,833 ",2.25,0.59877,97,65,1,6,162,5.22,1384,49,578,1338,0.249,0.327,0.448,,,,,,,
2019,16,PHI Phillies,"2,727,421.00","33,672.00","$141,786,962 ",3.1,0.5,81,81,-0.1,16,162,4.78,1369,78,562,1453,0.246,0.319,0.427,,,,,,,
2019,24,PIT Pirates,"1,491,439.00","18,413.00","$72,915,501 ",1.6,0.42593,69,93,-0.9,24,162,4.68,1497,64,425,1213,0.265,0.321,0.42,,,,,,,
2019,23,SD Padres,"2,396,399.00","29,585.00","$90,260,767 ",1.97,0.4321,70,92,-0.7,23,162,4.21,1281,70,504,1581,0.238,0.308,0.41,,,,,,,
2019,18,SF Giants,"1,791,109.00","22,112.00","$126,874,600 ",2.78,0.47531,77,85,-0.6,18,162,4.68,1305,115,588,1581,0.237,0.316,0.424,,,,,,,
2019,25,SEA Mariners,"2,707,760.00","33,429.00","$175,450,753 ",3.84,0.41975,68,94,-0.8,25,162,4.19,1332,47,475,1435,0.239,0.302,0.392,,,,,,,
2019,3,STL Cardinals,"3,480,393.00","42,968.00","$161,120,267 ",3.52,0.56173,91,71,0.6,10,162,4.72,1336,116,561,1420,0.245,0.322,0.415,,,,,,,
2019,6,TB Rays,"1,178,735.00","14,552.00","$57,098,067 ",1.25,0.59259,96,66,0.7,7,162,4.75,1427,94,542,1493,0.254,0.325,0.431,,,,,,,
2019,17,TEX Rangers,"2,132,994.00","26,333.00","$104,433,499 ",2.28,0.48148,78,84,-0.4,17,162,5,1374,131,534,1578,0.248,0.319,0.431,,,,,,,
2019,26,TOR Blue Jays,"1,750,144.00","21,607.00","$62,180,671 ",1.36,0.41358,67,95,-0.6,26,162,4.48,1299,51,509,1514,0.236,0.305,0.428,,,,,,,
2019,1,WAS Nationals,"2,259,781.00","27,899.00","$203,016,595 ",4.44,0.57407,93,69,0.9,9,162,5.39,1460,116,584,1308,0.265,0.342,0.454,,,,,,,
