issue,public_access_level,category,department,codebook_version,request_type_id,count_as_of_mid2024,definition
Broken Sidewalk,Block Level,Building Maintenance,"Permits, Licenses and Inspections",2015,27530,6282,
Building (Residential)/DO NOT USE,Block Level,,,2024,400,105,
Building Benchmark Ordinance,Block Level,,,2024,233551,73,
Building Maintenance,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,17302,26978,
Building Violation (Residential)/DO NOT USE,Block Level,,,2024,386,45,
Building Without a Permit,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,436,10888,
Building or Property Maintenance,Block Level,,,2024,160745,189,
Bulk,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
Bulk Pick Up,Neighborhood,,,2024,502,1735,
Bus Shelter,Block Level,Construction Issues,311,2015,461,615,
Bus Shelter Relocation Request,Block Level,,,2024,237229,25,
Bus Stop Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,462,72,
Business Accessibility,Neighborhood,Business Issues,"Permits, Licenses and Inspections",2015,16215,186,
COVID - 19 Violations,Neighborhood,,,2024,431376,132,
Cable Bureau/Programming,N/A,"Communications (Cable, Website)",Innovation & Performance,2015,382,329,
Capital Budget Candidate,Block Level,,,2024,336960,34,
Catch Basin Clogged,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,,,
"Catch Basin, Clogged",Block Level,,,2024,16048,4975,
"Catch Basin, Request for Installation",Block Level,,,2024,412670,89,
Catch Basins,Block Level,,,2024,523,3,
Check Conditions,Neighborhood,Animal Issues,Animal Care & Control,2015,363,1332,
Christmas Tree,Neighborhood,,,2024,181879,299,
Cited Root Prunes,Block Level,,,2024,22116,242,
CitiParks Programs,N/A,Ask Us/General FAQs,Parks & Recs-Programs,2015,282,456,
City Clerk,N/A,Ask Us/General FAQs,City Clerks Office,2015,276,16,
City Council,N/A,Ask Us/General FAQs,311,2015,277,63,
City Cuts - Thank You,N/A,,,2024,255453,96,
City Cuts Application Request,Neighborhood,,,2024,255449,101,
City Cuts Concern,Neighborhood,,,2024,255452,690,
City Facility,Block Level,Accessibility,DPW - Facilities,2015,375,1112,
City Facility,Block Level,City Facilities and Infrastructure,DPW - Facilities,2015,375,1112,"Senior center, recreation center, fire station, etc."
City Owned Property Maintenance,Block Level,,,2024,29136,1614,
City Park,Block Level,Weeds/Debris,DPW - Street Maintenance,2015,,,
City Source (CDBG),Block Level,,,2024,29136,8661,
"City Steps, Need Cleared",Block Level,City Facilities and Infrastructure,DPW - Street Maintenance,2015,822,2255,
"City Steps, Need Repaired",Block Level,City Facilities and Infrastructure,DPW - Construction Division,2015,,,
City Website,N/A,"Communications (Cable, Website)",Innovation & Performance,2015,383,194,
Collapsed Catch Basin,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,16047,2042,
Commercial Refuse/Dumpsters,Block Level,Garbage and Litter Issues,DPW - Refuse,2015,503,1988,
Commission on Human Relations,Neighborhood,,,2024,369030,477,
Concern,Neighborhood,,,2024,255452,687,
Concrete Slab Repair,Block Level,,,2024,422136,289,
Construction Site Maintenance,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,33740,2290,
Couch on Porch,Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,408,701,
County Maintenance,Block Level,,,2024,73946,269,
"Court, Basketball or Tennis",Block Level,City Facilities and Infrastructure,DPW - Park Maintenance,2015,426,551,
"Court, Basketball or Tennis",Block Level,Parks Issues,DPW - Park Maintenance,2015,426,551,
Courtesy Pick Up,Neighborhood,,,2024,821238,13,
Crashes and Close Calls,Block Level,,,2024,394829,489,
Crossing Guards,Block Level,Public Safety,School Guards,2015,446,478,
"Crosswalk and Street Markings, Maintenance",Block Level,,,2024,830,2234,
"Crosswalk, New",Block Level,,,2024,464,735,
Curb /Angle Iron/Metal Exposed,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,,,
Curb /Broken/Deteriorated,Block Level,Road/Street Issues,DPW - Permits,2015,,,
Curb Cuts,Block Level,Road/Street Issues,DPW - Permits,2015,467,278,
"Curb Paint, Maintenance",Block Level,,,2024,468,1109,
"Curb Painting, New",Block Level,,,2024,832,663,
Curb paint,Block Level,Road/Street Issues,DPW - Traffic,2015,,,
Curb paint application,Block Level,,,2024,53459,166,
Curb/Request for Asphalt Windrow,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,546,2106,
DO NOT USE (Vacant and Open Building),Block Level,,,2024,456,227,
DOMI Andon,Block Level,,,2024,508344,45,
Dead Animal,Block Level,Animal Issues,Animal Care & Control,2015,364,7010,
Dead Tree (3TB),Block Level,,,2024,1891,1441,
Dead tree (Public property),Block Level,Tree Issues,DPW - Forestry Division,2015,518,2735,
Deer Management Pilot Program,Block Level,,,2024,783223,95,
Demolition,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,,,
Demolition - DO NOT USE,Neighborhood,,,2024,387,197,
Discrimination/Unfair Practices,Neighborhood,,,2024,118083,71,
Dog License,Block Level,Animal Issues,Finance,2015,365,91,
Drainage/Leak,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,470,3266,
Drug Enforcement,Neighborhood,Public Safety,Police - Zones 1-6,2015,447,3977,
Dumping (Private Property),Block Level,Weeds/Debris,"Permits, Licenses and Inspections",2015,,,
Dumping (Private Property)/DO NOT USE,Block Level,,,2024,409,38,
"Dumping, Private Property",Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,27515,2118,
Dumpster,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,33748,971,
Dumpster,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,33748,971,
Dumpster (on Street),Block Level,Permits,DPW - Permits,2015,437,1896,
E-Waste Voucher,Neighborhood,,,2024,468394,17,
EMS Billing,Neighborhood,,,2024,36983,66,
EMS Procedures,Neighborhood,,,2024,36987,178,
EMT,N/A,Taxes,Finance,2015,14650,7,
Early Set Out,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,504,7551,
Early Trash Set Out,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2024,160757,301,
Early Trash Set Out (DO NOT USE),Neighborhood,Garbage and Litter Issues,DPW - Refuse,2024,160757,6,
Earned Income Tax,N/A,Business Issues,Finance,2015,370,147,
Earned Income Tax,N/A,Taxes,Finance,2015,370,147,
EconOffice of Municipal Investigationsc Development,N/A,Ask Us/General FAQs,Mayor's Office - Community Affairs,2015,,,
Economic Development,Block Level,,,2024,278,281,
Electrical Violation,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,388,532,
Electronic/Hazardous Waste Disposal,Neighborhood,,,2024,468456,213,
Emergency Medical Services Procedures,N/A,Public Safety,Emergency Medical Services,2015,,,
Employment/Hiring,N/A,Personnel (City),Human Resources and Civil Service Commission,2015,441,211,
Ethics Office,Neighborhood,,,2024,294705,461,
Excessive Noise/Disturbances,Neighborhood,Neighborhood Issues,Police - Zones 1-6,2015,297,7036,
Fence,Block Level,City Facilities and Infrastructure,DPW - Construction Division,2015,378,406,
Fence Maintenance,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,16198,762,
Field,Block Level,Parks Issues,DPW - Park Maintenance,2015,427,1236,
Field,Block Level,Permits,DPW - Permits,2015,427,1236,
Finance Department,N/A,Ask Us/General FAQs,Finance,2015,279,38,
Fire Department,N/A,Ask Us/General FAQs,Fire Bureau,2015,280,226,
Fire Lane,Block Level,Public Safety,Fire Bureau,2015,448,123,
Fire Prevention,Block Level,Public Safety,Fire Bureau,2015,449,497,
Fire Safety System Issue,Block Level,,,2024,50392,2093,
Fire Safety System Not Working,Block Level,,,2024,16224,1947,
Fire Safety Sytem Not Working,Block Level,Building Maintenance,"Permits, Licenses and Inspections",2015,,,
Flooding,Block Level,,,2024,396444,218,
Food Safety Complaints,Block Level,,,2024,196642,149,
Gang Activity,Neighborhood,Public Safety,Police - Zones 1-6,2015,818,670,
Graffiti,Block Level,Graffiti Issues,Police - Zones 1-6,2024,160743,97,
Graffiti (DO NOT USE),Block Level,Graffiti Issues,Police - Zones 1-6,2024,160743,3,
Graffiti in Right of Way,Block Level,Graffiti Issues,Police - Zones 1-6,2024,293,369,
Graffiti on Structure,Block Level,Graffiti Issues,Police - Zones 1-6,2024,50394,553,
"Graffiti, Documentation",Block Level,Graffiti Issues,Police - Zones 1-6,2015,292,2270,
"Graffiti, Documentation (DO NOT USE)",Block Level,Graffiti Issues,Police - Zones 1-6,2024,292,267,
"Graffiti, Removal",Block Level,Graffiti Issues,DPW - 2nd Division,2015,293,1408,
"Grate, Stormwater",Block Level,,,2024,306151,354,
Greenways,Block Level,,,2024,331917,163,
Guide Rail,Block Level,Road/Street Issues,DPW - Construction Division,2015,471,648,
HACP,Block Level,,,2024,394384,203,
HVAC Not Functioning,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,393,220,
"Handicap Parking Signs, Removal ",Block Level,,,2024,551,911,
Handicap Ramp Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,,,
"Handicap Ramp, Repair",Block Level,Accessibility,DPW - Construction Division,2015,,,
"Handicap Ramp, Request for Installation",Block Level,Accessibility,DPW - Transportation & Engineering,2015,,,
Handicapped Parking Application,Block Level,,,2024,823,677,
Handicapped Parking Sign Request,Block Level,Parking,311,2015,,,
"Handicapped Parking Space, Residential Request",Block Level,Traffic and Street Sign Issues,311,2015,,,
Health Hazard,Block Level,,,2024,391,995,
Homeless,Block Level,Public Safety,Police - Zones 1-6,2015,450,2531,
Homestead Act/Senior Tax Relief,Neighborhood,Business Issues,Finance,2015,371,151,
Hydrant,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,524,2102,
Hydrant - Fire Admin,Block Level,,,2024,16867,68,
Illegal Dumping,Neighborhood,Garbage and Litter Issues,DPW - Permits,2015,828,6532,
Illegal Dumping (DO NOT USE),Neighborhood,Garbage and Litter Issues,DPW - Permits,2024,160776,3,
Illegal Parking,Neighborhood,Parking,Police - Zones 1-6,2015,417,18573,
Illegal Parking (DO NOT USE),Neighborhood,Parking,Police - Zones 1-6,2024,160754,12,
Improper Work in a Historic District,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,27516,387,
Improvements,Block Level,,,2024,336961,6,
Junk Vehicles,Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,418,2461,Junk vehicles on private property.
Junk Vehicles (Private Property),Block Level,,,2024,418,259,
KNOWLEDGE BASE ARTICLES,N/A,,,2024,578,7,
Landslide,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,1265,984,
Late Set Out,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,505,1174,
Lead Safety,Block Level,,,2024,638692,27,
Lead Testing Kit,Block Level,,,2024,104143,226,
Leak,Neighborhood,Building Maintenance,311/Pittsburgh Water & Sewer Authority,2015,525,3968,
Leak,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,525,3968,
"Leaves, Grass or Other Yard Debris",Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,513,646,
Leaves/Street Cleaning,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,474,2632,
Lights,Block Level,Parks Issues,DPW - Park Maintenance,2015,27441,979,
Line Striping/Curb Painting (Maintenance Issue),Block Level,Road/Street Issues,DPW - Traffic,2015,,,
Line Striping/Curb Painting (New Request),Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,,,
Litter,Block Level,Garbage and Litter Issues,DPW - Street Maintenance,2015,428,859,
Litter,Block Level,Parks Issues,DPW - Park Maintenance,2015,428,859,
Litter Can,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,478,554,
"Litter Can, Public",Block Level,Garbage and Litter Issues,DPW - Street Maintenance,2015,833,4472,
Litter can,Block Level,Parks Issues,DPW - Park Maintenance,2015,,,
"Litter, Public Property",Block Level,,,2024,831,15813,
"Loading Zone, Request",Block Level,,,2024,824,68,
Loading zone application,Block Level,,,2024,111696,25,
Loose Dog(s),Neighborhood,Animal Issues,Animal Care & Control,2015,10220,1118,
Maintenance Conditions,Block Level,,,2024,336962,15,
Manhole Cover,Block Level,Utility Issues,DPW - Permits,2015,,,
Manhole Cover,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2024,16332,945,
"Manhole Covers, PWSA",Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2024,526,1164,
"Manhole Covers, Pittsburgh Water & Sewer Authority (PWSA)",Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,,,
Mayor's Office,N/A,Ask Us/General FAQs,Mayor's Office - Community Affairs,2015,281,5711,
Meter (Water),Neighborhood,Utility Issues,Pittsburgh Water & Sewer Authority,2015,527,82,
Meter (broken),Block Level,Parking,Parking Authority,2015,42081,208,
Misconduct/City Employee,Neighborhood,,,2024,442,1403,
Missed Blue Bag,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
Missed Pick Up,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
Missed Recycling Pick Up,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2024,506,14398,
Missed Refuse Pick Up,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2024,507,35994,
Missing Grate,Block Level,,,2024,306151,41,
Mobile Phone App,N/A,"Communications (Cable, Website)",311,2015,536,49,
Need Potable Water,Block Level,,,2024,128708,831,
Neighborhood Issues,Neighborhood,,,2024,58345,175,
New Crosswalk Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,,,
No Dumping Sign,Block Level,,,2024,270138,104,
No Dumping Sign (DO NOT USE),Block Level,,,2024,270138,1,
No Parking Variance,Block Level,Parking,DPW - Permits,2015,17849,604,
No Water,Neighborhood,Utility Issues,Pittsburgh Water & Sewer Authority,2015,351,355,
Noise,Neighborhood,Public Safety,Police - Zones 1-6,2015,451,847,
Nuisance Bar,Neighborhood,,,2024,80788,691,
Off Leash Exercise Area,Block Level,Animal Issues,Animal Care & Control,2015,38257,64,
Operating Without a License,Block Level,Business Issues,"Permits, Licenses and Inspections",2015,289,1090,Operating without a business license.
Other,Neighborhood,,,2024,160777,356,
Other (please describe),Neighborhood,Animal Issues,Animal Care & Control,2015,367,1653,
Outdoor Retail and Dining,Block Level,,,2024,620532,55,
Overcrowding,Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,301,496,More than 3 unrelated people in the same house/apartment.
Overgrowth,Block Level,Parks Issues,DPW - Park Maintenance,2015,480,9756,
Overgrowth,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,480,9756,
"Overgrowth, Parks",Block Level,,,2024,430,1154,
PAT,Block Level,,,2024,91716,365,
PPA Parking Lot,Block Level,,,2024,36381,89,
PRT,Block Level,,,2024,91716,101,
PWSA Billing or Shut Off,Neighborhood,,,2024,522,476,
Panhandling,Block Level,Public Safety,Police - Zones 1-6,2015,547,480,
Paper street,Block Level,,,2024,26990,39,
Park Ranger,Block Level,,,2024,225211,93,
Park Shelter,Block Level,Permits,DPW - Permits,2015,543,1044,
Parking Authority,Block Level,Parking,Parking Authority,2015,419,1637,
Parking Garage,Block Level,Parking,Parking Authority,2015,421,72,
Parking Lot,Block Level,Business Issues,Finance,2015,372,48,
"Parking Lot, PPA Parking Lot",Block Level,Business Issues,PPA,2015,,,
Parking Meter Request,Block Level,Parking,DPW - Transportation & Engineering,2015,422,43,
Parking Tax,N/A,Taxes,Finance,2015,14566,7,
Parks Trails,Block Level,Parks Issues,DPW - Park Maintenance,2015,44921,742,
Patrol,Neighborhood,Public Safety,Police - Zones 1-6,2015,452,5013,
"Pavement Marking, New",Block Level,,,2024,396225,210,
Paving Concern/Problem,Block Level,Road/Street Issues,DPW - Asphalt,2015,25554,2359,
Paving Request,Block Level,Road/Street Issues,DPW - Asphalt,2015,315,9044,
Payroll Expense Tax,N/A,Taxes,Finance,2015,14567,111,
Pedestrian Signal Maintenance,Block Level,Road/Street Issues,DPW - Traffic,2015,829,559,
Pedestrian Signal Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,483,250,
Pedestrian/Bicycle Concerns,Block Level,Pedestrian/Bicycle Concerns,311,2015,,,
Performance,N/A,Personnel (City),Office of Municipal Investigations,2015,,,
Permit Parking (Request for RPP zone),Block Level,,,2024,58341,130,
Permit Parking (Residential Parking Permit),N/A,Permits,Parking Authority,2015,438,1373,
Permits,Block Level,,,2024,433,3,
"Permits, Licenses and Inspections",N/A,Ask Us/General FAQs,"Permits, Licenses and Inspections",2015,275,810,
Pittsburgh Water & Sewer Authority (PWSA) Billing or Shut Off,Neighborhood,Utility Issues,Pittsburgh Water & Sewer Authority,2015,,,
Planning Issues,Block Level,Neighborhood Issues,311,2015,58344,89,
Planting,Block Level,Tree Issues,DPW - Forestry Division,2015,519,457,
Plastic Bag Ban Compliance,Neighborhood,,,2024,787696,74,
Playground,Block Level,Parks Issues,DPW - Park Maintenance,2015,432,1596,
Police - Submit a Tip,Block Level,,,2024,687578,1445,
Police Cameras,Block Level,,,2024,468746,83,
Police Department,N/A,Ask Us/General FAQs,311,2015,283,899,
Port A Potty,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,4783,651,
Potholes,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,484,64485,
Potholes (DO NOT USE),Block Level,,,2024,160741,8,
Premature Requests,Neighborhood,,,2024,511962,731,
Procedure,N/A,Personnel (City),Human Resources and Civil Service Commission,2015,12073,146,
Program,Block Level,Parks Issues,Parks & Recs-Programs,2015,537,149,
"Project Info Request, PAW ",Block Level,,,2024,289820,24,
Property Purchase,N/A,Taxes,Finance,2015,14651,135,
Prostitution,N/A,,,2024,80791,341,
Pruning (city tree),Block Level,Tree Issues,DPW - Forestry Division,2015,520,8099,
Public Right of Way,Block Level,Weeds/Debris,DPW - Street Maintenance,2015,411,2535,
Public Works Department,N/A,Ask Us/General FAQs,DPW - Administration,2015,285,1304,
ROW,Block Level,,,2024,453107,175,
Rapid Bicycle Implementation,Block Level,,,2024,511007,5,
Real Estate Tax,N/A,Business Issues,Finance,2015,373,541,
Real Estate Tax,N/A,Taxes,Finance,2015,373,541,
Recycling,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
Recycling Questions,Neighborhood,,,2024,508,1358,
Recycling Violation,Neighborhood,,,2024,491057,359,
Refuse Violations,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2024,512,22164,
Refuse Violations (DO NOT USE),Neighborhood,Garbage and Litter Issues,DPW - Refuse,2024,160755,28,
Repair City Steps,Block Level,,,2024,354,1660,
Replace/Repair Sign,Block Level,,,2024,160752,661,
Replace/Repair Sign (DO NOT USE),Block Level,,,2024,160752,20,
Replace/Repair a Sign,Block Level,Road/Street Issues,DPW - Traffic,2015,487,12533,
Request New Sign,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,491,5777,
Residency,N/A,Personnel (City),Office of Municipal Investigations,2015,443,79,
Retaining Wall,Block Level,Road/Street Issues,DPW - Construction Division,2015,,,
Retaining Wall,Block Level,,,2024,821,503,
Retaining Wall (Private Property),Block Level,,,2024,17355,383,
Retaining Wall (Public Property),Block Level,City Facilities and Infrastructure,DPW - Construction Division,2015,,,
Retaining Wall (Public),Block Level,,,2024,821,156,
Retaining Wall Maintenance,Neighborhood,Building Maintenance,"Permits, Licenses and Inspections",2015,17355,1207,
Road,Block Level,Construction Issues,DPW - Permits,2015,405,1550,
Roadway Obstructions,Block Level,,,2024,396188,1,
Robots,Block Level,,,2024,567662,9,
Rodent control,Neighborhood,Animal Issues,Animal Care & Control,2015,368,6910,
Root prune,Block Level,,,2024,521,1618,
Root prune (City tree buckling private sidewalk),Block Level,Tree Issues,DPW - Forestry Division,2015,,,
SPIN (Stand Up) Scooters,Block Level,,,2024,542084,2364,
Salt Box,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,489,869,
Schedule Request,N/A,Garbage and Litter Issues,311,2015,509,1472,
Schenley Ice Rink,Neighborhood,,,2024,308565,18,
Scoobi (Sit-Down Scooter) Parking,Block Level,,,2024,277376,92,
Sewage,Block Level,,,2024,528,400,
Sewers,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,529,1096,
Shelters,Block Level,Parks Issues,DPW - Park Maintenance,2015,40181,171,
Side Yard Program,N/A,Taxes,Finance,2015,14649,14,
Sidewalk,Neighborhood,,,2024,552,34,
Sidewalk (city property),Block Level,Construction Issues,DPW - Construction Division,2015,,,
Sidewalk has Ice or Litter,Block Level,,,2024,359,2117,
"Sidewalk, Damaged/DO NOT USE",Neighborhood,,,2024,553,41,
"Sidewalk, Lack of Snow/Ice Removal",Block Level,Accessibility,311,2015,558,887,
"Sidewalk, Obstruction",Block Level,Accessibility,DPW - Permits,2015,,,
"Sidewalk, Overgrowth/Obstruction",Block Level,City Facilities and Infrastructure,DPW - Permits,2015,,,
Sidewalk/Curb/ADA Ramp Maintenance,Block Level,,,2024,394647,2867,
Sign,Block Level,Business Issues,"Permits, Licenses and Inspections",2015,21481,2705,Commercial sign for a business
"Signs, Advertising or Political",Block Level,,,2024,233424,506,
Sinkhole,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,492,5312,
Small Cell/Telecommunication Antenna,Block Level,,,2024,594202,35,
Smoke detectors,Neighborhood,Public Safety,Fire Bureau,2015,454,1571,
Snow Angel - Thank You,N/A,,,2024,615315,21,
Snow Angel Concern,Neighborhood,,,2024,615313,33,
Snow/Ice Removal,Block Level,,,2024,203058,375,
Snow/Ice Removal (DO NOT USE),Block Level,,,2024,203058,13,
Snow/Ice removal,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,494,31243,
Spay/neuter application,Neighborhood,,,2024,126822,46,
Special Events,Neighborhood,,,2024,101226,138,
Special Pick Up,Neighborhood,,,2024,510,514,
Speeding,Block Level,Public Safety,Police - SDD,2015,36841,2465,
Stagnant Water,Block Level,,,2024,169925,266,
Storm Damage,Block Level,,,2024,332491,1589,
Stormwater Runoff,Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,399,933,Stormwater directed from private property to neighboring property
Street Cleaning/Sweeping,Block Level,Road/Street Issues,DPW - Street Maintenance,2015,317,6918,
Street Light - Increased Wattage,Block Level,Street Light,DPW - Transportation & Engineering,2015,8718,286,
Street Light - Repair,Block Level,Street Light,Allegheny City Electric,2015,8715,15293,
Street Light - Request,Block Level,Street Light,DPW - Transportation & Engineering,2015,8716,711,
Street Light Repair,Block Level,,,2024,160748,31,
Street Light Repair (DO NOT USE),Block Level,,,2024,160748,3,
Street Obstruction/Closure,Block Level,Road/Street Issues,DPW - Permits,2015,26739,1682,
Stump Grind/Removal,Block Level,Tree Issues,DPW - Forestry Division,2015,35243,590,
Tenant/Landlord ProblEmergency Medical Services,Neighborhood,Neighborhood Issues,311,2015,,,
Tenant/Landlord Problems,Neighborhood,,,2024,305,413,
Thank You,N/A,Personnel (City),Human Resources and Civil Service Commission,2015,255453,290,
Thank You - 311,N/A,Personnel (City),311,2015,554,324,
Thank You - CitiParks,N/A,,,2024,171369,89,
Thank You - DOMI,N/A,,,2024,252100,178,
Thank You - DPW,N/A,Personnel (City),DPW - Administration,2015,,,
Thank You - EMS,N/A,,,2024,36989,65,
Thank You - Emergency Medical Services,N/A,Personnel (City),Emergency Medical Services,2015,,,
Thank You - Finance,N/A,Personnel (City),Finance,2015,,,
Thank You - PLI Personnel,N/A,,,2024,550,79,
Thank You - PWSA,N/A,,,2024,16054,59,
Thank You - Pittsburgh Water & Sewer Authority (PWSA),N/A,Personnel (City),Pittsburgh Water & Sewer Authority (PWSA),2015,,,
Thank You - Police,N/A,Personnel (City),Police - Zones 1-6,2015,819,291,
Thank you - DPW,N/A,,,2024,1921,1690,
Thank you - Finance,N/A,,,2024,14570,81,
"Ticket, Pgh Parking Authority",Block Level,Parking,Parking Authority,2015,425,231,
"Ticket, Police-issued",Block Level,Parking,Police - Zones 1-6,2015,424,103,
Towed Vehicle,Block Level,Parking,Police - AVU,2015,548,73,
Traffic,Block Level,Public Safety,Police - Zones 1-6,2015,,,
Traffic,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,,,
Traffic Calming,Block Level,,,2024,204933,2064,
Traffic Enforcement,Block Level,,,2024,455,3864,
Traffic Improvement,Block Level,,,2024,498,1793,
Traffic Shop,Block Level,,,2024,255654,2173,
Traffic Signal Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,499,1055,
Traffic Signals Surtrac,Block Level,,,2024,246519,253,
"Traffic or Pedestrian Signal, Repair",Block Level,Traffic and Street Sign Issues,DPW - Traffic,2015,339,5261,
"Traffic or Pedestrian Signal, Request",Block Level,Traffic and Street Sign Issues,DPW - Transportation & Engineering,2015,,,
"Traffic or Pedestrian Signal, Request ",Block Level,,,2024,337,1853,
Trail Maintenance,Block Level,,,2024,541,558,
Tree Fallen Across Road,Block Level,Tree Issues,DPW - Street Maintenance,2015,341,3261,
Tree Fallen Across Sidewalk,Block Level,Tree Issues,DPW - Street Maintenance,2015,342,1795,
Tree Issues,Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,27521,3484,
Tree Removal,Block Level,Tree Issues,DPW - Forestry Division,2015,345,4088,
URA property,Block Level,,,2024,56616,978,
