Date,WorldReturn,ItalyReturn,,,
10/1992,-0.027129,0.174540,,,
9/1992,-0.008751,-0.186473,,,
8/1992,0.025164,0.009421,,,
7/1992,0.002930,-0.080076,,,
6/1992,-0.033247,-0.032056,,,
5/1992,0.039868,0.019897,,,
4/1992,0.014182,0.013112,,,
3/1992,-0.047433,-0.056448,,,
2/1992,-0.016939,-0.013082,,,
1/1992,-0.018723,0.027022,,,
12/1991,0.073233,0.044380,,,
11/1991,-0.043642,0.052366,,,
10/1991,0.016916,-0.040101,,,
9/1991,0.027010,0.002600,,,
8/1991,-0.002838,-0.028833,,,
7/1991,0.047280,0.010416,,,
6/1991,-0.061507,-0.088116,,,
5/1991,0.022647,0.057819,,,
4/1991,0.008411,-0.023546,,,
3/1991,-0.029263,-0.093766,,,
2/1991,0.092779,0.150406,,,
1/1991,0.036095,-0.025882,,,
12/1990,0.021337,0.032440,,,
11/1990,-0.015977,-0.100022,,,
10/1990,0.094460,0.046536,,,
9/1990,-0.104238,-0.118421,,,
8/1990,-0.093236,-0.143134,,,
7/1990,0.008868,0.009136,,,
6/1990,-0.007532,0.019873,,,
5/1990,0.105136,0.063846,,,
4/1990,-0.014214,0.026410,,,
3/1990,-0.060477,0.039789,,,
2/1990,-0.043123,-0.045967,,,
1/1990,-0.047193,-0.003388,,,
12/1989,0.031713,0.077280,,,
11/1989,0.040729,0.051086,,,
10/1989,-0.032803,-0.078582,,,
9/1989,0.029065,-0.006644,,,
8/1989,-0.024075,0.023176,,,
7/1989,0.113380,0.107288,,,
6/1989,-0.012344,0.101998,,,
5/1989,-0.024003,-0.046589,,,
4/1989,0.023299,0.008330,,,
3/1989,-0.006563,0.014871,,,
2/1989,-0.006829,-0.020096,,,
1/1989,0.036784,-0.026562,,,
12/1988,0.009068,-0.004644,,,
11/1988,0.034191,0.017053,,,
10/1988,0.066389,0.119716,,,
9/1988,0.042927,0.066149,,,
8/1988,-0.055092,-0.033676,,,
7/1988,0.019222,0.030753,,,
6/1988,-0.000947,0.043462,,,
5/1988,-0.020021,-0.105039,,,
4/1988,0.012742,-0.016620,,,
3/1988,0.030418,0.041064,,,
2/1988,0.058458,0.060072,,,
1/1988,0.024670,-0.077775,,,
