Date,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Full Time Result,Half Time Home Goals,Half Time Away Goals,Haft Time Result,Home Red Cards,Away Red Cards,,,
31/08/2022,Bournemouth,Wolves,0,0,D,0,0,D,0,0,,,
31/08/2022,Man City,Nottingham,6,0,H,3,0,H,0,0,,,
31/08/2022,West Ham,Tottenham,1,1,D,0,1,A,0,0,,,
31/08/2022,Liverpool,Newcastle,2,1,H,0,1,A,0,0,,,
1/9/22,Leicester,Man United,0,1,A,0,1,A,0,0,,,
3/9/22,Everton,Liverpool,0,0,D,0,0,D,0,0,,,
3/9/22,Brentford,Leeds,5,2,H,2,1,H,0,0,,,
3/9/22,Chelsea,West Ham,2,1,H,0,0,D,0,0,,,
3/9/22,Newcastle,Crystal Palace,0,0,D,0,0,D,0,0,,,
3/9/22,Nottingham,Bournemouth,2,3,A,2,0,H,0,0,,,
3/9/22,Tottenham,Fulham,2,1,H,1,0,H,0,0,,,
3/9/22,Wolves,Southampton,1,0,H,1,0,H,0,0,,,
3/9/22,Aston Villa,Man City,1,1,D,0,0,D,0,0,,,
4/9/22,Brighton,Leicester,5,2,H,2,2,D,0,0,,,
4/9/22,Man United,Arsenal,3,1,H,1,0,H,0,0,,,
16/09/2022,Aston Villa,Southampton,1,0,H,1,0,H,0,0,,,
16/09/2022,Nottingham,Fulham,2,3,A,1,0,H,0,0,,,
17/09/2022,Wolves,Man City,0,3,A,0,2,A,1,0,,,
17/09/2022,Newcastle,Bournemouth,1,1,D,0,0,D,0,0,,,
17/09/2022,Tottenham,Leicester,6,2,H,2,2,D,0,0,,,
18/09/2022,Brentford,Arsenal,0,3,A,0,2,A,0,0,,,
18/09/2022,Everton,West Ham,1,0,H,0,0,D,0,0,,,
1/10/22,Arsenal,Tottenham,3,1,H,1,1,D,0,1,,,
1/10/22,Bournemouth,Brentford,0,0,D,0,0,D,0,0,,,
1/10/22,Crystal Palace,Chelsea,1,2,A,1,1,D,0,0,,,
1/10/22,Fulham,Newcastle,1,4,A,0,3,A,1,0,,,
1/10/22,Liverpool,Brighton,3,3,D,1,2,A,0,0,,,
1/10/22,Southampton,Everton,1,2,A,0,0,D,0,0,,,
1/10/22,West Ham,Wolves,2,0,H,1,0,H,0,0,,,
2/10/22,Man City,Man United,6,3,H,4,0,H,0,0,,,
2/10/22,Leeds,Aston Villa,0,0,D,0,0,D,1,0,,,
3/10/22,Leicester,Nottingham,4,0,H,3,0,H,0,0,,,
8/10/22,Bournemouth,Leicester,2,1,H,0,1,A,0,0,,,
8/10/22,Chelsea,Wolves,3,0,H,1,0,H,0,0,,,
8/10/22,Man City,Southampton,4,0,H,2,0,H,0,0,,,
8/10/22,Newcastle,Brentford,5,1,H,2,0,H,0,0,,,
8/10/22,Brighton,Tottenham,0,1,A,0,1,A,0,0,,,
9/10/22,Crystal Palace,Leeds,2,1,H,1,1,D,0,0,,,
9/10/22,West Ham,Fulham,3,1,H,1,1,D,0,0,,,
9/10/22,Arsenal,Liverpool,3,2,H,2,1,H,0,0,,,
9/10/22,Everton,Man United,1,2,A,1,2,A,0,0,,,
10/10/22,Nottingham,Aston Villa,1,1,D,1,1,D,0,0,,,
14/10/2022,Brentford,Brighton,2,0,H,1,0,H,0,0,,,
15/10/2022,Leicester,Crystal Palace,0,0,D,0,0,D,0,0,,,
15/10/2022,Fulham,Bournemouth,2,2,D,1,2,A,0,0,,,
15/10/2022,Wolves,Nottingham,1,0,H,0,0,D,0,0,,,
15/10/2022,Tottenham,Everton,2,0,H,0,0,D,0,0,,,
16/10/2022,Aston Villa,Chelsea,0,2,A,0,1,A,0,0,,,
16/10/2022,Leeds,Arsenal,0,1,A,0,1,A,0,0,,,
16/10/2022,Man United,Newcastle,0,0,D,0,0,D,0,0,,,
16/10/2022,Southampton,West Ham,1,1,D,1,0,H,0,0,,,
16/10/2022,Liverpool,Man City,1,0,H,0,0,D,0,0,,,
18/10/2022,Brighton,Nottingham,0,0,D,0,0,D,0,0,,,
18/10/2022,Crystal Palace,Wolves,2,1,H,0,1,A,0,0,,,
19/10/2022,Bournemouth,Southampton,0,1,A,0,1,A,0,0,,,
19/10/2022,Brentford,Chelsea,0,0,D,0,0,D,0,0,,,
19/10/2022,Liverpool,West Ham,1,0,H,1,0,H,0,0,,,
19/10/2022,Newcastle,Everton,1,0,H,1,0,H,0,0,,,
19/10/2022,Man United,Tottenham,2,0,H,0,0,D,0,0,,,
20/10/2022,Fulham,Aston Villa,3,0,H,1,0,H,0,1,,,
20/10/2022,Leicester,Leeds,2,0,H,2,0,H,0,0,,,
22/10/2022,Nottingham,Liverpool,1,0,H,0,0,D,0,0,,,
22/10/2022,Everton,Crystal Palace,3,0,H,1,0,H,0,0,,,
22/10/2022,Man City,Brighton,3,1,H,2,0,H,0,0,,,
22/10/2022,Chelsea,Man United,1,1,D,0,0,D,0,0,,,
23/10/2022,Aston Villa,Brentford,4,0,H,3,0,H,0,0,,,
23/10/2022,Leeds,Fulham,2,3,A,1,1,D,0,0,,,
23/10/2022,Southampton,Arsenal,1,1,D,0,1,A,0,0,,,
23/10/2022,Wolves,Leicester,0,4,A,0,2,A,0,0,,,
23/10/2022,Tottenham,Newcastle,1,2,A,0,2,A,0,0,,,
24/10/2022,West Ham,Bournemouth,2,0,H,1,0,H,0,0,,,
29/10/2022,Leicester,Man City,0,1,A,0,0,D,0,0,,,
29/10/2022,Bournemouth,Tottenham,2,3,A,1,0,H,0,0,,,
29/10/2022,Brentford,Wolves,1,1,D,0,0,D,0,1,,,
29/10/2022,Brighton,Chelsea,4,1,H,3,0,H,0,0,,,
29/10/2022,Crystal Palace,Southampton,1,0,H,1,0,H,0,0,,,
29/10/2022,Newcastle,Aston Villa,4,0,H,1,0,H,0,0,,,
29/10/2022,Fulham,Everton,0,0,D,0,0,D,0,0,,,
29/10/2022,Liverpool,Leeds,1,2,A,1,1,D,0,0,,,
30/10/2022,Arsenal,Nottingham,5,0,H,1,0,H,0,0,,,
30/10/2022,Man United,West Ham,1,0,H,1,0,H,0,0,,,
5/11/22,Leeds,Bournemouth,4,3,H,1,2,A,0,0,,,
5/11/22,Man City,Fulham,2,1,H,1,1,D,1,0,,,
5/11/22,Nottingham,Brentford,2,2,D,1,1,D,0,0,,,
5/11/22,Wolves,Brighton,2,3,A,2,2,D,1,0,,,
5/11/22,Everton,Leicester,0,2,A,0,1,A,0,0,,,
6/11/22,Chelsea,Arsenal,0,1,A,0,0,D,0,0,,,
6/11/22,Aston Villa,Man United,3,1,H,2,1,H,0,0,,,
6/11/22,Southampton,Newcastle,1,4,A,0,1,A,0,0,,,
6/11/22,West Ham,Crystal Palace,1,2,A,1,1,D,0,0,,,
6/11/22,Tottenham,Liverpool,1,2,A,0,2,A,0,0,,,
12/11/22,Man City,Brentford,1,2,A,1,1,D,0,0,,,
12/11/22,Bournemouth,Everton,3,0,H,2,0,H,0,0,,,
12/11/22,Liverpool,Southampton,3,1,H,3,1,H,0,0,,,
12/11/22,Nottingham,Crystal Palace,1,0,H,0,0,D,0,0,,,
12/11/22,Tottenham,Leeds,4,3,H,1,2,A,0,1,,,
12/11/22,West Ham,Leicester,0,2,A,0,1,A,0,0,,,
12/11/22,Newcastle,Chelsea,1,0,H,0,0,D,0,0,,,
12/11/22,Wolves,Arsenal,0,2,A,0,0,D,0,0,,,
13/11/2022,Brighton,Aston Villa,1,2,A,1,1,D,0,0,,,
13/11/2022,Fulham,Man United,1,2,A,0,1,A,0,0,,,
26/12/2022,Brentford,Tottenham,2,2,D,1,0,H,0,0,,,
26/12/2022,Crystal Palace,Fulham,0,3,A,0,1,A,2,0,,,
26/12/2022,Everton,Wolves,1,2,A,1,1,D,0,0,,,
26/12/2022,Leicester,Newcastle,0,3,A,0,3,A,0,0,,,
26/12/2022,Southampton,Brighton,1,3,A,0,2,A,0,0,,,
26/12/2022,Aston Villa,Liverpool,1,3,A,0,2,A,0,0,,,
26/12/2022,Arsenal,West Ham,3,1,H,0,1,A,0,0,,,
27/12/2022,Chelsea,Bournemouth,2,0,H,2,0,H,0,0,,,
27/12/2022,Man United,Nottingham,3,0,H,2,0,H,0,0,,,
28/12/2022,Leeds,Man City,1,3,A,0,1,A,0,0,,,
30/12/2022,West Ham,Brentford,0,2,A,0,2,A,0,0,,,
30/12/2022,Liverpool,Leicester,2,1,H,2,1,H,0,0,,,
31/12/2022,Wolves,Man United,0,1,A,0,0,D,0,0,,,
31/12/2022,Bournemouth,Crystal Palace,0,2,A,0,2,A,0,0,,,
31/12/2022,Fulham,Southampton,2,1,H,1,0,H,0,0,,,
31/12/2022,Man City,Everton,1,1,D,1,0,H,0,0,,,
31/12/2022,Newcastle,Leeds,0,0,D,0,0,D,0,0,,,
31/12/2022,Brighton,Arsenal,2,4,A,0,2,A,0,0,,,
1/1/23,Tottenham,Aston Villa,0,2,A,0,0,D,0,0,,,
1/1/23,Nottingham,Chelsea,1,1,D,0,1,A,0,0,,,
2/1/23,Brentford,Liverpool,3,1,H,2,0,H,0,0,,,
3/1/23,Arsenal,Newcastle,0,0,D,0,0,D,0,0,,,
3/1/23,Everton,Brighton,1,4,A,0,1,A,0,0,,,
3/1/23,Leicester,Fulham,0,1,A,0,1,A,0,0,,,
3/1/23,Man United,Bournemouth,3,0,H,1,0,H,0,0,,,
4/1/23,Southampton,Nottingham,0,1,A,0,1,A,0,0,,,
4/1/23,Leeds,West Ham,2,2,D,1,1,D,0,0,,,
4/1/23,Aston Villa,Wolves,1,1,D,0,1,A,0,0,,,
4/1/23,Crystal Palace,Tottenham,0,4,A,0,0,D,0,0,,,
5/1/23,Chelsea,Man City,0,1,A,0,0,D,0,0,,,
12/1/23,Fulham,Chelsea,2,1,H,1,0,H,0,1,,,
13/01/2023,Aston Villa,Leeds,2,1,H,1,0,H,0,0,,,
14/01/2023,Man United,Man City,2,1,H,0,0,D,0,0,,,
14/01/2023,Brighton,Liverpool,3,0,H,0,0,D,0,0,,,
14/01/2023,Everton,Southampton,1,2,A,1,0,H,0,0,,,
14/01/2023,Nottingham,Leicester,2,0,H,0,0,D,0,0,,,
14/01/2023,Wolves,West Ham,1,0,H,0,0,D,0,0,,,
14/01/2023,Brentford,Bournemouth,2,0,H,1,0,H,0,0,,,
15/01/2023,Chelsea,Crystal Palace,1,0,H,0,0,D,0,0,,,
15/01/2023,Newcastle,Fulham,1,0,H,0,0,D,0,0,,,
15/01/2023,Tottenham,Arsenal,0,2,A,0,2,A,0,0,,,
18/01/2023,Crystal Palace,Man United,1,1,D,0,1,A,0,0,,,
19/01/2023,Man City,Tottenham,4,2,H,0,2,A,0,0,,,
21/01/2023,Liverpool,Chelsea,0,0,D,0,0,D,0,0,,,
21/01/2023,Bournemouth,Nottingham,1,1,D,1,0,H,0,0,,,
21/01/2023,Leicester,Brighton,2,2,D,1,1,D,0,0,,,
21/01/2023,Southampton,Aston Villa,0,1,A,0,0,D,0,0,,,
21/01/2023,West Ham,Everton,2,0,H,2,0,H,0,0,,,
21/01/2023,Crystal Palace,Newcastle,0,0,D,0,0,D,0,0,,,
22/01/2023,Leeds,Brentford,0,0,D,0,0,D,0,0,,,
22/01/2023,Man City,Wolves,3,0,H,1,0,H,0,0,,,
22/01/2023,Arsenal,Man United,3,2,H,1,1,D,0,0,,,
23/01/2023,Fulham,Tottenham,0,1,A,0,1,A,0,0,,,
3/2/23,Chelsea,Fulham,0,0,D,0,0,D,0,0,,,
4/2/23,Everton,Arsenal,1,0,H,0,0,D,0,0,,,
4/2/23,Aston Villa,Leicester,2,4,A,2,3,A,0,0,,,
4/2/23,Brentford,Southampton,3,0,H,2,0,H,0,0,,,
4/2/23,Brighton,Bournemouth,1,0,H,0,0,D,0,0,,,
4/2/23,Man United,Crystal Palace,2,1,H,1,0,H,1,0,,,
4/2/23,Wolves,Liverpool,3,0,H,2,0,H,0,0,,,
4/2/23,Newcastle,West Ham,1,1,D,1,1,D,0,0,,,
5/2/23,Nottingham,Leeds,1,0,H,1,0,H,0,0,,,
5/2/23,Tottenham,Man City,1,0,H,1,0,H,1,0,,,
8/2/23,Man United,Leeds,2,2,D,0,1,A,0,0,,,
11/2/23,West Ham,Chelsea,1,1,D,1,1,D,0,0,,,
11/2/23,Arsenal,Brentford,1,1,D,0,0,D,0,0,,,
11/2/23,Crystal Palace,Brighton,1,1,D,0,0,D,0,0,,,
11/2/23,Fulham,Nottingham,2,0,H,1,0,H,0,0,,,
11/2/23,Leicester,Tottenham,4,1,H,3,1,H,0,0,,,
11/2/23,Southampton,Wolves,1,2,A,1,0,H,0,1,,,
11/2/23,Bournemouth,Newcastle,1,1,D,1,1,D,0,0,,,
12/2/23,Leeds,Man United,0,2,A,0,0,D,0,0,,,
12/2/23,Man City,Aston Villa,3,1,H,3,0,H,0,0,,,
13/02/2023,Liverpool,Everton,2,0,H,1,0,H,0,0,,,
15/02/2023,Arsenal,Man City,1,3,A,1,1,D,0,0,,,
18/02/2023,Aston Villa,Arsenal,2,4,A,2,1,H,0,0,,,
18/02/2023,Brentford,Crystal Palace,1,1,D,0,0,D,0,0,,,
18/02/2023,Brighton,Fulham,0,1,A,0,0,D,0,0,,,
18/02/2023,Chelsea,Southampton,0,1,A,0,1,A,0,0,,,
18/02/2023,Everton,Leeds,1,0,H,0,0,D,0,0,,,
18/02/2023,Nottingham,Man City,1,1,D,0,1,A,0,0,,,
18/02/2023,Wolves,Bournemouth,0,1,A,0,0,D,0,0,,,
18/02/2023,Newcastle,Liverpool,0,2,A,0,2,A,1,0,,,
19/02/2023,Man United,Leicester,3,0,H,1,0,H,0,0,,,
19/02/2023,Tottenham,West Ham,2,0,H,0,0,D,0,0,,,
24/02/2023,Fulham,Wolves,1,1,D,0,1,A,0,0,,,
25/02/2023,Everton,Aston Villa,0,2,A,0,0,D,0,0,,,
25/02/2023,Leeds,Southampton,1,0,H,0,0,D,0,0,,,
25/02/2023,Leicester,Arsenal,0,1,A,0,0,D,0,0,,,
25/02/2023,West Ham,Nottingham,4,0,H,0,0,D,0,0,,,
25/02/2023,Bournemouth,Man City,1,4,A,0,3,A,0,0,,,
25/02/2023,Crystal Palace,Liverpool,0,0,D,0,0,D,0,0,,,
26/02/2023,Tottenham,Chelsea,2,0,H,0,0,D,0,0,,,
1/3/23,Arsenal,Everton,4,0,H,2,0,H,0,0,,,
1/3/23,Liverpool,Wolves,2,0,H,0,0,D,0,0,,,
4/3/23,Man City,Newcastle,2,0,H,1,0,H,0,0,,,
4/3/23,Arsenal,Bournemouth,3,2,H,0,1,A,0,0,,,
4/3/23,Aston Villa,Crystal Palace,1,0,H,1,0,H,0,1,,,
4/3/23,Brighton,West Ham,4,0,H,1,0,H,0,0,,,
4/3/23,Chelsea,Leeds,1,0,H,0,0,D,0,0,,,
4/3/23,Wolves,Tottenham,1,0,H,0,0,D,0,0,,,
4/3/23,Southampton,Leicester,1,0,H,1,0,H,0,0,,,
5/3/23,Nottingham,Everton,2,2,D,1,2,A,0,0,,,
5/3/23,Liverpool,Man United,7,0,H,1,0,H,0,0,,,
6/3/23,Brentford,Fulham,3,2,H,1,1,D,0,0,,,
11/3/23,Bournemouth,Liverpool,1,0,H,1,0,H,0,0,,,
11/3/23,Everton,Brentford,1,0,H,1,0,H,0,0,,,
11/3/23,Leeds,Brighton,2,2,D,1,1,D,0,0,,,
11/3/23,Leicester,Chelsea,1,3,A,1,2,A,1,0,,,
11/3/23,Tottenham,Nottingham,3,1,H,2,0,H,0,0,,,
11/3/23,Crystal Palace,Man City,0,1,A,0,0,D,0,0,,,
12/3/23,Fulham,Arsenal,0,3,A,0,3,A,0,0,,,
12/3/23,Man United,Southampton,0,0,D,0,0,D,0,0,,,
12/3/23,West Ham,Aston Villa,1,1,D,1,1,D,0,0,,,
12/3/23,Newcastle,Wolves,2,1,H,1,0,H,0,0,,,
15/03/2023,Brighton,Crystal Palace,1,0,H,1,0,H,0,0,,,
15/03/2023,Southampton,Brentford,0,2,A,0,1,A,0,0,,,
17/03/2023,Nottingham,Newcastle,1,2,A,1,1,D,0,0,,,
18/03/2023,Aston Villa,Bournemouth,3,0,H,1,0,H,0,0,,,
18/03/2023,Brentford,Leicester,1,1,D,1,0,H,1,0,,,
18/03/2023,Southampton,Tottenham,3,3,D,0,1,A,0,0,,,
18/03/2023,Wolves,Leeds,2,4,A,0,1,A,1,0,,,
18/03/2023,Chelsea,Everton,2,2,D,0,0,D,0,0,,,
19/03/2023,Arsenal,Crystal Palace,4,1,H,2,0,H,0,0,,,
1/4/23,Man City,Liverpool,4,1,H,1,1,D,0,0,,,
1/4/23,Arsenal,Leeds,4,1,H,1,0,H,0,0,,,
1/4/23,Bournemouth,Fulham,2,1,H,0,1,A,0,0,,,
1/4/23,Brighton,Brentford,3,3,D,2,2,D,0,0,,,
1/4/23,Crystal Palace,Leicester,2,1,H,0,0,D,0,0,,,
1/4/23,Nottingham,Wolves,1,1,D,1,0,H,0,0,,,
1/4/23,Chelsea,Aston Villa,0,2,A,0,1,A,0,0,,,
2/4/23,West Ham,Southampton,1,0,H,1,0,H,0,0,,,
2/4/23,Newcastle,Man United,2,0,H,0,0,D,0,0,,,
3/4/23,Everton,Tottenham,1,1,D,0,0,D,1,1,,,
4/4/23,Bournemouth,Brighton,0,2,A,0,1,A,0,0,,,
4/4/23,Leeds,Nottingham,2,1,H,2,1,H,0,0,,,
4/4/23,Leicester,Aston Villa,1,2,A,1,1,D,1,0,,,
4/4/23,Chelsea,Liverpool,0,0,D,0,0,D,0,0,,,
5/4/23,Man United,Brentford,1,0,H,1,0,H,0,0,,,
5/4/23,West Ham,Newcastle,1,5,A,1,2,A,0,0,,,
8/4/23,Man United,Everton,2,0,H,1,0,H,0,0,,,
8/4/23,Aston Villa,Nottingham,2,0,H,0,0,D,0,0,,,
8/4/23,Brentford,Newcastle,1,2,A,1,0,H,0,0,,,
8/4/23,Fulham,West Ham,0,1,A,0,1,A,0,0,,,
8/4/23,Leicester,Bournemouth,0,1,A,0,1,A,0,0,,,
8/4/23,Tottenham,Brighton,2,1,H,1,1,D,0,0,,,
8/4/23,Wolves,Chelsea,1,0,H,1,0,H,0,0,,,
8/4/23,Southampton,Man City,1,4,A,0,1,A,0,0,,,
9/4/23,Leeds,Crystal Palace,1,5,A,1,1,D,0,0,,,
9/4/23,Liverpool,Arsenal,2,2,D,1,2,A,0,0,,,
15/04/2023,Aston Villa,Newcastle,3,0,H,1,0,H,0,0,,,
15/04/2023,Chelsea,Brighton,1,2,A,1,1,D,0,0,,,
15/04/2023,Everton,Fulham,1,3,A,1,1,D,0,0,,,
15/04/2023,Southampton,Crystal Palace,0,2,A,0,0,D,0,0,,,
15/04/2023,Tottenham,Bournemouth,2,3,A,1,1,D,0,0,,,
15/04/2023,Wolves,Brentford,2,0,H,1,0,H,0,0,,,
15/04/2023,Man City,Leicester,3,1,H,3,0,H,0,0,,,
16/04/2023,West Ham,Arsenal,2,2,D,1,2,A,0,0,,,
16/04/2023,Nottingham,Man United,0,2,A,0,1,A,0,0,,,
17/04/2023,Leeds,Liverpool,1,6,A,0,2,A,0,0,,,
21/04/2023,Arsenal,Southampton,3,3,D,1,2,A,0,0,,,
22/04/2023,Fulham,Leeds,2,1,H,0,0,D,0,0,,,
22/04/2023,Brentford,Aston Villa,1,1,D,0,0,D,0,0,,,
22/04/2023,Crystal Palace,Everton,0,0,D,0,0,D,0,1,,,
22/04/2023,Leicester,Wolves,2,1,H,1,1,D,0,0,,,
22/04/2023,Liverpool,Nottingham,3,2,H,0,0,D,0,0,,,
23/04/2023,Bournemouth,West Ham,0,4,A,0,3,A,0,0,,,
23/04/2023,Newcastle,Tottenham,6,1,H,5,0,H,0,0,,,
25/04/2023,Wolves,Crystal Palace,2,0,H,1,0,H,0,0,,,
25/04/2023,Aston Villa,Fulham,1,0,H,1,0,H,0,0,,,
25/04/2023,Leeds,Leicester,1,1,D,1,0,H,0,0,,,
26/04/2023,Nottingham,Brighton,3,1,H,1,1,D,0,0,,,
26/04/2023,Chelsea,Brentford,0,2,A,0,1,A,0,0,,,
26/04/2023,West Ham,Liverpool,1,2,A,1,1,D,0,0,,,
26/04/2023,Man City,Arsenal,4,1,H,2,0,H,0,0,,,
27/04/2023,Everton,Newcastle,1,4,A,0,1,A,0,0,,,
27/04/2023,Southampton,Bournemouth,0,1,A,0,0,D,0,0,,,
27/04/2023,Tottenham,Man United,2,2,D,0,2,A,0,0,,,
29/04/2023,Crystal Palace,West Ham,4,3,H,3,2,H,0,0,,,
29/04/2023,Brentford,Nottingham,2,1,H,0,1,A,0,0,,,
29/04/2023,Brighton,Wolves,6,0,H,4,0,H,0,0,,,
30/04/2023,Bournemouth,Leeds,4,1,H,2,1,H,0,0,,,
30/04/2023,Fulham,Man City,1,2,A,1,2,A,0,0,,,
30/04/2023,Man United,Aston Villa,1,0,H,1,0,H,0,0,,,
30/04/2023,Newcastle,Southampton,3,1,H,0,1,A,0,0,,,
30/04/2023,Liverpool,Tottenham,4,3,H,3,1,H,0,0,,,
1/5/23,Leicester,Everton,2,2,D,2,1,H,0,0,,,
2/5/23,Arsenal,Chelsea,3,1,H,3,0,H,0,0,,,
3/5/23,Liverpool,Fulham,1,0,H,1,0,H,0,0,,,
3/5/23,Man City,West Ham,3,0,H,0,0,D,0,0,,,
4/5/23,Brighton,Man United,1,0,H,0,0,D,0,0,,,
6/5/23,Bournemouth,Chelsea,1,3,A,1,1,D,0,0,,,
6/5/23,Man City,Leeds,2,1,H,2,0,H,0,0,,,
6/5/23,Tottenham,Crystal Palace,1,0,H,1,0,H,0,0,,,
6/5/23,Wolves,Aston Villa,1,0,H,1,0,H,0,0,,,
6/5/23,Liverpool,Brentford,1,0,H,1,0,H,0,0,,,
7/5/23,Newcastle,Arsenal,0,2,A,0,1,A,0,0,,,
7/5/23,West Ham,Man United,1,0,H,1,0,H,0,0,,,
8/5/23,Fulham,Leicester,5,3,H,3,0,H,0,0,,,
8/5/23,Brighton,Everton,1,5,A,0,3,A,0,0,,,
8/5/23,Nottingham,Southampton,4,3,H,3,1,H,0,0,,,
13/05/2023,Leeds,Newcastle,2,2,D,1,1,D,1,0,,,
13/05/2023,Aston Villa,Tottenham,2,1,H,1,0,H,0,0,,,
13/05/2023,Chelsea,Nottingham,2,2,D,0,1,A,0,0,,,
13/05/2023,Crystal Palace,Bournemouth,2,0,H,1,0,H,0,0,,,
13/05/2023,Man United,Wolves,2,0,H,1,0,H,0,0,,,
13/05/2023,Southampton,Fulham,0,2,A,0,0,D,0,0,,,
14/05/2023,Brentford,West Ham,2,0,H,2,0,H,0,0,,,
14/05/2023,Everton,Man City,0,3,A,0,2,A,0,0,,,
14/05/2023,Arsenal,Brighton,0,3,A,0,0,D,0,0,,,
15/05/2023,Leicester,Liverpool,0,3,A,0,2,A,0,0,,,
18/05/2023,Newcastle,Brighton,4,1,H,2,0,H,0,0,,,
20/05/2023,Tottenham,Brentford,1,3,A,1,0,H,0,0,,,
20/05/2023,Bournemouth,Man United,0,1,A,0,1,A,0,0,,,
20/05/2023,Fulham,Crystal Palace,2,2,D,1,1,D,0,0,,,
20/05/2023,Liverpool,Aston Villa,1,1,D,0,1,A,0,0,,,
20/05/2023,Wolves,Everton,1,1,D,1,0,H,0,0,,,
20/05/2023,Nottingham,Arsenal,1,0,H,1,0,H,0,0,,,
21/05/2023,West Ham,Leeds,3,1,H,1,1,D,0,0,,,
21/05/2023,Brighton,Southampton,3,1,H,2,0,H,0,0,,,
21/05/2023,Man City,Chelsea,1,0,H,1,0,H,0,0,,,
22/05/2023,Newcastle,Leicester,0,0,D,0,0,D,0,0,,,
24/05/2023,Brighton,Man City,1,1,D,1,1,D,0,0,,,
25/05/2023,Man United,Chelsea,4,1,H,2,0,H,0,0,,,
28/05/2023,Arsenal,Wolves,5,0,H,3,0,H,0,0,,,
28/05/2023,Aston Villa,Brighton,2,1,H,2,1,H,0,0,,,
28/05/2023,Brentford,Man City,1,0,H,0,0,D,0,0,,,
28/05/2023,Chelsea,Newcastle,1,1,D,1,1,D,0,0,,,
28/05/2023,Crystal Palace,Nottingham,1,1,D,0,1,A,0,0,,,
28/05/2023,Everton,Bournemouth,1,0,H,0,0,D,0,0,,,
