Entry,When is your birthday?,What is your favorite color?,Approximately how many miles away from Pittsburgh is your hometown?,What country (or state if you're in the US) do you call home?,What is your year in college?,What is your (primary) major?,How much did you like your statistics class?,How excited are you for this class?,Do you feel confident in Excel?,How confident do you feel in python?,When is your birthyear?,When is your birthmonth?
47,1/13/05,Red,200,Pensylvania ,Junior,Psychology,4,5,No,1,2005,1
48,9/16/05,Purple,8,PA,Sophomore,Finance,5,7,No,3,2005,9
49,7/20/04,Pink,650,South carolina,Super Senior,communications/ certificate,8,9,No,1,2004,7
50,2/5/07,Orange,300,PA,Freshman,Neuroscience,10,9,Yes,1,2007,2
51,12/8/05,Blue,550,North Carolina,Sophomore,Economics,9,9,Yes,3,2005,12
52,5/11/04,Green,500,Illinois ,Senior,Political Science,1,4,No,1,2004,5
53,3/5/04,Blue,300,Pennsylvania,Senior,Marketing,9,9,Yes,8,2004,3
54,11/2/04,Orange,250,Pennsylvania,Junior,Psychology,7,7,No,1,2004,11
55,7/29/04,Blue,27,Pennsylvania,Senior,Computer Engineering,7,9,Yes,7,2004,7
56,12/12/05,Orange,100,Ohio,Sophomore,Economics,7,8,No,1,2005,12
57,2/16/02,Blue,300,Pennsylvania,Senior,Economics,3,8,Yes,1,2002,2
58,4/7/04,Blue,300,New York,Senior,Computational Biology,8,10,No,7,2004,4
59,1/23/05,Orange,2500,Washington,Junior,Economics,1,1,Yes,1,2005,1
60,3/21/05,Blue,250,Maryland,Junior,Economics,7,8,Yes,2,2005,3
61,11/25/04,Purple,0,Pennsylvania,Junior,Economics,9,8,No,1,2004,11
62,6/24/06,Blue,270,Pennsylvania,Sophomore,Biology,5,7,Yes,1,2006,6
63,2/9/04,Blue,300,Pennsylvania,Senior,Computer Engineering,7,8,Yes,9,2004,2
64,2/13/04,Green,156,Pennsylvania,Senior,Computer Science,5,9,Yes,9,2004,2
65,11/17/05,Blue,230,Virginia,Sophomore,Economics,5,7,No,1,2005,11
66,12/27/03,Brown ,300,PA,Senior,Economics,3,6,Yes,1,2003,12
67,9/1/05,Green,584,Massachusetts ,Sophomore,Marketing,8,9,No,2,2005,9
68,12/27/06,Green,300,Pennsylvania,Freshman,Economics,8,8,Yes,2,2006,12
69,12/25/06,gold,220,pennsylvania ,Freshman,Economics,9,9,No,1,2006,12
70,4/5/03,Yellow,30,Pennsylvania,Senior,Marketing,6,7,Yes,3,2003,4
71,8/10/05,Pink,300,PA,Sophomore,Psychology,5,7,Yes,1,2005,8
72,2/15/04,Blue,300,PA,Senior,Finance,6,4,Yes,8,2004,2
73,11/27/06,Red,6,"Ulaanbaatar, Mongolia",Sophomore,Information Science,8,10,No,1,2006,11
74,12/30/03,Pink,250,PA,Senior,Economics,1,5,Yes,6,2003,12
75,1/21/04,Green,300,Pennsylvania,Senior,Computer Science,4,7,No,7,2004,1
76,7/15/02,Blue,40,,Senior,Finance,8,8,Yes,7,2002,7
77,2/8/05,Blue,375,New Jersey,Junior,Computer Engineering,8,8,Yes,9,2005,2
78,9/23/05,Purple,0,Pennsylvania,Junior,Accounting,7,8,Yes,3,2005,9
79,5/16/06,Yellow,578,Massachusetts,Sophomore,"Law, Criminal Justice, & Society ",3,2,No,1,2006,5
80,7/3/06,Orange,237,pennsylvania,Sophomore,Media and Professional Communication,5,4,No,2,2006,7
81,10/18/06,Red,250,PA,Sophomore,Computer Engineering,7,6,Yes,2,2006,10
82,3/30/05,Khaki,7000,China,Junior,Psychology,5,5,No,4,2005,3
83,7/21/05,Blue,250,Washington DC,Junior,Political Science,6,7,No,1,2005,7
84,7/8/05,Pink,306,Pennsylvania,Junior,Information Science,8,8,Yes,10,2005,7
85,4/9/05,Blue,350,nj,Junior,Economics,8,7,Yes,7,2005,4
86,6/2/05,Black,15,Pennsylvania,Junior,Finance,5,5,No,4,2005,6
87,7/27/04,Blue,230,Maryland,Junior,Statistics,8,8,No,1,2004,7
88,3/23/06,Blue,250,PA,Sophomore,Political Science,6,7,No,3,2006,3
89,9/12/05,Purple,204,Virginia,Junior,Psychology,7,6,No,1,2005,9
90,9/30/04,Navy,300,PA,Junior,Economics,8,9,No,9,2004,9
91,12/24/04,Blue,275,Pennsylvania,Junior,Computer Science,7,8,Yes,9,2004,12
92,12/26/05,Yellow,188,Washington DC,Sophomore,Economics,7,9,Yes,7,2005,12
93,8/10/05,Blue,140,Pennsylvania,Junior,Political Science,6,8,Yes,1,2005,8
94,10/1/05,Blue ,562,Mexico ,Sophomore,Economics,6,8,No,1,2005,10
95,5/16/05,Green,228,PA,Junior,Ecology,7,7,No,4,2005,5
96,4/29/05,Blue,296,New Jersey,Junior,Public Health,3,8,No,1,2005,4
97,11/4/04,purple ,298,Pennsylvania ,Junior,Economics,8,7,Yes,6,2004,11
98,12/9/05,Navy,289,Pennsylvania,Sophomore,Economics,7,8,Yes,1,2005,12
99,10/24/04,Green,270,Pennsylvania,Sophomore,Economics,6,5,Yes,1,2004,10
