When is your birthday?,What is your favorite color?,Approximately how many miles away from Pittsburgh is your hometown?,What country (or state if you're in the US) do you call home?,What is your year in college?,What is your (primary) major?,How much did you like your statistics class?,How excited are you for this class?,Do you feel confident in Excel?,How confident do you feel in python?
9/22/05,Blue,7500,Japan,Sophomore,Sociology,8,5,Yes,1
2/5/04,Blue,275,Pennsylvania,Senior,Environmental Studies,5,6,Yes,1
9/26/05,Red,225,Pennsylvania ,Sophomore,Economics,9,9,Yes,1
12/14/03,blue,7300,China,Senior,Electrical Engineering,5,8,No,3
9/17/03,blue,1,Pennsylvania,Senior,Supply Chain,7,7,No,3
11/24/03,brown,8,Pennsylvania ,Senior,Economics,6,8,No,3
6/16/07,Pink,50,Pennyslvania ,Freshman,Economics,7,6,No,1
8/9/06,Black,359,New Jersey,Sophomore,Applied Mathematics,8,7,No,1
9/9/05,Navy blue,"1,418",Texas,Sophomore,Economics,10,9,No,1
9/24/03,Pink,335,Delaware,Senior,Marketing,6,7,No,7
1/12/05,Blue,0,PA,Junior,Economics,4,9,Yes,1
1/13/05,red,200,Pensylvania ,Junior,Psychology,4,5,No,1
9/16/05,purple,8,PA,Sophomore,Finance,5,7,No,3
7/20/04,pink,650,South carolina,Super Senior,communications/ certificate,8,9,No,1
2/5/07,Orange,300,PA,Freshman,Neuroscience,10,9,Yes,1
12/8/05,Blue,550,North Carolina,Sophomore,Economics,9,9,Yes,3
5/11/04,Green,500,Illinois ,Senior,Political Science,1,4,No,1
3/5/04,Blue,300,Pennsylvania,Senior,Marketing,9,9,Yes,8
11/2/04,orange,250,Pennsylvania,Junior,Psychology,7,7,No,1
7/29/04,Blue,27,Pennsylvania,Senior,Computer Engineering,7,9,Yes,7
12/12/05,Orange,100,Ohio,Sophomore,Economics,7,8,No,1
2/16/02,blue,300,Pennsylvania,Senior,Economics,3,8,Yes,1
4/7/04,Blue,300,New York,Senior,Computational Biology,8,10,No,7
1/23/05,Orange,2500,Washington,Junior,Economics,1,1,Yes,1
3/21/05,blue,250,Maryland,Junior,Economics,7,8,Yes,2
11/25/04,Purple,0,Pennsylvania,Junior,Economics,9,8,No,1
6/24/06,Blue,270,Pennsylvania,Sophomore,Biology,5,7,Yes,1
2/9/04,blue,300,Pennsylvania,Senior,Computer Engineering,7,8,Yes,9
2/13/04,Green,156,Pennsylvania,Senior,Computer Science,5,9,Yes,9
11/17/05,Blue,230,Virginia,Sophomore,Economics,5,7,No,1
12/27/03,Brown ,300,PA,Senior,Economics,3,6,Yes,1
9/1/05,Green,584,Massachusetts ,Sophomore,Marketing,8,9,No,2
12/27/06,Green,300,Pennsylvania,Freshman,Economics,8,8,Yes,2
12/25/06,gold,220,pennsylvania ,Freshman,Economics,9,9,No,1
4/5/03,Yellow,30,Pennsylvania,Senior,Marketing,6,7,Yes,3
8/10/05,pink,300,PA,Sophomore,Psychology,5,7,Yes,1
2/15/04,Blue,300,PA,Senior,Finance,6,4,Yes,8
11/27/06,Red,"6,300","Ulaanbaatar, Mongolia",Sophomore,Information Science,8,10,No,1
12/30/03,Pink,250,PA,Senior,Economics,1,5,Yes,6
1/21/04,Green,300,Pennsylvania,Senior,Computer Science,4,7,No,7
7/15/02,Blue,40,,Senior,Finance,8,8,Yes,7
2/8/05,Blue,375,New Jersey,Junior,Computer Engineering,8,8,Yes,9
9/23/05,Purple,0,Pennsylvania,Junior,Accounting,7,8,Yes,3
5/16/06,yellow,578,Massachusetts,Sophomore,"Law, Criminal Justice, & Society ",3,2,No,1
7/3/06,orange,237,pennsylvania,Sophomore,Media and Professional Communication,5,4,No,2
10/18/06,red,250,PA,Sophomore,Computer Engineering,7,6,Yes,2
3/30/05,Khaki,7000,China,Junior,Psychology,5,5,No,4
7/21/05,blue,250,Washington DC,Junior,Political Science,6,7,No,1
7/8/05,Pink,306,Pennsylvania,Junior,Information Science,8,8,Yes,10
4/9/05,blue,350,nj,Junior,Economics,8,7,Yes,7
6/2/05,black,15,Pennsylvania,Junior,Finance,5,5,No,4
7/27/04,Blue,230,Maryland,Junior,Statistics,8,8,No,1
3/23/06,blue,250,PA,Sophomore,Political Science,6,7,No,3
9/12/05,Purple,204,Virginia,Junior,Psychology,7,6,No,1
9/30/04,Navy,300,PA,Junior,Economics,8,9,No,9
12/24/04,Blue,275,Pennsylvania,Junior,Computer Science,7,8,Yes,9
12/26/05,Yellow,188,Washington DC,Sophomore,Economics,7,9,Yes,7
8/10/05,Blue,140,Pennsylvania,Junior,Political Science,6,8,Yes,1
10/1/05,Blue ,562,Mexico ,Sophomore,Economics,6,8,No,1
5/16/05,Green,228,PA,Junior,Ecology,7,7,No,4
4/29/05,Blue,296,New Jersey,Junior,Public Health,3,8,No,1
11/4/04,purple ,298,Pennsylvania ,Junior,Economics,8,7,Yes,6
12/9/05,Navy,289,Pennsylvania,Sophomore,Economics,7,8,Yes,1
10/24/04,green,270,Pennsylvania,Sophomore,Economics,6,5,Yes,1
