Entity,Code,Year,Gini coefficient (2021 prices),World regions according to OWID
Canada,CAN,2003,0.33809465,
Canada,CAN,2004,0.33776483,
Canada,CAN,2005,0.33621806,
Canada,CAN,2006,0.3409054,
Canada,CAN,2007,0.33841008,
Canada,CAN,2008,0.33930567,
Canada,CAN,2009,0.33952153,
Canada,CAN,2010,0.33592603,
Canada,CAN,2011,0.32657078,
Canada,CAN,2012,0.33539012,
Canada,CAN,2013,0.3379898,
Canada,CAN,2014,0.33157605,
Canada,CAN,2015,0.33746484,
Canada,CAN,2016,0.32701823,
Canada,CAN,2017,0.33308205,
Canada,CAN,2018,0.3250927,
Canada,CAN,2019,0.31749648,
Canada,CAN,2020,0.29851684,
Canada,CAN,2021,0.31114635,
Canada,CAN,2023,,North America
Cape Verde,CPV,2001,0.5249523,
Cape Verde,CPV,2007,0.47187388,
Cape Verde,CPV,2015,0.42381087,
Cape Verde,CPV,2023,,Africa
Cayman Islands,CYM,2023,,North America
Central African Republic,CAF,1992,0.5968511,
Central African Republic,CAF,2008,0.5619515,
Central African Republic,CAF,2021,0.43034458,
Central African Republic,CAF,2023,,Africa
Chad,TCD,2003,0.39811727,
Chad,TCD,2011,0.4332027,
Chad,TCD,2018,0.37499154,
Chad,TCD,2022,0.37357685,
Chad,TCD,2023,,Africa
Chile,CHL,1987,0.56193596,
Chile,CHL,1990,0.5723576,
Chile,CHL,1992,0.5480666,
Chile,CHL,1994,0.5642127,
Chile,CHL,1996,0.54868966,
Chile,CHL,1998,0.55516803,
Chile,CHL,2000,0.52758694,
Chile,CHL,2003,0.5147556,
Chile,CHL,2006,0.47706884,
Chile,CHL,2009,0.47404668,
Chile,CHL,2011,0.46868157,
Chile,CHL,2013,0.4682394,
Chile,CHL,2015,0.45343348,
Chile,CHL,2017,0.45269984,
Chile,CHL,2020,0.47004908,
Chile,CHL,2022,0.43042782,
Chile,CHL,2023,,South America
China,CHN,1981,0.28164098,
China,CHN,1984,0.271023,
China,CHN,1987,0.29385957,
China,CHN,1990,0.3222662,
China,CHN,1993,0.338778,
China,CHN,1996,0.3522766,
China,CHN,1999,0.38703215,
China,CHN,2002,0.41985726,
China,CHN,2005,0.40900767,
China,CHN,2008,0.4296504,
China,CHN,2010,0.43744954,
China,CHN,2011,0.42409223,
China,CHN,2012,0.42237166,
China,CHN,2013,0.397364,
China,CHN,2014,0.39177653,
China,CHN,2015,0.38595304,
China,CHN,2016,0.38480517,
China,CHN,2017,0.39075777,
China,CHN,2018,0.38497642,
China,CHN,2019,0.38168344,
China,CHN,2020,0.37090832,
China,CHN,2021,0.35743752,
China,CHN,2022,0.36019513,
China,CHN,2023,,Asia
China (rural),,1981,0.24729232,
China (rural),,1984,0.2668613,
China (rural),,1987,0.29451063,
China (rural),,1990,0.30475813,
China (rural),,1993,0.2804393,
China (rural),,1996,0.33620438,
China (rural),,1999,0.35389417,
China (rural),,2002,0.38019347,
China (rural),,2005,0.35849202,
China (rural),,2008,0.39399046,
China (rural),,2010,0.4060783,
China (rural),,2011,0.38497442,
China (rural),,2012,0.39497343,
China (rural),,2013,0.33971012,
China (rural),,2014,0.3375639,
China (rural),,2015,0.33242807,
China (rural),,2016,0.33179837,
China (rural),,2017,0.34255984,
China (rural),,2018,0.33541563,
China (rural),,2019,0.3267486,
China (rural),,2020,0.31574252,
China (rural),,2021,0.30404037,
China (rural),,2022,0.3169194,
China (urban),,1981,0.18508829,
China (urban),,1984,0.17744046,
China (urban),,1987,0.20129786,
China (urban),,1990,0.2559464,
China (urban),,1993,0.2846636,
China (urban),,1996,0.29089227,
China (urban),,1999,0.31547564,
China (urban),,2002,0.3339575,
China (urban),,2005,0.3473589,
China (urban),,2008,0.35154304,
China (urban),,2010,0.3574452,
China (urban),,2011,0.35559225,
China (urban),,2012,0.3535335,
China (urban),,2013,0.3668623,
China (urban),,2014,0.36429673,
China (urban),,2015,0.36156222,
China (urban),,2016,0.36124825,
China (urban),,2017,0.3694193,
China (urban),,2018,0.36906132,
China (urban),,2019,0.37052557,
China (urban),,2020,0.36667654,
China (urban),,2021,0.35652608,
China (urban),,2022,0.35928813,
Christmas Island,CXR,2023,,Asia
Cocos Islands,CCK,2023,,Asia
Colombia,COL,1992,0.5134726,
Colombia,COL,1996,0.5677193,
Colombia,COL,1999,0.5852623,
Colombia,COL,2000,0.5837996,
Colombia,COL,2001,0.57319844,
Colombia,COL,2002,0.5600673,
Colombia,COL,2003,0.5357277,
Colombia,COL,2004,0.54974467,
Colombia,COL,2005,0.5390761,
Colombia,COL,2008,0.5530606,
Colombia,COL,2009,0.54282105,
Colombia,COL,2010,0.5461634,
Colombia,COL,2011,0.53483087,
Colombia,COL,2012,0.52637225,
Colombia,COL,2013,0.5262469,
Colombia,COL,2014,0.5254296,
Colombia,COL,2015,0.509826,
Colombia,COL,2016,0.50562435,
Colombia,COL,2017,0.49706593,
Colombia,COL,2018,0.50410366,
Colombia,COL,2019,0.5132543,
Colombia,COL,2020,0.5348644,
Colombia,COL,2021,0.55117023,
Colombia,COL,2022,0.5481858,
Colombia,COL,2023,0.53881925,South America
Colombia (urban),,1980,0.5509124,
Colombia (urban),,1988,0.53106165,
Colombia (urban),,1989,0.528438,
Colombia (urban),,1991,0.51318896,
Comoros,COM,2004,0.5592381,
Comoros,COM,2014,0.45332187,
Comoros,COM,2023,,Africa
Congo,COG,2005,0.47329873,
Congo,COG,2011,0.48937693,
Congo,COG,2023,,Africa
Cook Islands,COK,2023,,Oceania
Costa Rica,CRI,1981,0.47494763,
Costa Rica,CRI,1986,0.3441325,
Costa Rica,CRI,1989,0.4546494,
Costa Rica,CRI,1990,0.45213926,
Costa Rica,CRI,1991,0.46553165,
Costa Rica,CRI,1992,0.45639223,
Costa Rica,CRI,1993,0.45926362,
Costa Rica,CRI,1994,0.46701846,
Costa Rica,CRI,1995,0.45658925,
Costa Rica,CRI,1996,0.4647768,
Costa Rica,CRI,1997,0.45578167,
Costa Rica,CRI,1998,0.456374,
Costa Rica,CRI,1999,0.47630617,
Costa Rica,CRI,2000,0.47409484,
Costa Rica,CRI,2001,0.5150596,
Costa Rica,CRI,2002,0.5181253,
Costa Rica,CRI,2003,0.49300322,
Costa Rica,CRI,2004,0.4841752,
Costa Rica,CRI,2005,0.47510257,
Costa Rica,CRI,2006,0.49280483,
Costa Rica,CRI,2007,0.49312812,
Costa Rica,CRI,2008,0.48640773,
Costa Rica,CRI,2009,0.5055465,
Costa Rica,CRI,2010,0.4804304,
Costa Rica,CRI,2011,0.487592,
Costa Rica,CRI,2012,0.484173,
Costa Rica,CRI,2013,0.49151808,
Costa Rica,CRI,2014,0.4863209,
Costa Rica,CRI,2015,0.4837395,
Costa Rica,CRI,2016,0.48704112,
Costa Rica,CRI,2017,0.48345202,
Costa Rica,CRI,2018,0.4796996,
Costa Rica,CRI,2019,0.48189852,
Costa Rica,CRI,2020,0.49245045,
Costa Rica,CRI,2021,0.4867803,
Costa Rica,CRI,2022,0.47151297,
Costa Rica,CRI,2023,0.4672933,North America
Costa Rica,CRI,2024,0.4582914,
Cote d'Ivoire,CIV,1985,0.45520967,
Cote d'Ivoire,CIV,1986,0.37969762,
Cote d'Ivoire,CIV,1987,0.40509075,
Cote d'Ivoire,CIV,1988,0.36886287,
Cote d'Ivoire,CIV,1992,0.39381957,
Cote d'Ivoire,CIV,1995,0.40563822,
Cote d'Ivoire,CIV,1998,0.38957322,
Cote d'Ivoire,CIV,2008,0.4317945,
Cote d'Ivoire,CIV,2015,0.4146846,
Cote d'Ivoire,CIV,2018,0.37168875,
Cote d'Ivoire,CIV,2021,0.35275364,
Cote d'Ivoire,CIV,2023,,Africa
Croatia,HRV,1988,0.22780727,
Croatia,HRV,2009,0.325536,
Croatia,HRV,2010,0.32372993,
Croatia,HRV,2011,0.32254216,
Croatia,HRV,2012,0.3247164,
Croatia,HRV,2013,0.31992215,
Croatia,HRV,2014,0.3210291,
Croatia,HRV,2015,0.3111313,
Croatia,HRV,2016,0.30897874,
Croatia,HRV,2017,0.30352274,
Croatia,HRV,2018,0.29728624,
Croatia,HRV,2019,0.28908283,
Croatia,HRV,2020,0.29543304,
Croatia,HRV,2021,0.28895947,
Croatia,HRV,2022,0.30017322,
Croatia,HRV,2023,0.30105957,Europe
Cuba,CUB,2023,,North America
Curacao,CUW,2023,,North America
Cyprus,CYP,2004,0.30089054,
Cyprus,CYP,2005,0.30259413,
Cyprus,CYP,2006,0.31125963,
Cyprus,CYP,2007,0.31113273,
Cyprus,CYP,2008,0.31708607,
Cyprus,CYP,2009,0.32108262,
Cyprus,CYP,2010,0.31457788,
Cyprus,CYP,2011,0.326255,
Cyprus,CYP,2012,0.34312433,
Cyprus,CYP,2013,0.37041834,
Cyprus,CYP,2014,0.35565284,
Cyprus,CYP,2015,0.33966377,
Cyprus,CYP,2016,0.32891682,
Cyprus,CYP,2017,0.31416234,
Cyprus,CYP,2018,0.32739753,
Cyprus,CYP,2019,0.3122324,
Cyprus,CYP,2020,0.31727943,
Cyprus,CYP,2021,0.3125177,
Cyprus,CYP,2022,0.31534076,
Cyprus,CYP,2023,0.318384,Europe
Czechia,CZE,1992,0.20703283,
Czechia,CZE,1993,0.2655349,
Czechia,CZE,1996,0.2579901,
Czechia,CZE,2002,0.26555094,
Czechia,CZE,2004,0.2753318,
Czechia,CZE,2005,0.26946017,
Czechia,CZE,2006,0.26744118,
Czechia,CZE,2007,0.2599865,
Czechia,CZE,2008,0.26280212,
Czechia,CZE,2009,0.26156676,
Czechia,CZE,2010,0.26623514,
Czechia,CZE,2011,0.26381275,
Czechia,CZE,2012,0.2610994,
Czechia,CZE,2013,0.26473904,
Czechia,CZE,2014,0.25923222,
Czechia,CZE,2015,0.25867426,
Czechia,CZE,2016,0.25406334,
Czechia,CZE,2017,0.2485221,
Czechia,CZE,2018,0.24990341,
Czechia,CZE,2019,0.25262198,
Czechia,CZE,2020,0.26245132,
Czechia,CZE,2021,0.26202103,
Czechia,CZE,2022,0.2587039,
Czechia,CZE,2023,0.25713998,Europe
Czechoslovakia,OWID_CZS,2023,,Europe
Democratic Republic of Congo,COD,2004,0.41633895,
Democratic Republic of Congo,COD,2012,0.4207512,
Democratic Republic of Congo,COD,2020,0.4467324,
Democratic Republic of Congo,COD,2023,,Africa
Democratic Republic of Vietnam,,2023,,Asia
Denmark,DNK,1987,0.2623234,
Denmark,DNK,1992,0.24691045,
Denmark,DNK,1995,0.22955896,
Denmark,DNK,2000,0.2376632,
Denmark,DNK,2003,0.2563104,
Denmark,DNK,2004,0.24911796,
Denmark,DNK,2005,0.25186387,
Denmark,DNK,2006,0.25913078,
Denmark,DNK,2007,0.26184258,
Denmark,DNK,2008,0.25246271,
Denmark,DNK,2009,0.26701194,
Denmark,DNK,2010,0.2719856,
Denmark,DNK,2011,0.27311745,
Denmark,DNK,2012,0.2779075,
Denmark,DNK,2013,0.28542548,
Denmark,DNK,2014,0.2835288,
Denmark,DNK,2015,0.28177243,
Denmark,DNK,2016,0.28187442,
Denmark,DNK,2017,0.28746662,
Denmark,DNK,2018,0.28165728,
Denmark,DNK,2019,0.27723315,
Denmark,DNK,2020,0.27503937,
Denmark,DNK,2021,0.28323492,
Denmark,DNK,2022,0.29259402,
Denmark,DNK,2023,0.2992485,Europe
Djibouti,DJI,2002,0.39997378,
Djibouti,DJI,2012,0.4510654,
Djibouti,DJI,2013,0.44118604,
Djibouti,DJI,2017,0.41586015,
Djibouti,DJI,2023,,Africa
Dominica,DMA,2023,,North America
Dominican Republic,DOM,1986,0.47780794,
Dominican Republic,DOM,1989,0.5044813,
Dominican Republic,DOM,1992,0.5105342,
Dominican Republic,DOM,1996,0.47420478,
Dominican Republic,DOM,1997,0.4890393,
Dominican Republic,DOM,2000,0.51514596,
Dominican Republic,DOM,2001,0.49999,
Dominican Republic,DOM,2002,0.4967226,
Dominican Republic,DOM,2003,0.5212065,
Dominican Republic,DOM,2004,0.520509,
Dominican Republic,DOM,2005,0.49965227,
Dominican Republic,DOM,2006,0.51961297,
Dominican Republic,DOM,2007,0.48855639,
Dominican Republic,DOM,2008,0.48107606,
Dominican Republic,DOM,2009,0.48875666,
Dominican Republic,DOM,2010,0.47325945,
Dominican Republic,DOM,2011,0.47706905,
Dominican Republic,DOM,2012,0.46133542,
Dominican Republic,DOM,2013,0.47656393,
Dominican Republic,DOM,2014,0.44279468,
Dominican Republic,DOM,2015,0.45181024,
Dominican Republic,DOM,2016,0.45722714,
Dominican Republic,DOM,2017,0.4219328,
Dominican Republic,DOM,2018,0.43686157,
Dominican Republic,DOM,2019,0.41917238,
Dominican Republic,DOM,2020,0.39628673,
Dominican Republic,DOM,2021,0.38529354,
Dominican Republic,DOM,2022,0.369794,
Dominican Republic,DOM,2023,0.38397565,North America
Dominican Republic,DOM,2024,0.38971257,
Duchy of Modena and Reggio,,2023,,Europe
Duchy of Parma and Piacenza,,2023,,Europe
East Germany,OWID_GDR,2023,,Europe
East Timor,TLS,2001,0.35935292,
East Timor,TLS,2007,0.27823317,
East Timor,TLS,2014,0.28652927,
East Timor,TLS,2023,,Asia
Ecuador,ECU,1994,0.5333368,
Ecuador,ECU,1999,0.5857383,
Ecuador,ECU,2000,0.5630455,
Ecuador,ECU,2003,0.5351476,
Ecuador,ECU,2004,0.53891784,
Ecuador,ECU,2005,0.530574,
Ecuador,ECU,2006,0.5225062,
Ecuador,ECU,2007,0.53355306,
Ecuador,ECU,2008,0.4978813,
Ecuador,ECU,2009,0.4849893,
Ecuador,ECU,2010,0.48800084,
Ecuador,ECU,2011,0.45871636,
Ecuador,ECU,2012,0.46109542,
Ecuador,ECU,2013,0.46862498,
Ecuador,ECU,2014,0.4499268,
Ecuador,ECU,2015,0.4595101,
