,Timestamp,First and Last Initials (eg. Taylor Weidman -> TW),What is your favorite color?,What is your age?,How many siblings to you have?,Approximately how many miles away from Pittsburgh is your hometown?,What is/are your major(s)?,What time did you wake up this morning?,Did you like your statistics class?,How excited are you for this class?
39,2025/01/08 4:01:34 PM EST,TM,Blue,20,2,200,Computer Engineering,8:30,8,8
40,2025/01/08 5:18:53 PM EST,MA,Blue,21,0,200,Computer Science,07:00,8,9
41,2025/01/08 5:20:16 PM EST,NP,Green,19,0,0,Econ Bio,05:00,5,5
42,2025/01/08 5:21:15 PM EST,MB,Blue,22,1,12,Finance,07:30,7,9
43,2025/01/08 5:21:40 PM EST,MW,Blue,21,1,500,Biochemistry,08:15,8,5
44,2025/01/08 5:21:50 PM EST,AV,Blue,20,1,300,Economics/International Studies Co-major,08:30,8,8
45,2025/01/08 5:21:53 PM EST,IL,Blue,21,1,200,Accounting,07:30,8,10
46,2025/01/08 5:22:11 PM EST,NR,Blue,20,0,200,"Economics, Psychology ",06:00,3,5
47,2025/01/08 5:22:25 PM EST,JL,Red,21,1,240,LCJS,10:00,6,8
48,2025/01/08 5:22:44 PM EST,RU,Blue,19,2,10,Finance/Econ,06:30,7,7
49,2025/01/08 5:22:45 PM EST,AL,Red,20,1,0,Economics,09:00,7,10
50,2025/01/08 5:23:00 PM EST,ER,Blue,20,2,170 ,Political Science and History,09:30,7,7
51,2025/01/08 5:23:08 PM EST,AB,Orange,19,1,250,Psych Major Econ Minor,06:00,8,8
52,2025/01/08 5:23:16 PM EST,AM,Red,21,1,480,"Law, Criminal Justice, and Society",08:00,7,8
53,2025/01/08 5:23:19 PM EST,LR,Blue,20,3,200,Economics,10:00,5,6
54,2025/01/08 5:23:44 PM EST,SS,Green,22,3,50,Computer Engineering,08:45,5,7
55,2025/01/08 5:23:51 PM EST,EB,Blue,20,1,350,Finance and Accounting ,08:30,5,8
56,2025/01/08 5:23:55 PM EST,BF,Red,19,1,5,Political Science + Economics,04:45,9,8
57,2025/01/08 5:24:22 PM EST,SF,Orange,20,2,309.3,Public Health,07:30,8,8
58,2025/01/08 5:24:28 PM EST,MB,Green,20,2,220 miles,Accounting and Business Information Systems,09:00,7,7
59,2025/01/08 5:24:30 PM EST,LZ,Red,21,0,6900,Econ,09:00,7,9
60,2025/01/08 5:24:40 PM EST,MF,Green,22,5,13,Computer Engineer,08:00,7,7
61,2025/01/08 5:24:45 PM EST,OS,Blue,20,0,350,Psychology ,08:00,7,7
62,2025/01/08 5:25:07 PM EST,GB,Green,20,3,240,Business Information Systems and Supply Chain Management,08:00,2,6
63,2025/01/09 1:14:06 PM EST,NC,Blue,19,1,280,Pharmacy,09:00,8,7
64,2025/01/09 1:26:43 PM EST,SV,Blue,20,none,8000 miles,"Finance, economics minor, business analytics certfificate",07:30,8,9
65,2025/01/09 1:54:20 PM EST,AS,Blue,21,0,23,Finance & Accounting,09:00,3,6
66,2025/01/09 1:57:03 PM EST,AM,Green,19,0,6,Politics and Philosophy,07:45,7,9
67,2025/01/09 1:57:07 PM EST,ST,Blue,20,0,320,Accounting & Finance,07:40,6,10
68,2025/01/09 1:57:08 PM EST,CS,Red,22,2,290,"Finance, Data Analytics",08:30,8,8
69,2025/01/09 1:57:26 PM EST,GG,Green,18,3 siblings,15 miles,Finance with a Minor in Economics :),08:45,8,7
70,2025/01/09 1:57:34 PM EST,MG,Blue,20,1,292,Accounting,09:00,4,6
71,2025/01/09 1:57:55 PM EST,BL,Blue,19,1,300,Computer Science,09:00,8,8
72,2025/01/09 1:58:00 PM EST,Ava Scholl--> AS ,Blue,20,1 younger sister ,250 miles ,Economics Major (BA) and Minor is Applied Statistics ,08:00,9,9
73,2025/01/09 1:58:01 PM EST,JR,Green,21,3,300,Finance and Business Analytics,08:00,8,7
74,2025/01/09 1:58:06 PM EST,SD,Blue,20,4,From Pittsburgh,Molecular biology,10:00,3,4
75,2025/01/09 1:58:09 PM EST,YC,Green,20,1,7300,Marketing,08:40,7,8
76,2025/01/09 1:58:10 PM EST,MK,Blue,22,2,350,Finance,09:00,7,7
77,2025/01/09 1:58:19 PM EST,FA,Blue,21,2,600,"Finance, Business Analytics",07:30,7,7
78,2025/01/09 1:58:23 PM EST,YF,Blue,20,2,40,Electrical Engineering,05:30,4,8
79,2025/01/09 1:58:24 PM EST,JH,Blue,19,1,300 miles ,Psychology and Economics ,08:00,6,7
80,2025/01/09 1:58:39 PM EST,LH,Red,22,1,10,Computer Science,07:30,7,9
81,2025/01/09 1:58:46 PM EST,SB,Orange,20,1,220?,Criminal Justice (LCJS) w/ Econ Minor,06:30,6,8
82,2025/01/09 1:58:46 PM EST,NH,Blue,20,3,About 15,Economics,06:45,7,9
83,2025/01/09 1:58:47 PM EST,DC,Yellow,20,2,12,Biology with econ minor,10:00,5,5
84,2025/01/09 1:58:53 PM EST,JC,Blue,19,2,304,Economics ,08:45,8,7
85,2025/01/09 1:58:54 PM EST,MC,Yellow,21,3,0,Computer Science,08:00,6,4
86,2025/01/09 1:58:58 PM EST,LR,Blue,20,1,15,Finance and Accounting,07:00,6,7
87,2025/01/09 1:59:01 PM EST,NB,Blue,19,2,10,Accounting and Finance,10:15,7,9
88,2025/01/09 1:59:29 PM EST,BH,Yellow,19,1,0,economics,10:45,7,7
89,2025/01/09 1:59:32 PM EST,JA,Blue,21,1,15,Marketing,08:50,6,6
90,2025/01/09 1:59:48 PM EST,JL,Yellow,18,0,11,Economics,08:20,9,10
91,2025/01/09 1:59:48 PM EST,JM,Blue,20,0,0,Finance,06:30,7,8
92,2025/01/09 1:59:53 PM EST,GW,Green,21,2,600,"Economics, Politics & Philosophy",08:00,8,8
93,2025/01/09 2:00:00 PM EST,ZH,Blue,19,2,20,Economics,09:00,8,7
94,2025/01/09 2:00:04 PM EST,LS,Blue,21,2,277,Finance and Business Analytics ,09:00,7,7
95,2025/01/09 2:00:15 PM EST,DD,Blue,19,1,15,Accounting and Supply Chain Management,10:00,5,5
96,2025/01/09 2:00:25 PM EST,RR,Red,19,0,200,Economics/Business Adminstration,08:15,8,7
97,2025/01/09 2:00:38 PM EST,DR,Blue,Senior,5,10,Computer Engineering,10:00,8,10
98,2025/01/09 2:00:41 PM EST,DC,Blue,19,1,40,Business Analytics ,09:15,6,7
99,2025/01/09 2:00:48 PM EST,IZ,Blue,19,1,420,Computer Engineering,08:25,7,7
100,2025/01/09 2:00:50 PM EST,YL,Blue,20,0,7000 miles,Econ,10:50,7,6
101,2025/01/09 2:00:58 PM EST,LS,Green,20,0,4,Economics and Art History,05:51,4,8
102,2025/01/09 2:00:59 PM EST,RK,Blue,18,1,280,Accounting,08:30,7,8
103,2025/01/09 2:01:19 PM EST,Frank D,Blue,21,5,0,Econ,07:45,5,8
104,2025/01/09 2:01:34 PM EST,AH,Green,20,1,396,Accounting,09:30,8,8
105,2025/01/09 2:01:54 PM EST,JN,Blue,21,1,200,Information Science,10:00,7,8
106,2025/01/09 2:02:16 PM EST,CW,Blue,19,1,500,Economics,09:00,5,8
107,2025/01/09 2:02:22 PM EST,AA,Blue,20,3,1800,Computer science,09:40,6,7
