Team,Week ,Date,Opp,Game Type,Result,Winning Points,Losing Point,Spread Result,Spread,O/U result,Over/Under,Point Total,Temperature,Weather,Wind (mph),Bad Weather,,,,,,,,
New York,Week 3,19-Sep-24,vs New England,REG,W,24,3,W,-6.5,U,39,27,79,Clear,3,No,,,,,,,,
New York,Week 4,29-Sep-24,vs Denver,REG,L,10,9,L,-8,U,39.5,19,61,Rain,5,Yes,,,,,,,,
New York,Week 5,6-Oct-24,@ Minnesota,REG,L,23,17,L,2.5,U,42,40,75,Clear,0,No,,,,,,,,
New York,Week 6,14-Oct-24,vs Buffalo,REG,L,23,20,L,1,O,42,43,48,Clear,14,No,,,,,,,,
New York,Week 7,20-Oct-24,@ Pittsburgh,REG,L,37,15,L,-2.5,O,40,52,73,Clear,7,No,,,,,,,,
New York,Week 8,27-Oct-24,@ New England,REG,L,25,22,L,-7,O,41,47,54,Clear,9,No,,,,,,,,
New York,Week 9,31-Oct-24,vs Houston,REG,W,21,13,W,-2.5,U,43.5,34,75,Clear,8,No,,,,,,,,
New York,Week 10,10-Nov-24,@ Arizona,REG,L,31,6,L,-2,U,46,37,75,Clear,0,No,,,,,,,,
New York,Week 11,17-Nov-24,vs Indianapolis,REG,L,28,27,L,-4,O,43,55,63,Clear,6,No,,,,,,,,
New York,Week 13,1-Dec-24,vs Seattle,REG,L,26,21,L,-1.5,O,41.5,47,37,Clear,10,Yes,,,,,,,,
New York,Week 14,8-Dec-24,@ Miami,REG,L,32,26,W,6.5,O,45.5,58,78,Mostly Cloudy,13,No,,,,,,,,
New York,Week 15,15-Dec-24,@ Jacksonville,REG,W,32,25,W,-3.5,O,41.5,57,62,Cloudy,10,No,,,,,,,,
New York,Week 16,22-Dec-24,vs LA Rams,REG,L,19,9,L,3,U,47,28,19,Clear,10,Yes,,,,,,,,
New York,Week 17,29-Dec-24,@ Buffalo,REG,L,40,14,L,10,O,44.5,54,51,Rain,7,Yes,,,,,,,,
New York,Week 18,5-Jan-25,vs Miami,REG,W,32,20,W,-2,O,39.5,52,31,Clear,17,Yes,,,,,,,,
Baltimore,Week 1,5-Sep-24,@ Kansas City,REG,L,27,20,L,2.5,O,46,47,84,Partly Cloudy,6,No,,,,,,,,
Baltimore,Week 2,15-Sep-24,vs Las Vegas,REG,L,26,23,L,-8.5,O,42.5,49,78,Clear,13,No,,,,,,,,
Baltimore,Week 3,22-Sep-24,@ Dallas,REG,W,28,25,W,-1.5,O,47.5,53,75,Clear,0,No,,,,,,,,
Baltimore,Week 4,29-Sep-24,vs Buffalo,REG,W,35,10,W,-2.5,U,47.5,45,69,Cloudy,10,No,,,,,,,,
Baltimore,Week 5,6-Oct-24,@ Cincinnati,REG,W,41,38,W,-2.5,O,48.5,79,84,Clear,14,No,,,,,,,,
Baltimore,Week 6,13-Oct-24,vs Washington,REG,W,30,23,P,-7,O,50.5,53,74,Clear,10,No,,,,,,,,
Baltimore,Week 7,21-Oct-24,@ Tampa Bay,REG,W,41,31,W,-4,O,51,72,81,Clear,9,No,,,,,,,,
Baltimore,Week 8,27-Oct-24,@ Cleveland,REG,L,29,24,L,-7,O,44.5,53,53,Clear,13,No,,,,,,,,
Baltimore,Week 9,3-Nov-24,vs Denver,REG,W,41,10,W,-9,O,46.5,51,56,Clear,5,No,,,,,,,,
Baltimore,Week 10,7-Nov-24,vs Cincinnati,REG,W,35,34,L,-6,O,53,69,71,Clear,5,No,,,,,,,,
Baltimore,Week 11,17-Nov-24,@ Pittsburgh,REG,L,18,16,L,-3,U,48.5,34,50,Clear,7,No,,,,,,,,
Baltimore,Week 12,25-Nov-24,@ LA Chargers,REG,W,30,23,W,-3,O,51,53,75,Clear,0,No,,,,,,,,
Baltimore,Week 13,1-Dec-24,vs Philadelphia,REG,L,24,19,L,-3,U,50,43,41,Mostly Cloudy,7,No,,,,,,,,
Baltimore,Week 15,15-Dec-24,@ NY Giants,REG,W,35,14,W,-16.5,O,43.5,49,36,Clear,6,Yes,,,,,,,,
Baltimore,Week 16,21-Dec-24,vs Pittsburgh,REG,W,34,17,W,-7,O,44.5,51,32,Snow,19,Yes,,,,,,,,
Baltimore,Week 17,25-Dec-24,@ Houston,REG,W,31,2,W,-6.5,U,47,33,75,Clear,0,No,,,,,,,,
Baltimore,Week 18,4-Jan-25,vs Cleveland,REG,W,35,10,W,-20,O,42,45,32,Mostly Cloudy,17,Yes,,,,,,,,
Cincinnati,Week 1,8-Sep-24,vs New England,REG,L,16,10,L,-7.5,U,41,26,63,Clear,3,No,,,,,,,,
Cincinnati,Week 2,15-Sep-24,@ Kansas City,REG,L,26,25,W,6.5,O,47.5,51,88,Mostly Cloudy,7,No,,,,,,,,
Cincinnati,Week 3,23-Sep-24,vs Washington,REG,L,38,33,L,-7.5,O,46,71,70,Cloudy,0,No,,,,,,,,
Cincinnati,Week 4,29-Sep-24,@ Carolina,REG,W,34,24,W,-4.5,O,46.5,58,77,Mostly Cloudy,9,No,,,,,,,,
Cincinnati,Week 5,6-Oct-24,vs Baltimore,REG,L,41,38,L,2.5,O,48.5,79,84,Clear,14,No,,,,,,,,
Cincinnati,Week 6,13-Oct-24,@ NY Giants,REG,W,17,7,W,-4,U,46.5,24,63,Clear,0,No,,,,,,,,
Cincinnati,Week 7,20-Oct-24,@ Cleveland,REG,W,21,14,W,-5,U,42.5,35,67,Clear,5,No,,,,,,,,
Cincinnati,Week 8,27-Oct-24,vs Philadelphia,REG,L,37,17,L,-2.5,O,47.5,54,56,Clear,5,No,,,,,,,,
Cincinnati,Week 9,3-Nov-24,vs Las Vegas,REG,W,41,24,W,-7.5,O,44.5,65,72,Clear,6,No,,,,,,,,
Cincinnati,Week 10,7-Nov-24,@ Baltimore,REG,L,35,34,W,6,O,53,69,71,Clear,5,No,,,,,,,,
Cincinnati,Week 11,17-Nov-24,@ LA Chargers,REG,L,34,27,L,1,O,48,61,75,Clear,0,No,,,,,,,,
Cincinnati,Week 13,1-Dec-24,vs Pittsburgh,REG,L,44,38,L,-3,O,46,82,30,Clear,5,Yes,,,,,,,,
Cincinnati,Week 14,9-Dec-24,@ Dallas,REG,W,27,20,W,-4.5,U,50.5,47,75,Clear,0,No,,,,,,,,
Cincinnati,Week 15,15-Dec-24,@ Tennessee,REG,W,37,27,W,-6,O,46,64,55,Overcast,13,No,,,,,,,,
Cincinnati,Week 16,22-Dec-24,vs Cleveland,REG,W,24,6,W,-10,U,46,30,31,Clear,7,Yes,,,,,,,,
Cincinnati,Week 17,28-Dec-24,vs Denver,REG,W,30,24,W,-3,O,50.5,54,61,Partly Cloudy,8,No,,,,,,,,
Cincinnati,Week 18,4-Jan-25,@ Pittsburgh,REG,W,19,17,L,-2.5,U,48.5,36,19,Overcast,8,Yes,,,,,,,,
Cleveland,Week 1,8-Sep-24,vs Dallas,REG,L,33,17,L,-2,O,42,50,67,Partly Cloudy,18,Yes,,,,,,,,
Cleveland,Week 2,15-Sep-24,@ Jacksonville,REG,W,18,13,W,3,U,41,31,80,Overcast,10,No,,,,,,,,
Cleveland,Week 3,22-Sep-24,vs NY Giants,REG,L,21,15,L,-6.5,U,38.5,36,80,Clear,6,No,,,,,,,,
Cleveland,Week 4,29-Sep-24,@ Las Vegas,REG,L,20,16,L,-2.5,U,37,36,75,Clear,0,No,,,,,,,,
Cleveland,Week 5,6-Oct-24,@ Washington,REG,L,34,13,L,3,O,43.5,47,74,Partly Cloudy,6,No,,,,,,,,
Cleveland,Week 6,13-Oct-24,@ Philadelphia,REG,L,20,16,W,8.5,U,42,36,72,Clear,7,No,,,,,,,,
Cleveland,Week 7,20-Oct-24,vs Cincinnati,REG,L,21,14,L,5,U,42.5,35,67,Clear,5,No,,,,,,,,
Cleveland,Week 8,27-Oct-24,vs Baltimore,REG,W,29,24,W,7,O,44.5,53,53,Clear,13,No,,,,,,,,
Cleveland,Week 9,3-Nov-24,vs LA Chargers,REG,L,27,10,L,2,U,41.5,37,62,Clear,11,No,,,,,,,,
Cleveland,Week 11,17-Nov-24,@ New Orleans,REG,L,35,14,L,-1,O,44,49,75,Clear,0,No,,,,,,,,
Cleveland,Week 12,21-Nov-24,vs Pittsburgh,REG,W,24,19,W,3.5,O,36.5,43,30,Snow,14,Yes,,,,,,,,
Cleveland,Week 13,2-Dec-24,@ Denver,REG,L,41,32,L,6.5,O,41.5,73,45,Clear,9,No,,,,,,,,
Cleveland,Week 14,8-Dec-24,@ Pittsburgh,REG,L,27,14,L,6,U,42.5,41,48,Clear,14,No,,,,,,,,
Cleveland,Week 15,15-Dec-24,vs Kansas City,REG,L,21,7,L,4,U,41,28,41,Overcast,17,Yes,,,,,,,,
Cleveland,Week 16,22-Dec-24,@ Cincinnati,REG,L,24,6,L,10,U,46,30,31,Clear,7,Yes,,,,,,,,
Cleveland,Week 17,29-Dec-24,vs Miami,REG,L,20,3,L,3,U,32.5,23,61,Rain,9,Yes,,,,,,,,
Cleveland,Week 18,4-Jan-25,@ Baltimore,REG,L,35,10,L,20,O,42,45,32,Mostly Cloudy,17,Yes,,,,,,,,
Pittsburgh,Week 1,8-Sep-24,@ Atlanta,REG,W,18,10,W,4,U,42.5,28,76,Partly Cloudy,8,No,,,,,,,,
Pittsburgh,Week 2,15-Sep-24,@ Denver,REG,W,13,6,W,-2.5,U,36.5,19,82,Mostly Cloudy,10,No,,,,,,,,
Pittsburgh,Week 3,22-Sep-24,vs LA Chargers,REG,W,20,10,W,-2.5,U,36,30,72,Clear,8,No,,,,,,,,
Pittsburgh,Week 4,29-Sep-24,@ Indianapolis,REG,L,27,24,L,-2.5,O,41,51,75,Clear,0,No,,,,,,,,
Pittsburgh,Week 5,6-Oct-24,vs Dallas,REG,L,20,17,L,-2.5,U,43.5,37,79,Rain,12,Yes,,,,,,,,
Pittsburgh,Week 6,13-Oct-24,@ Las Vegas,REG,W,32,13,W,-3.5,O,37,45,75,Clear,0,No,,,,,,,,
Pittsburgh,Week 7,20-Oct-24,vs NY Jets,REG,W,37,15,W,2.5,O,40,52,73,Clear,7,No,,,,,,,,
Pittsburgh,Week 8,28-Oct-24,vs NY Giants,REG,W,26,18,W,-6,O,37.5,44,65,Clear,7,No,,,,,,,,
Pittsburgh,Week 10,10-Nov-24,@ Washington,REG,W,28,27,W,2,O,45.5,55,54,Clear,7,No,,,,,,,,
Pittsburgh,Week 11,17-Nov-24,vs Baltimore,REG,W,18,16,W,3,U,48.5,34,50,Clear,7,No,,,,,,,,
Pittsburgh,Week 12,21-Nov-24,@ Cleveland,REG,L,24,19,L,-3.5,O,36.5,43,30,Snow,14,Yes,,,,,,,,
Pittsburgh,Week 13,1-Dec-24,@ Cincinnati,REG,W,44,38,W,3,O,46,82,30,Clear,5,Yes,,,,,,,,
Pittsburgh,Week 14,8-Dec-24,vs Cleveland,REG,W,27,14,W,-6,U,42.5,41,48,Clear,14,No,,,,,,,,
Pittsburgh,Week 15,15-Dec-24,@ Philadelphia,REG,L,27,13,L,5.5,U,43,40,40,Overcast,8,No,,,,,,,,
Pittsburgh,Week 16,21-Dec-24,@ Baltimore,REG,L,34,17,L,7,O,44.5,51,32,Snow,19,Yes,,,,,,,,
Pittsburgh,Week 17,25-Dec-24,vs Kansas City,REG,L,29,10,L,1.5,U,46,39,38,Overcast ,5,Yes,,,,,,,,
Pittsburgh,Week 18,4-Jan-25,vs Cincinnati,REG,L,19,17,W,2.5,U,48.5,36,19,Overcast,8,Yes,,,,,,,,
Houston,Week 1,8-Sep-24,@ Indianapolis,REG,W,29,27,L,-3,O,48,56,64,Mostly Cloudy,0,No,,,,,,,,
Houston,Week 2,15-Sep-24,vs Chicago,REG,W,19,13,P,-6,U,45.5,32,88,Mostly Cloudy,8,No,,,,,,,,
Houston,Week 3,22-Sep-24,@ Minnesota,REG,L,34,7,L,-1.5,U,46.5,41,75,Clear ,0,No,,,,,,,,
Houston,Week 4,29-Sep-24,vs Jacksonville,REG,W,24,20,L,-5.5,U,44.5,44,75,Clear,0,No,,,,,,,,
Houston,Week 5,6-Oct-24,vs Buffalo,REG,W,23,20,W,-1,U,47.5,43,75,Clear,0,No,,,,,,,,
Houston,Week 6,13-Oct-24,@ New England,REG,W,41,21,W,-6.5,O,39.5,62,48,Overcast,3,No,,,,,,,,
Houston,Week 7,20-Oct-24,@ Green Bay,REG,L,24,22,W,3,U,47.5,46,68,Clear,9,No,,,,,,,,
Houston,Week 8,27-Oct-24,vs Indianapolis,REG,W,23,20,L,-5,U,45,43,75,Clear,0,No,,,,,,,,
Houston,Week 9,31-Oct-24,@ NY Jets,REG,L,21,13,L,2.5,U,43.5,34,75,Clear,8,No,,,,,,,,
Houston,Week 10,10-Nov-24,vs Detroit,REG,L,26,23,W,4,P,49,49,75,Clear,0,No,,,,,,,,
Houston,Week 11,18-Nov-24,@ Dallas,REG,W,34,10,W,-7,O,41.5,44,75,Clear,0,No,,,,,,,,
Houston,Week 12,24-Nov-24,vs Tennessee,REG,L,32,27,L,-8,O,40.5,59,75,Clear,0,No,,,,,,,,
Houston,Week 13,1-Dec-24,@ Jacksonville,REG,W,23,20,P,-3,U,45,43,55,Clear,8,No,,,,,,,,
Houston,Week 15,15-Dec-24,vs Miami,REG,W,20,12,W,-2.5,U,46.5,32,75,Clear,0,No,,,,,,,,
Houston,Week 16,21-Dec-24,@ Kansas City,REG,L,27,19,L,3,O,42.5,46,32,Clear,0,Yes,,,,,,,,
Houston,Week 17,25-Dec-24,vs Baltimore,REG,L,31,2,L,6.5,U,47,33,75,Clear,0,No,,,,,,,,
Houston,Week 18,5-Jan-25,@ Tennessee,REG,W,23,14,W,2.5,O,36.5,37,36,Overcast,9,Yes,,,,,,,,
Indiannapolis,Week 1,8-Sep-24,vs Houston,REG,L,29,27,W,3,O,48,56,64,Mostly Cloudy,0,No,,,,,,,,
Indiannapolis,Week 2,15-Sep-24,@ Green Bay,REG,L,16,10,L,-2.5,U,41.5,26,82,Clear,7,No,,,,,,,,
Indiannapolis,Week 3,22-Sep-24,vs Chicago,REG,W,21,16,W,-1.5,U,43.5,37,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 4,29-Sep-24,vs Pittsburgh,REG,W,27,24,W,2.5,O,41,51,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 5,6-Oct-24,@ Jacksonville,REG,L,37,34,W,3.5,O,44.5,71,76,Overcast,10,No,,,,,,,,
Indiannapolis,Week 6,13-Oct-24,@ Tennessee,REG,W,20,17,W,2.5,U,41.5,37,81,Clear,13,No,,,,,,,,
Indiannapolis,Week 7,20-Oct-24,vs Miami,REG,W,16,10,W,-3,U,44,26,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 8,27-Oct-24,@ Houston,REG,L,23,20,W,5,U,45,43,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 9,3-Nov-24,@ Minnesota,REG,L,21,13,L,5.5,U,47,34,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 10,10-Nov-24,vs Buffalo,REG,L,30,20,L,4.5,O,47,50,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 11,17-Nov-24,@ NY Jets,REG,W,28,27,W,4,O,43,55,63,Clear,6,No,,,,,,,,
Indiannapolis,Week 12,24-Nov-24,vs Detroit,REG,L,24,6,L,7,U,50.5,30,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 13,1-Dec-24,@ New England,REG,W,25,24,L,-2.5,O,41,49,37,Clear,9,Yes,,,,,,,,
Indiannapolis,Week 15,15-Dec-24,@ Denver,REG,L,31,13,L,4.5,P,44,44,54,Clear,21,Yes,,,,,,,,
Indiannapolis,Week 16,22-Dec-24,vs Tennessee,REG,W,38,30,W,-4,O,42.5,68,75,Clear,0,No,,,,,,,,
Indiannapolis,Week 17,29-Dec-24,@ NY Giants,REG,L,45,33,L,-7.5,O,40.5,78,54,Cloudy,0,No,,,,,,,,
Indiannapolis,Week 18,5-Jan-25,vs Jacksonville,REG,W,26,23,L,-3.5,O,45.5,49,75,Clear,0,No,,,,,,,,
Jacksonville,Week 1,8-Sep-24,@ Miami,REG,L,20,17,W,3.5,U,49.5,37,91,Clear,13,No,,,,,,,,
Jacksonville,Week 2,15-Sep-24,vs Cleveland,REG,L,18,13,L,-3,U,41,31,80,Overcast,10,No,,,,,,,,
Jacksonville,Week 3,23-Sep-24,@ Buffalo,REG,L,47,10,L,4.5,O,46.5,57,68,Mostly Cloudy,7,No,,,,,,,,
Jacksonville,Week 4,29-Sep-24,@ Houston,REG,L,24,20,W,5.5,U,44.5,44,75,Clear,0,No,,,,,,,,
Jacksonville,Week 5,6-Oct-24,vs Indianapolis,REG,W,37,34,L,-3.5,O,44.5,71,76,Overcast,10,No,,,,,,,,
Jacksonville,Week 6,13-Oct-24,@ Chicago,REG,L,35,16,L,-1.5,O,44.5,51,57,Overcast,6,No,,,,,,,,
Jacksonville,Week 7,20-Oct-24,vs New England,REG,W,32,16,W,-7,O,42.5,48,62,Rain,9,Yes,,,,,,,,
Jacksonville,Week 8,27-Oct-24,vs Green Bay,REG,L,30,27,W,3.5,O,49,57,81,Clear,6,No,,,,,,,,
Jacksonville,Week 9,3-Nov-24,@ Philadelphia,REG,L,28,23,W,7.5,O,46,51,58,Partly Cloudy,6,No,,,,,,,,
Jacksonville,Week 10,10-Nov-24,vs Minnesota,REG,L,12,7,W,7,U,42.5,19,78,Mostly Cloudy,16,Yes,,,,,,,,
Jacksonville,Week 11,17-Nov-24,@ Detroit,REG,L,52,6,L,13.5,O,47.5,58,75,Clear,0,No,,,,,,,,
Jacksonville,Week 13,1-Dec-24,vs Houston,REG,L,23,20,P,3,U,45,43,55,Clear,8,No,,,,,,,,
Jacksonville,Week 14,8-Dec-24,@ Tennessee,REG,W,10,6,W,3,U,40.5,16,54,Overcast,8,No,,,,,,,,
Jacksonville,Week 15,15-Dec-24,vs NY Jets,REG,L,32,25,L,3.5,O,41.5,57,62,Cloudy,10,No,,,,,,,,
Jacksonville,Week 16,22-Dec-24,@ Las Vegas,REG,L,19,14,L,2.5,U,41.5,33,75,Clear,0,No,,,,,,,,
Jacksonville,Week 17,29-Dec-24,vs Tennessee,REG,W,20,13,W,0,U,38.5,33,65,Rain,0,Yes,,,,,,,,
Jacksonville,Week 18,5-Jan-25,@ Indianapolis,REG,L,26,23,W,3.5,O,45.5,49,75,Clear,0,No,,,,,,,,
Tennesse,Week 1,8-Sep-24,@ Chicago,REG,L,24,17,L,4,U,43,41,65,Partly Cloudy,11,No,,,,,,,,
Tennesse,Week 2,15-Sep-24,vs NY Jets,REG,L,24,17,L,4,P,41,41,81,Clear,9,No,,,,,,,,
Tennesse,Week 3,22-Sep-24,vs Green Bay,REG,L,30,14,L,-3,O,37,44,88,Mostly Cloudy,11,No,,,,,,,,
Tennesse,Week 4,30-Sep-24,@ Miami,REG,W,31,12,W,2.5,O,37.5,43,87,Clear,8,No,,,,,,,,
Tennesse,Week 6,13-Oct-24,vs Indianapolis,REG,L,20,17,L,-2.5,U,41.5,37,81,Clear,13,No,,,,,,,,
Tennesse,Week 7,20-Oct-24,@ Buffalo,REG,L,34,10,L,9.5,O,41,44,63,Clear,10,No,,,,,,,,
Tennesse,Week 8,27-Oct-24,@ Detroit,REG,L,52,14,L,12.5,O,45.5,66,75,Clear,0,No,,,,,,,,
Tennesse,Week 9,3-Nov-24,vs New England,REG,W,20,17,L,-3.5,U,38.5,37,81,Mostly Cloudy,17,Yes,,,,,,,,
Tennesse,Week 10,10-Nov-24,@ LA Chargers,REG,L,27,17,L,8.5,O,39.5,44,75,Clear,0,No,,,,,,,,
Tennesse,Week 11,17-Nov-24,vs Minnesota,REG,L,23,13,L,6,U,40,36,72,Clear,9,No,,,,,,,,
Tennesse,Week 12,24-Nov-24,@ Houston,REG,W,32,27,W,8,O,40.5,59,75,Clear,0,No,,,,,,,,
Tennesse,Week 13,1-Dec-24,@ Washington,REG,L,42,19,L,6,O,45,61,42,Partly Cloudy,6,No,,,,,,,,
Tennesse,Week 14,8-Dec-24,vs Jacksonville,REG,L,10,6,L,-3,U,40.5,16,54,Overcast,8,No,,,,,,,,
Tennesse,Week 15,15-Dec-24,vs Cincinnati,REG,L,37,27,L,6,O,46,64,55,Overcast,13,No,,,,,,,,
Tennesse,Week 16,22-Dec-24,@ Indianapolis,REG,L,38,30,L,4,O,42.5,68,75,Clear,0,No,,,,,,,,
Tennesse,Week 17,29-Dec-24,@ Jacksonville,REG,L,20,13,L,0,U,38.5,33,65,Rain,0,Yes,,,,,,,,
Tennesse,Week 18,5-Jan-25,vs Houston,REG,L,23,14,L,-2.5,O,36.5,37,36,Overcast,9,Yes,,,,,,,,
