,mm,yyyy,Hires,Unnamed: 0,tmax,tmin,af,rain,sun
124,9,2021,1220318,884,22.3,13.3,0,52.4,124.0
125,9,2022,800950,896,20.2,11.8,0,86.0,119.1
126,9,2023,847108,908,24.4,14.7,0,59.4,167.9
127,10,2010,544412,753,15.2,8.3,1,74.8,104.0
128,10,2011,708802,765,18.1,10.1,0,18.4,140.4
129,10,2012,856866,777,14.2,8.0,0,88.4,85.6
130,10,2013,674154,789,17.0,10.6,0,81.4,89.6
131,10,2014,907998,801,17.6,11.0,0,76.0,103.8
132,10,2015,885375,813,15.8,9.3,0,39.8,94.2
133,10,2016,945143,825,15.9,8.7,0,21.6,105.6
134,10,2017,973682,837,17.1,10.3,0,9.2,84.6
135,10,2018,978290,849,16.5,8.5,1,61.0,137.0
136,10,2019,851999,861,15.5,8.6,0,92.8,74.0
137,10,2020,848233,873,15.1,8.8,0,142.2,51.6
138,10,2021,1110571,885,16.9,9.7,0,87.6,84.2
139,10,2022,864369,897,18.3,10.4,0,81.4,132.8
140,10,2023,789807,909,18.1,10.2,0,116.8,112.9
141,11,2010,456304,754,9.1,4.0,7,32.2,50.0
142,11,2011,597191,766,13.6,7.3,0,29.0,52.5
143,11,2012,726893,778,11.0,4.6,1,71.8,75.4
144,11,2013,514146,790,10.4,4.7,1,50.0,80.4
145,11,2014,715447,802,12.5,6.9,1,128.4,51.1
146,11,2015,684518,814,13.4,8.0,2,48.2,27.7
147,11,2016,711002,826,10.5,3.8,3,86.4,77.4
148,11,2017,792082,838,11.1,4.5,2,34.2,66.7
149,11,2018,738024,850,12.2,5.8,1,73.8,72.9
150,11,2019,729111,862,10.3,4.3,3,74.8,51.3
151,11,2020,760245,874,12.7,6.2,2,50.2,44.6
152,11,2021,945047,886,11.4,4.5,3,10.2,67.8
153,11,2022,725556,898,13.2,7.6,0,123.8,69.9
154,11,2023,664981,910,11.8,5.4,3,78.4,74.9
155,12,2010,285574,755,3.9,-1.5,21,21.4,18.5
156,12,2011,408729,767,9.9,3.8,4,63.0,60.6
157,12,2012,513444,779,9.0,2.6,10,95.8,58.0
158,12,2013,443942,791,10.2,3.5,3,98.2,51.3
159,12,2014,579853,803,9.2,3.0,7,37.8,71.6
160,12,2015,608164,815,13.7,8.9,0,39.4,35.0
161,12,2016,658975,827,10.2,3.4,7,10.4,55.1
162,12,2017,534088,839,8.7,2.9,7,81.2,43.8
163,12,2018,585430,851,10.7,5.2,2,60.6,40.3
164,12,2019,592077,863,10.2,4.0,3,89.6,56.2
165,12,2020,589091,875,8.5,3.5,7,72.4,36.5
166,12,2021,667202,887,10.1,5.3,3,71.2,21.1
167,12,2022,471833,899,7.9,1.7,11,51.6,56.4
168,12,2023,474123,911,10.9,5.9,3,76.4,21.0
