,Event,Revenue,Offer ID
13513,transaction,16.62,Bogo 10
13515,transaction,32.61,Bogo 5
13517,transaction,34.88,Bogo 5
13538,transaction,18.74,Bogo 10
13542,transaction,25.96,Bogo 5
13552,transaction,8.11,Bogo 5
13571,transaction,16.92,3off7
13587,transaction,6.72,Bogo 5
13622,transaction,19.38,2off10
13663,transaction,16.68,Bogo 10
13668,transaction,14.51,Bogo 10
13675,transaction,45.09,3off7
13685,transaction,16.51,Bogo 5
13692,transaction,11.46,Bogo 10
13714,transaction,16.29,Bogo 5
13725,transaction,28.97,Bogo 5
13726,transaction,20.5,2off10
13746,transaction,10.8,Bogo 10
13749,transaction,11.09,Bogo 10
13753,transaction,5.85,Bogo 5
13759,transaction,21.02,Bogo 5
13765,transaction,13.03,3off7
13785,transaction,20.47,2off10
13787,transaction,16.6,2off10
13791,transaction,8.97,Bogo 5
13811,transaction,25.37,Bogo 10
13822,transaction,22.92,2off10
13830,transaction,34.73,2off10
13833,transaction,27.52,3off7
13835,transaction,23.51,3off7
13852,transaction,16.3,2off10
13856,transaction,10.81,Bogo 10
13867,transaction,14.09,Bogo 5
13877,transaction,13.13,Bogo 5
13898,transaction,28.82,3off7
13906,transaction,5.48,Bogo 5
13910,transaction,14.73,Bogo 5
13913,transaction,18.39,Bogo 10
13953,transaction,16.89,2off10
13978,transaction,21.31,Bogo 5
13980,transaction,22.73,3off7
13991,transaction,19.68,3off7
14007,transaction,13.18,Bogo 10
14025,transaction,11.26,3off7
14037,transaction,20.27,Bogo 5
14038,transaction,7.99,Bogo 5
14051,transaction,21.7,Bogo 5
14084,transaction,7.72,Bogo 5
14098,transaction,8.75,3off7
14103,transaction,16.91,2off10
14121,transaction,29.37,2off10
14124,transaction,9.49,3off7
14141,transaction,30.51,2off10
14142,transaction,11.81,Bogo 5
14145,transaction,12.41,2off10
14162,transaction,27.23,2off10
14169,transaction,33.74,2off10
14199,transaction,16.78,2off10
14201,transaction,17,2off10
14221,transaction,17.48,2off10
14230,transaction,13.06,2off10
14294,transaction,11.71,Bogo 10
14322,transaction,17.43,3off7
14329,transaction,16.1,3off7
14332,transaction,20.5,Bogo 5
14342,transaction,26.8,Bogo 5
14350,transaction,23.5,Bogo 10
14355,transaction,21.71,Bogo 10
14371,transaction,23.92,Bogo 5
14392,transaction,17.95,Bogo 10
14405,transaction,12.76,Bogo 10
14410,transaction,7.01,Bogo 5
14429,transaction,10.6,Bogo 10
14458,transaction,19.86,Bogo 10
14467,transaction,11.37,Bogo 10
14476,transaction,27.71,Bogo 5
14486,transaction,10.07,Bogo 10
14491,transaction,30.33,5off20
14494,transaction,20.74,5off20
14542,transaction,29.99,Bogo 10
14545,transaction,23.51,5off20
14557,transaction,9.09,Bogo 5
14598,transaction,12.28,2off10
14607,transaction,19.9,Bogo 5
14611,transaction,15.7,2off10
14628,transaction,37.12,2off10
14660,transaction,17.39,Bogo 5
14673,transaction,21.22,2off10
14694,transaction,5.4,Bogo 5
14696,transaction,25.18,5off20
14707,transaction,15.15,Bogo 10
14710,transaction,13.26,Bogo 10
14722,transaction,13.53,Bogo 10
14735,transaction,6.32,Bogo 5
14741,transaction,21.4,2off10
14777,transaction,23.9,Bogo 10
14792,transaction,24.64,3off7
14829,transaction,21.11,2off10
14866,transaction,21.65,3off7
14900,transaction,19.54,Bogo 10
14920,transaction,15.28,Bogo 10
14924,transaction,9.39,Bogo 5
14926,transaction,27.69,Bogo 5
14939,transaction,13.45,2off10
14953,transaction,28.91,5off20
14961,transaction,10.76,2off10
14963,transaction,16.56,Bogo 10
14968,transaction,11.36,Bogo 10
14972,transaction,16.73,Bogo 5
14976,transaction,19.05,Bogo 5
14990,transaction,5.87,Bogo 5
14996,transaction,19.12,2off10
15013,transaction,8.25,3off7
15015,transaction,20.81,2off10
15019,transaction,20.95,Bogo 10
15032,transaction,37.18,2off10
15036,transaction,19.01,Bogo 5
15043,transaction,24.94,2off10
15065,transaction,20.18,Bogo 5
15067,transaction,29.42,3off7
15072,transaction,16.91,2off10
15081,transaction,11.11,Bogo 10
15084,transaction,13.56,Bogo 5
15114,transaction,33.67,Bogo 10
15121,transaction,15.64,3off7
15138,transaction,15.35,Bogo 5
15144,transaction,12.28,3off7
15168,transaction,7.83,Bogo 5
15202,transaction,11.93,3off7
15211,transaction,26.21,Bogo 10
15227,transaction,17.07,2off10
15233,transaction,22.84,Bogo 5
15272,transaction,25.14,Bogo 5
15299,transaction,15.47,Bogo 5
15309,transaction,17.04,Bogo 10
15311,transaction,14.89,Bogo 5
15319,transaction,43.26,Bogo 10
15329,transaction,11.05,Bogo 10
15332,transaction,18.82,2off10
15336,transaction,195.24,Bogo 10
15344,transaction,17.5,Bogo 5
15357,transaction,19.88,Bogo 10
15387,transaction,27.87,Bogo 5
15389,transaction,17.78,Bogo 5
15391,transaction,17.78,2off10
15401,transaction,7.4,3off7
15418,transaction,14.06,Bogo 10
15426,transaction,24.67,3off7
15435,transaction,22.84,Bogo 10
15437,transaction,12.89,2off10
15449,transaction,11.09,Bogo 10
15452,transaction,18.26,Bogo 10
15453,transaction,11.72,Bogo 5
15457,transaction,24.25,Bogo 10
15466,transaction,21.53,Bogo 10
15467,transaction,17.86,2off10
15485,transaction,23.33,Bogo 10
15488,transaction,26.76,Bogo 5
15490,transaction,5.34,Bogo 5
15506,transaction,21.51,2off10
15520,transaction,8.72,Bogo 5
15533,transaction,15.11,3off7
15536,transaction,38.59,2off10
15547,transaction,11.21,2off10
15554,transaction,23.09,Bogo 5
15590,transaction,6.33,3off7
15595,transaction,35.62,Bogo 10
15596,transaction,24.89,Bogo 5
15597,transaction,14.24,Bogo 10
15603,transaction,23.06,3off7
15625,transaction,20.59,2off10
15639,transaction,26.4,Bogo 10
15647,transaction,6.07,Bogo 5
15648,transaction,39.71,Bogo 10
15651,transaction,25.39,2off10
15656,transaction,25.91,2off10
15660,transaction,13.35,Bogo 10
15662,transaction,13.99,Bogo 5
15667,transaction,11.72,Bogo 10
15670,transaction,14.36,3off7
15685,transaction,23.76,Bogo 10
15689,transaction,15.21,2off10
15690,transaction,14.54,3off7
15698,transaction,34.47,5off20
15705,transaction,23.16,3off7
15725,transaction,18.14,3off7
15730,transaction,14.26,2off10
15731,transaction,8.89,2off10
15739,transaction,7.67,Bogo 5
15742,transaction,17.44,2off10
15747,transaction,12.87,Bogo 10
15755,transaction,11.39,Bogo 5
15757,transaction,40.67,2off10
15767,transaction,22.11,2off10
15772,transaction,14.38,3off7
15776,transaction,19.85,2off10
15784,transaction,19.46,Bogo 5
15794,transaction,16.75,3off7
15809,transaction,14.6,2off10
15815,transaction,22.76,Bogo 10
15817,transaction,20.23,2off10
15828,transaction,15.32,Bogo 5
15838,transaction,14.45,Bogo 5
15857,transaction,12.09,Bogo 10
15861,transaction,23.38,5off20
15862,transaction,31.23,2off10
15864,transaction,27.41,3off7
15870,transaction,25.62,3off7
15876,transaction,42.36,Bogo 5
15880,transaction,23.71,3off7
15884,transaction,16.05,Bogo 5
15905,transaction,37.07,2off10
15920,transaction,13.9,Bogo 10
15925,transaction,25.08,3off7
15946,transaction,23.77,2off10
15951,transaction,20.06,3off7
15963,transaction,10.74,3off7
15968,transaction,17.08,3off7
15974,transaction,17.12,2off10
15977,transaction,9.53,Bogo 5
15985,transaction,25.65,2off10
15987,transaction,17.95,3off7
15995,transaction,14.54,Bogo 5
16007,transaction,8.25,Bogo 5
16014,transaction,11.44,Bogo 5
16036,transaction,20.98,2off10
16057,transaction,44.54,Bogo 5
16077,transaction,14.22,2off10
16078,transaction,21.34,3off7
16104,transaction,5.88,Bogo 5
16118,transaction,30.91,2off10
16119,transaction,12.5,Bogo 10
16132,transaction,8.24,3off7
16133,transaction,33.24,3off7
16139,transaction,14.21,Bogo 10
16148,transaction,24.94,Bogo 5
16150,transaction,22.48,3off7
16173,transaction,18.5,Bogo 10
16183,transaction,14.43,2off10
16184,transaction,13.73,3off7
16206,transaction,12.02,Bogo 10
16213,transaction,19.46,2off10
16222,transaction,19.09,2off10
16230,transaction,16.18,Bogo 5
16235,transaction,26.62,2off10
16246,transaction,12.18,2off10
16249,transaction,9.53,Bogo 5
16253,transaction,22.55,Bogo 10
16256,transaction,28.41,Bogo 5
16260,transaction,13.88,2off10
16263,transaction,26.69,Bogo 10
16267,transaction,22.17,5off20
16274,transaction,15.65,2off10
16277,transaction,34.51,2off10
16286,transaction,10.75,2off10
16289,transaction,16.84,2off10
16293,transaction,13.78,2off10
16297,transaction,11.92,Bogo 10
16299,transaction,11.36,Bogo 10
16300,transaction,21.9,Bogo 10
16303,transaction,26.18,3off7
16314,transaction,8.4,Bogo 5
16317,transaction,12.81,2off10
16323,transaction,10.38,Bogo 10
16325,transaction,15.85,Bogo 5
16329,transaction,12.07,Bogo 5
16331,transaction,12.33,Bogo 10
16333,transaction,26.45,2off10
16343,transaction,36.06,Bogo 10
16347,transaction,43.42,Bogo 10
16350,transaction,15.95,2off10
16353,transaction,10.3,Bogo 10
16364,transaction,28.78,5off20
16366,transaction,16.14,2off10
16377,transaction,19.5,3off7
16387,transaction,26.17,Bogo 10
16401,transaction,16.7,3off7
16411,transaction,21.35,2off10
16440,transaction,27.23,Bogo 5
16452,transaction,14.19,Bogo 10
16458,transaction,22.53,Bogo 10
16462,transaction,10.01,3off7
16463,transaction,26.97,Bogo 10
16485,transaction,25.93,5off20
16486,transaction,20.19,2off10
16487,transaction,29.98,Bogo 10
16497,transaction,17.43,Bogo 10
16505,transaction,12.64,2off10
16511,transaction,12.26,Bogo 5
16522,transaction,26.32,2off10
16542,transaction,21.39,3off7
16550,transaction,18.22,2off10
16556,transaction,9.75,3off7
16562,transaction,41.58,Bogo 10
16573,transaction,9.65,Bogo 5
16606,transaction,40.61,Bogo 5
16629,transaction,12.73,3off7
16630,transaction,15.86,2off10
16634,transaction,22.33,Bogo 5
16646,transaction,17.32,Bogo 5
16657,transaction,26.15,Bogo 5
16659,transaction,11.08,3off7
16664,transaction,12.86,Bogo 5
16671,transaction,19.03,2off10
16672,transaction,44.14,3off7
16677,transaction,13.79,2off10
16682,transaction,21.84,2off10
16687,transaction,10.23,Bogo 5
16706,transaction,24.09,2off10
16717,transaction,22.71,2off10
16726,transaction,13.81,Bogo 10
16728,transaction,14.63,2off10
16750,transaction,23.19,2off10
16755,transaction,11.85,Bogo 10
16763,transaction,18.36,2off10
16765,transaction,25.02,2off10
16772,transaction,10.33,3off7
16777,transaction,8.82,Bogo 5
16783,transaction,5.59,Bogo 5
16785,transaction,28.64,5off20
16788,transaction,9.41,Bogo 5
16814,transaction,20.38,Bogo 10
16829,transaction,20.3,Bogo 5
16838,transaction,23.93,2off10
16848,transaction,28.43,3off7
16852,transaction,17.34,Bogo 10
16866,transaction,25.49,Bogo 5
16872,transaction,20.88,Bogo 10
16875,transaction,33.04,Bogo 10
16907,transaction,24.93,Bogo 5
16910,transaction,11.46,Bogo 10
16915,transaction,31.67,Bogo 5
16918,transaction,10.65,Bogo 10
16921,transaction,16.82,2off10
16927,transaction,15.85,Bogo 10
16947,transaction,12.68,3off7
16948,transaction,22.1,Bogo 10
16953,transaction,26.69,Bogo 10
16969,transaction,24.8,Bogo 5
16972,transaction,20.27,Bogo 5
16978,transaction,25.54,2off10
16992,transaction,6.63,2off10
16994,transaction,16.4,2off10
16996,transaction,29.04,Bogo 10
17000,transaction,15.28,2off10
17005,transaction,17.75,Bogo 10
17010,transaction,14.41,5off20
17014,transaction,24.78,Bogo 5
17016,transaction,5.44,Bogo 5
17018,transaction,5.39,Bogo 5
17039,transaction,12.03,Bogo 5
17041,transaction,18.33,2off10
17042,transaction,8.31,3off7
17059,transaction,26.91,3off7
17060,transaction,19.3,3off7
17079,transaction,12.64,Bogo 5
17102,transaction,33.06,2off10
17134,transaction,11.19,3off7
17140,transaction,24.48,Bogo 5
17173,transaction,15.18,Bogo 5
17174,transaction,17.01,2off10
17182,transaction,10.88,2off10
17183,transaction,21.86,2off10
17188,transaction,26.2,2off10
17191,transaction,14.48,3off7
17199,transaction,15.77,Bogo 5
17203,transaction,15.51,3off7
17207,transaction,12.95,2off10
17213,transaction,17.7,Bogo 5
17216,transaction,5.14,Bogo 5
17218,transaction,11.19,Bogo 10
17221,transaction,10.68,2off10
17222,transaction,14.16,Bogo 10
17236,transaction,17.86,Bogo 10
17240,transaction,10.02,Bogo 10
17242,transaction,8.03,3off7
17247,transaction,13.89,Bogo 10
17254,transaction,29.97,Bogo 5
17269,transaction,18.29,Bogo 10
17277,transaction,18.65,2off10
17290,transaction,27.02,3off7
17300,transaction,17.08,Bogo 10
17309,transaction,12.04,2off10
17314,transaction,20.04,Bogo 10
17331,transaction,28.56,Bogo 10
17338,transaction,38.59,Bogo 5
17348,transaction,29.53,3off7
17351,transaction,12.67,3off7
17358,transaction,14.79,2off10
17362,transaction,23.78,Bogo 5
17390,transaction,7.69,3off7
17399,transaction,21.96,3off7
17406,transaction,34.55,Bogo 5
17413,transaction,18.02,Bogo 10
17430,transaction,6.14,Bogo 5
17433,transaction,16.48,Bogo 10
17436,transaction,11.19,2off10
17442,transaction,24.38,5off20
17466,transaction,24.67,3off7
17469,transaction,13.71,3off7
17475,transaction,23.63,2off10
17482,transaction,31.34,Bogo 5
17486,transaction,33.14,3off7
17487,transaction,13.84,Bogo 10
17497,transaction,22.72,Bogo 10
17500,transaction,22.02,2off10
17501,transaction,22.3,Bogo 5
17504,transaction,21.06,Bogo 10
17507,transaction,16.83,3off7
17517,transaction,12.77,Bogo 5
17532,transaction,17.5,Bogo 10
17534,transaction,24.28,2off10
17538,transaction,14.18,Bogo 10
17550,transaction,20.8,Bogo 10
17574,transaction,448.97,2off10
17580,transaction,16.27,2off10
17582,transaction,16.57,Bogo 10
17586,transaction,5.47,Bogo 5
17599,transaction,16.6,Bogo 10
17618,transaction,16.39,Bogo 10
17619,transaction,16.72,2off10
17620,transaction,70.19,2off10
17623,transaction,16.69,Bogo 5
17629,transaction,30.88,Bogo 5
17632,transaction,13.89,3off7
17643,transaction,18.18,Bogo 5
17664,transaction,23.43,2off10
17665,transaction,8.36,3off7
17684,transaction,21.32,2off10
17692,transaction,20.68,5off20
17698,transaction,17.16,Bogo 10
17700,transaction,20.21,Bogo 5
17703,transaction,21.81,Bogo 10
17704,transaction,27.32,3off7
17710,transaction,18.45,Bogo 5
17711,transaction,28.95,3off7
17714,transaction,20.76,Bogo 5
17718,transaction,18.94,2off10
17725,transaction,17.29,2off10
17732,transaction,29.46,3off7
17740,transaction,35.5,Bogo 5
17742,transaction,26.58,Bogo 10
17749,transaction,27.28,3off7
17751,transaction,24.29,Bogo 5
17756,transaction,28.92,Bogo 10
17758,transaction,27.24,Bogo 5
17760,transaction,6.83,3off7
17764,transaction,10.31,2off10
17771,transaction,20.17,Bogo 5
17779,transaction,22.47,3off7
17783,transaction,11.24,2off10
17792,transaction,38.69,2off10
17796,transaction,18.25,3off7
17802,transaction,7.07,Bogo 5
17807,transaction,33.13,2off10
17842,transaction,25.58,2off10
17847,transaction,35.28,Bogo 10
17848,transaction,25.43,2off10
17849,transaction,22.73,5off20
17862,transaction,19.86,Bogo 5
17886,transaction,12.5,Bogo 10
17891,transaction,219.02,Bogo 10
17894,transaction,20.85,5off20
17895,transaction,14.76,Bogo 10
17898,transaction,14.34,Bogo 10
17904,transaction,23.68,Bogo 5
17908,transaction,8.55,Bogo 5
17912,transaction,19.07,Bogo 5
17915,transaction,23,Bogo 5
17920,transaction,16.85,Bogo 5
17921,transaction,12.18,2off10
17928,transaction,16.71,3off7
17933,transaction,6.01,Bogo 5
17947,transaction,31.59,3off7
17949,transaction,11.1,2off10
17960,transaction,20.67,Bogo 5
17987,transaction,18.87,Bogo 10
17989,transaction,5.22,Bogo 5
18000,transaction,25.48,Bogo 10
18006,transaction,26.75,2off10
18018,transaction,22.62,Bogo 10
18032,transaction,11.66,Bogo 10
18034,transaction,26.8,5off20
18036,transaction,40.28,2off10
18054,transaction,14.56,Bogo 10
18056,transaction,36.14,Bogo 10
18058,transaction,22.74,Bogo 5
18069,transaction,14.78,Bogo 10
18077,transaction,19.11,Bogo 10
18087,transaction,20.42,3off7
18098,transaction,9.39,Bogo 5
18102,transaction,19.07,Bogo 10
18108,transaction,15.03,2off10
18116,transaction,13.7,3off7
18117,transaction,28.9,3off7
18122,transaction,22.04,Bogo 10
18131,transaction,29.68,Bogo 10
18134,transaction,14.76,Bogo 5
18147,transaction,18.08,3off7
18174,transaction,10.15,2off10
18180,transaction,20.84,Bogo 10
18181,transaction,29.56,Bogo 5
18184,transaction,22.66,Bogo 10
18187,transaction,7.19,2off10
18195,transaction,23.95,2off10
18202,transaction,34.74,2off10
18226,transaction,19.31,3off7
18228,transaction,628.41,Bogo 10
18249,transaction,10.26,Bogo 5
18277,transaction,17.7,2off10
18282,transaction,25.7,2off10
18289,transaction,31.83,Bogo 10
18291,transaction,10.39,Bogo 10
18295,transaction,4.3,3off7
18300,transaction,29.04,Bogo 10
18305,transaction,9.17,3off7
18307,transaction,37.46,3off7
18310,transaction,28.67,5off20
18312,transaction,21.77,2off10
18320,transaction,19.37,Bogo 10
18328,transaction,23.71,Bogo 10
18330,transaction,17.61,Bogo 10
18333,transaction,11.82,Bogo 10
18339,transaction,23.81,2off10
18381,transaction,17.48,Bogo 10
18387,transaction,7.6,Bogo 5
18388,transaction,14.3,2off10
18397,transaction,11.79,Bogo 10
18403,transaction,27.41,3off7
18406,transaction,26.88,3off7
18417,transaction,19.95,2off10
18426,transaction,13.34,Bogo 5
18431,transaction,7.41,Bogo 5
18436,transaction,13.46,Bogo 5
18442,transaction,27.93,Bogo 5
18448,transaction,13.33,3off7
18453,transaction,22.18,2off10
18455,transaction,22.86,2off10
18458,transaction,29.76,Bogo 5
18469,transaction,18.6,Bogo 5
18477,transaction,10.34,Bogo 5
18481,transaction,20.87,2off10
18490,transaction,871.51,Bogo 10
18504,transaction,26.49,Bogo 5
18523,transaction,11.57,Bogo 10
18540,transaction,36.47,2off10
18550,transaction,19.94,3off7
18567,transaction,27.39,Bogo 10
18572,transaction,20.82,Bogo 5
18577,transaction,8.29,3off7
18579,transaction,18.88,Bogo 10
18589,transaction,2.93,3off7
18599,transaction,9.12,Bogo 5
18605,transaction,20,Bogo 10
18606,transaction,17.98,2off10
18607,transaction,28.13,5off20
18608,transaction,28.49,2off10
18611,transaction,15.86,3off7
18614,transaction,22.3,Bogo 5
18621,transaction,19.8,Bogo 5
18627,transaction,11.27,2off10
18643,transaction,47.45,Bogo 10
18656,transaction,11.26,Bogo 5
18658,transaction,14.13,Bogo 10
18660,transaction,14.45,2off10
18663,transaction,13.08,3off7
18666,transaction,8.4,3off7
18674,transaction,8.14,Bogo 5
18676,transaction,18.3,2off10
18679,transaction,18.78,Bogo 5
18685,transaction,6.01,Bogo 5
18686,transaction,11.29,3off7
18688,transaction,14.03,Bogo 5
18691,transaction,17.85,Bogo 10
18704,transaction,11.04,3off7
18707,transaction,16.06,Bogo 5
18708,transaction,11.81,2off10
18718,transaction,5.28,Bogo 5
18722,transaction,276.36,3off7
18730,transaction,27.26,Bogo 10
18737,transaction,16.27,3off7
18742,transaction,23.02,Bogo 10
18757,transaction,19.82,2off10
18775,transaction,26.28,Bogo 10
18778,transaction,16.79,Bogo 10
18781,transaction,17.39,2off10
18784,transaction,13.92,3off7
18791,transaction,17.96,3off7
18795,transaction,13.06,Bogo 5
18803,transaction,17.7,Bogo 10
18804,transaction,18.49,Bogo 5
18811,transaction,23.44,Bogo 5
18815,transaction,21.46,3off7
18817,transaction,27.69,2off10
18821,transaction,12.15,2off10
18823,transaction,14.17,2off10
18832,transaction,29.76,Bogo 10
18833,transaction,24.34,Bogo 10
18846,transaction,19.23,Bogo 5
18850,transaction,21.82,3off7
18855,transaction,30.28,2off10
18860,transaction,27.06,Bogo 5
18869,transaction,19.67,2off10
18893,transaction,10.7,3off7
18899,transaction,21.78,2off10
18901,transaction,22.04,2off10
18903,transaction,19.66,Bogo 10
18912,transaction,17.77,2off10
18915,transaction,20.31,2off10
18920,transaction,16.52,Bogo 10
18923,transaction,29.22,Bogo 5
18935,transaction,17.17,2off10
18938,transaction,29.43,Bogo 10
18954,transaction,10.21,Bogo 5
18962,transaction,12.22,Bogo 10
18971,transaction,15.86,Bogo 5
18973,transaction,24.23,2off10
18975,transaction,6.71,Bogo 5
18979,transaction,16.48,Bogo 10
18982,transaction,16.46,Bogo 10
18990,transaction,34.23,Bogo 5
19007,transaction,34.32,Bogo 10
19011,transaction,15.1,Bogo 5
19013,transaction,19.01,Bogo 5
19040,transaction,7.1,Bogo 5
19048,transaction,17.48,Bogo 5
19051,transaction,14.17,3off7
19061,transaction,15.47,2off10
19076,transaction,15.45,2off10
19088,transaction,23.78,Bogo 5
19089,transaction,8.43,Bogo 5
19090,transaction,7.25,Bogo 5
19091,transaction,14.54,Bogo 5
19097,transaction,30.56,Bogo 10
19107,transaction,21.75,2off10
19118,transaction,8.47,Bogo 5
19132,transaction,21.42,3off7
19134,transaction,7.92,2off10
19142,transaction,639.59,5off20
19161,transaction,7.93,Bogo 5
19167,transaction,37.29,Bogo 10
19175,transaction,16.87,Bogo 10
19182,transaction,20.48,Bogo 5
19183,transaction,7.61,Bogo 5
19206,transaction,16.17,2off10
19212,transaction,34.96,3off7
19215,transaction,14.82,Bogo 5
19235,transaction,21.22,Bogo 5
19237,transaction,24.97,3off7
19238,transaction,17.28,2off10
19250,transaction,20.29,Bogo 5
19252,transaction,12.92,2off10
19257,transaction,26,5off20
19259,transaction,21.83,Bogo 5
19262,transaction,20.31,2off10
19268,transaction,60.63,Bogo 10
19270,transaction,21.68,5off20
19271,transaction,16.57,2off10
19276,transaction,31.94,2off10
19278,transaction,17.68,3off7
19285,transaction,35.52,Bogo 10
19304,transaction,13.99,Bogo 5
19316,transaction,14.08,2off10
19323,transaction,27.33,2off10
19326,transaction,17.65,Bogo 10
19334,transaction,20.37,2off10
19344,transaction,19.52,3off7
19345,transaction,15.42,Bogo 5
19349,transaction,10.96,Bogo 5
19359,transaction,14.43,2off10
19363,transaction,19.61,Bogo 5
19372,transaction,7.7,Bogo 5
19376,transaction,25.97,2off10
19380,transaction,27.65,Bogo 5
19389,transaction,21.31,Bogo 5
19391,transaction,22.74,Bogo 5
19393,transaction,27.8,Bogo 10
19408,transaction,13.21,Bogo 10
19409,transaction,23.93,Bogo 10
19413,transaction,17.29,Bogo 5
19421,transaction,16.57,3off7
19427,transaction,30.57,3off7
19432,transaction,25.59,2off10
19433,transaction,20.11,3off7
19438,transaction,29.96,Bogo 5
19441,transaction,11.21,Bogo 10
19448,transaction,23.37,2off10
19450,transaction,20.32,2off10
19451,transaction,16.01,3off7
19476,transaction,14.54,Bogo 10
19492,transaction,13.35,2off10
19495,transaction,23.78,Bogo 10
19502,transaction,30.54,3off7
19505,transaction,26.7,Bogo 5
19509,transaction,28.34,3off7
19513,transaction,16.97,Bogo 10
19516,transaction,20.83,3off7
19529,transaction,17.04,Bogo 5
19534,transaction,33.63,2off10
19539,transaction,20.89,Bogo 10
19571,transaction,18.31,2off10
19576,transaction,11.75,2off10
19583,transaction,14.72,3off7
19600,transaction,16.06,3off7
19612,transaction,25.13,Bogo 5
19631,transaction,15.52,3off7
19641,transaction,14.14,2off10
19645,transaction,24.05,2off10
19656,transaction,18.89,3off7
19666,transaction,20.09,Bogo 10
19674,transaction,21.79,5off20
19677,transaction,14.63,2off10
19698,transaction,8.8,3off7
19700,transaction,14.91,3off7
19710,transaction,19.84,Bogo 5
19713,transaction,11.91,Bogo 10
19720,transaction,14.07,2off10
19728,transaction,8.3,3off7
19738,transaction,41.36,Bogo 10
19741,transaction,29.16,2off10
19746,transaction,23.1,Bogo 5
19759,transaction,19.21,Bogo 5
19780,transaction,15.35,2off10
19781,transaction,5.11,Bogo 5
19786,transaction,33.48,Bogo 5
19795,transaction,25.79,Bogo 5
19802,transaction,22.68,3off7
19805,transaction,29.38,Bogo 5
19808,transaction,7.19,Bogo 5
19812,transaction,17.62,2off10
19821,transaction,22.34,Bogo 10
19833,transaction,10.37,2off10
19835,transaction,31.92,3off7
19838,transaction,12.78,2off10
19840,transaction,11.45,3off7
19845,transaction,22.59,3off7
19849,transaction,33.24,3off7
19853,transaction,14.9,Bogo 5
19854,transaction,15.96,Bogo 5
19869,transaction,5.88,2off10
19882,transaction,14.69,Bogo 10
19886,transaction,12.36,Bogo 10
19903,transaction,19.27,Bogo 10
19905,transaction,37.17,Bogo 5
19919,transaction,7.62,Bogo 5
19931,transaction,19.67,3off7
19940,transaction,11.25,Bogo 5
19942,transaction,17.99,Bogo 10
19958,transaction,6.37,2off10
19959,transaction,23.88,Bogo 10
19961,transaction,22.53,Bogo 10
19964,transaction,25.31,3off7
19974,transaction,12.3,3off7
19978,transaction,24.34,Bogo 5
19980,transaction,18.67,Bogo 5
19986,transaction,12.7,Bogo 10
20006,transaction,20.86,Bogo 5
20014,transaction,555.05,Bogo 5
20017,transaction,24.76,2off10
20020,transaction,10.64,Bogo 5
20027,transaction,33.82,2off10
20038,transaction,19.15,3off7
20039,transaction,19.9,2off10
20045,transaction,9.84,Bogo 5
20046,transaction,16.8,Bogo 10
20047,transaction,19.25,2off10
20049,transaction,23.89,5off20
20060,transaction,14.12,3off7
20062,transaction,12.41,2off10
20074,transaction,13.29,Bogo 10
20076,transaction,8.57,2off10
20086,transaction,53.4,2off10
20090,transaction,20.92,Bogo 5
20095,transaction,25.82,Bogo 10
20105,transaction,24.98,2off10
20110,transaction,24.94,2off10
