storeNumber,opening_times
31028-104389,6:30:00
16020-167645,7:30:00
19320-201106,7:00:00
34249-62099,8:00:00
30954-99024,7:00:00
32714-122107,0:00:00
31199-104340,8:00:00
34320-74020,8:00:00
49595-270099,7:30:00
50733-276145,8:00:00
24927-239346,7:30:00
34211-17922,6:30:00
23213-228760,0:00:00
23212-228759,0:00:00
23973-234507,0:00:00
34219-17920,8:00:00
28908-251804,6:30:00
3169-123447,0:00:00
32328-123449,7:00:00
31853-109684,0:00:00
32269-114734,0:00:00
24139-236004,0:00:00
27072-246650,9:00:00
1719-136469,8:30:00
20347-204885,0:00:00
48097-261445,7:00:00
1801-136467,8:30:00
32292-111724,7:00:00
32144-123448,6:30:00
32329-111864,7:00:00
18857-187024,7:30:00
48396-262946,7:30:00
25406-240945,7:00:00
34284-65720,8:00:00
21600-213424,0:00:00
26915-237081,0:00:00
28258-250593,7:30:00
4143-147546,8:00:00
34259-54260,9:00:00
1359-138434,7:00:00
34253-62541,6:00:00
34291-80114,7:00:00
3183-143827,8:00:00
18026-187444,7:00:00
17787-183964,0:00:00
34317-95971,8:00:00
26743-245288,6:30:00
30780-154130,7:30:00
26048-243344,9:00:00
15060-156348,6:30:00
15976-165685,8:00:00
51430-278405,6:00:00
34346-97779,7:30:00
32117-116426,6:30:00
50249-273632,7:00:00
34315-87671,8:00:00
32457-106838,0:00:00
1968-136466,8:00:00
32571-107873,6:30:00
32523-106836,7:00:00
32476-106835,6:30:00
31002-101076,7:00:00
34336-97974,8:00:00
34337-97975,8:00:00
7073-204444,8:00:00
34335-97976,8:00:00
32741-141410,8:00:00
26471-239345,8:00:00
22125-218025,7:00:00
4141-147544,6:30:00
34262-62540,8:00:00
20424-205466,7:00:00
17127-178586,5:45:00
32239-100001,6:00:00
1935-141406,6:00:00
18837-193244,7:30:00
34260-17877,6:00:00
32029-110804,6:00:00
31719-103601,8:00:00
51436-278404,6:30:00
1897-120044,6:00:00
1579-122101,7:30:00
24932-239347,6:00:00
34227-33225,7:30:00
2176-143834,6:30:00
18469-188844,6:30:00
28809-251348,7:00:00
28810-251346,0:00:00
29539-254261,7:30:00
49298-267850,8:00:00
20423-205465,7:00:00
16453-170544,6:00:00
24191-236428,6:30:00
20008-200004,6:00:00
22126-218024,6:00:00
21605-213406,6:30:00
18182-182165,8:30:00
32767-131566,6:30:00
24931-239348,6:00:00
17688-182164,8:00:00
3886-141408,8:30:00
3178-141407,9:30:00
22963-226644,8:00:00
24085-235545,8:00:00
24604-238367,8:00:00
34252-54259,6:00:00
17964-183966,6:00:00
47089-256771,8:00:00
34217-27108,6:30:00
25879-242844,7:30:00
3173-122109,7:30:00
31338-103600,7:30:00
22331-212325,7:00:00
6106-148051,7:30:00
16528-168726,7:00:00
1911-138604,7:00:00
3172-113584,8:00:00
48961-265989,8:00:00
34228-219605,8:30:00
22697-223524,7:00:00
23216-228405,5:30:00
1926-141411,8:30:00
17788-183965,0:00:00
16257-166109,8:00:00
17291-169884,7:00:00
34332-97778,7:30:00
30781-99022,6:30:00
24510-238164,7:00:00
49299-267848,7:00:00
29306-253248,8:00:00
32640-131563,7:00:00
29651-254742,7:30:00
15938-165686,8:00:00
27950-248318,7:00:00
17045-172945,8:00:00
32073-107463,10:00:00
49327-268228,6:30:00
23549-231166,8:00:00
20772-207664,6:30:00
20113-195784,8:30:00
4034-136938,10:00:00
3525-142748,7:00:00
13054-156007,7:00:00
21884-185944,7:00:00
15478-161685,7:00:00
47283-246923,6:30:00
15654-164107,7:00:00
15458-161684,7:00:00
20331-204904,6:30:00
1284-140707,7:00:00
29536-246926,7:00:00
49461-269445,7:00:00
1270-136935,7:00:00
16690-174425,6:30:00
7123-150606,6:30:00
54216-286480,10:00:00
47294-254164,7:30:00
1271-136936,10:00:00
25324-219149,7:00:00
15509-158844,8:00:00
49469-269451,7:00:00
16744-173424,7:30:00
20313-198064,10:00:00
26540-219150,6:30:00
51308-278015,1:00:00
49438-156016,7:00:00
24876-231226,7:00:00
1290-142064,7:30:00
17243-180104,10:00:00
57103-289481,7:00:00
3629-142529,7:00:00
25325-232985,7:00:00
7027-149890,7:00:00
9199-152184,10:00:00
32499-294750,6:30:00
15059-157325,7:00:00
50998-276869,7:00:00
16786-175824,7:00:00
15008-157047,7:00:00
15058-157324,7:00:00
21445-212345,10:00:00
15005-157045,7:30:00
26464-238685,7:00:00
3554-153291,7:00:00
6177-149892,7:00:00
47751-259030,6:30:00
1279-139527,9:00:00
19945-198044,10:00:00
49471-269448,7:00:00
55625-289482,7:00:00
24076-221025,7:00:00
49462-269446,7:00:00
26539-230148,7:00:00
1277-139525,6:30:00
15653-164104,7:00:00
15329-160024,7:00:00
16743-175224,6:30:00
16479-169427,6:30:00
24877-228684,8:00:00
16600-173444,7:00:00
26472-239830,6:30:00
16237-169426,8:00:00
8090-154364,6:30:00
51315-278014,6:30:00
23695-219147,7:00:00
56607-290487,7:00:00
53537-285731,7:00:00
26461-232984,7:00:00
51310-278023,9:00:00
7152-150785,7:00:00
19944-202505,7:00:00
47750-259026,7:00:00
19948-198065,6:30:00
1285-140708,6:30:00
1282-139530,7:00:00
26459-238684,7:00:00
26538-230144,7:00:00
26535-240364,6:30:00
50378-274446,7:00:00
50379-274447,7:00:00
15672-164105,6:30:00
8177-151507,7:00:00
54463-286709,7:00:00
17802-185946,7:00:00
1281-139529,7:00:00
21525-212344,8:30:00
15142-156008,6:30:00
3803-153444,7:00:00
20619-198066,7:00:00
15459-161686,7:00:00
9126-151506,6:30:00
49472-269454,6:00:00
54291-286550,7:00:00
40204-76700,7:30:00
40206-77760,7:00:00
32492-120288,6:30:00
59648-293830,7:00:00
40213-99693,8:00:00
15134-158024,7:30:00
17786-183845,6:30:00
19247-200084,6:30:00
31077-103980,7:00:00
32495-133884,6:30:00
23739-161864,6:00:00
40212-96779,6:15:00
40202-69420,7:00:00
13074-150484,7:30:00
21998-216824,8:00:00
25921-242984,5:00:00
53343-284764,9:00:00
56689-290605,8:00:00
49159-254844,7:30:00
49331-254845,8:00:00
51041-276777,7:00:00
49324-261229,8:00:00
53558-285766,10:00:00
32639-137287,0:00:00
6030-137290,5:00:00
1338-245953,3:30:00
48459-260557,8:00:00
48462-260556,8:00:00
48458-252564,7:00:00
20374-205052,10:30:00
15272-158067,7:00:00
26401-240667,7:30:00
62248-296857,6:30:00
26399-240668,7:30:00
53522-285716,8:00:00
53524-285717,8:00:00
20894-198024,8:00:00
51471-277548,8:00:00
51470-277465,8:00:00
6104-148664,8:00:00
48460-262584,7:30:00
18497-185504,11:00:00
57636-291729,6:00:00
57637-291730,6:00:00
19372-201645,8:00:00
17299-177127,7:30:00
15759-164604,9:00:00
60386-294648,8:30:00
51472-277468,8:00:00
59943-294077,8:00:00
59946-294079,8:00:00
55318-289148,7:00:00
58555-292747,7:00:00
1349-112145,6:30:00
34345-98401,10:00:00
1582-122086,7:00:00
17189-179925,6:30:00
32717-122090,8:30:00
32716-134986,10:00:00
15439-161444,6:30:00
34324-95973,0:00:00
34286-79020,7:30:00
34234-33223,8:30:00
34218-27369,9:00:00
34302-86720,7:00:00
34308-93504,6:00:00
32580-128367,6:30:00
13053-153764,9:00:00
4641-99593,5:30:00
138-23,5:30:00
4866-113885,5:30:00
55048-288809,5:00:00
4852-100915,5:00:00
79563-103174,7:00:00
58255-290135,6:00:00
140-2120,5:30:00
4482-89003,5:30:00
18727-296865,5:00:00
4640-99641,5:00:00
4201-209164,5:30:00
16139-163904,6:30:00
4659-100573,5:30:00
5077-140164,7:00:00
4100-132104,5:30:00
20831-207284,6:00:00
4972-104887,5:30:00
74378-92181,7:00:00
51852-279724,5:00:00
4501-277760,5:00:00
79601-107921,7:00:00
4221-46,7:00:00
58968-291604,6:00:00
74841-100500,7:00:00
4723-103830,5:30:00
4389-5324,5:30:00
4553-101499,5:30:00
56496-289940,7:00:00
29965-256056,5:30:00
15687-157685,6:00:00
3067-137671,6:00:00
4610-45179,7:00:00
4739-103079,5:00:00
24247-236889,6:00:00
4818-104454,6:00:00
22436-210404,6:00:00
70310-133529,6:00:00
4660-100750,5:30:00
74843-99493,7:00:00
4464-85803,5:30:00
29914-253954,5:30:00
27309-246886,7:00:00
9039-273384,5:30:00
4923-108672,5:30:00
4821-104450,5:30:00
78056-116695,7:30:00
4578-96122,5:00:00
127-168,5:30:00
4539-94946,5:00:00
74720-96049,7:00:00
4466-86440,5:00:00
4522-87720,5:00:00
18376-180065,6:00:00
4920-277757,6:00:00
4644-99427,6:00:00
185-122,5:30:00
22372-152325,5:30:00
22863-224507,6:00:00
4502-87721,5:00:00
4471-87100,5:30:00
4692-101458,5:30:00
74811-99382,7:00:00
4453-82766,5:30:00
79644-107081,7:00:00
4753-103524,5:30:00
4341-1741,6:00:00
4599-96885,5:00:00
4359-1858,6:00:00
53011-270704,7:00:00
191-128,6:00:00
4213-35,6:00:00
4771-104877,5:30:00
22139-218106,7:00:00
74845-100503,7:00:00
5031-147306,7:00:00
53553-274193,7:00:00
151-119,5:30:00
157-286340,5:30:00
21730-212025,7:00:00
4410-30299,5:00:00
4449-79361,5:30:00
4474-29355,6:30:00
4370-10280,6:00:00
4008-106736,6:00:00
4890-108884,6:30:00
4391-17174,6:00:00
25398-237456,6:00:00
24612-235544,6:00:00
160-112,6:00:00
21643-203264,7:00:00
4625-98621,5:30:00
174-106,5:30:00
158-113,6:00:00
60058-294299,7:00:00
4327-1304,5:30:00
58502-292570,9:00:00
4591-97339,5:30:00
4576-96682,5:30:00
74717-97378,7:00:00
74182-31601,7:00:00
4849-103752,5:00:00
121-82,6:00:00
166-289786,5:00:00
74933-102399,8:00:00
57791-289809,5:00:00
21144-188664,6:30:00
4628-97843,6:00:00
74730-97380,7:00:00
20581-108547,7:30:00
4372-10792,7:30:00
49103-265264,7:00:00
55870-286782,6:00:00
4839-107715,6:00:00
57949-286112,6:30:00
4674-100799,6:00:00
51236-269184,6:00:00
4570-95595,7:00:00
55387-286050,8:00:00
4700-102138,6:00:00
4955-129648,7:00:00
51926-280106,6:00:00
58016-291813,6:00:00
21343-165744,7:30:00
4822-106553,6:00:00
18475-164544,8:00:00
63572-297204,8:00:00
16210-155886,6:30:00
4536-94593,6:00:00
15744-159744,9:30:00
18277-171664,7:00:00
4317-1381,9:00:00
67042-301398,8:00:00
59602-293817,6:00:00
4729-102626,6:00:00
4722-103297,6:00:00
59371-293582,6:00:00
15844-157546,6:00:00
59193-293420,6:00:00
63621-297911,7:00:00
58319-291795,6:00:00
15718-159544,7:00:00
6019-142105,5:30:00
4582-96129,6:30:00
4815-107007,6:00:00
4807-107185,6:30:00
4800-104920,6:30:00
26192-209285,8:00:00
4733-103130,6:00:00
4622-97838,6:00:00
6066-148788,8:00:00
4331-1859,8:00:00
28112-248985,7:00:00
5021-147847,7:00:00
74842-99498,7:00:00
4907-103832,6:00:00
4712-102814,6:00:00
79611-102933,7:00:00
4286-775,6:00:00
4479-91365,6:00:00
22119-214745,6:00:00
16314-168765,7:30:00
15628-157391,7:30:00
15557-294675,8:00:00
74760-97397,7:00:00
20542-188767,6:00:00
29208-238104,6:00:00
74935-102407,7:00:00
47083-256668,6:00:00
16391-168430,7:00:00
23089-214744,6:00:00
79591-102936,7:00:00
26136-242986,7:00:00
4857-108302,6:00:00
59119-292273,6:00:00
4630-99174,6:00:00
19822-199289,8:00:00
4837-103833,5:30:00
4096-130484,6:30:00
4618-98388,6:00:00
15390-281086,7:30:00
4820-30260,6:00:00
74483-96466,7:00:00
4931-125724,6:00:00
4450-82541,6:00:00
65529-299018,6:00:00
52379-215265,6:00:00
55868-285802,5:30:00
4943-120324,6:00:00
4519-81741,6:00:00
79612-102940,7:00:00
16810-170744,5:30:00
79595-108551,7:00:00
4670-100005,6:00:00
4108-139065,6:00:00
20081-188768,5:30:00
50329-273645,7:00:00
28130-215266,6:00:00
79600-102408,7:00:00
51387-266604,5:30:00
56557-288494,6:00:00
74500-96848,7:00:00
16459-159649,8:00:00
4939-128484,6:00:00
4995-137685,6:00:00
4752-103831,6:00:00
47435-247117,6:00:00
23363-229224,6:00:00
4797-251564,5:30:00
17357-167527,6:00:00
4853-107841,5:30:00
64671-298188,7:00:00
51716-276964,7:00:00
74471-96065,7:00:00
4602-94979,5:30:00
27311-246876,7:00:00
57030-290950,7:00:00
4308-1512,5:30:00
16668-165944,6:00:00
4099-105511,5:30:00
16971-170564,5:30:00
4876-107838,6:00:00
58168-290801,5:30:00
4619-98394,5:30:00
79555-106107,7:00:00
79566-103261,8:00:00
3138-135605,7:00:00
4411-9638,5:30:00
52698-238102,6:00:00
4601-97847,6:00:00
4537-95048,5:30:00
50324-272365,5:30:00
74744-97387,7:00:00
4446-79061,6:00:00
74746-97383,7:00:00
4273-876,6:30:00
54359-286116,7:00:00
4447-286118,8:30:00
53552-272744,6:00:00
4280-279985,6:00:00
26826-244166,6:30:00
4272-1075,5:30:00
74853-100964,7:00:00
4819-105807,5:30:00
72476-4596,7:00:00
17310-177744,6:00:00
18774-159648,7:00:00
57038-290654,8:00:00
4413-13201,6:00:00
4567-96456,5:30:00
4412-48899,5:30:00
4875-119885,5:30:00
4513-93211,6:00:00
74984-102932,7:00:00
22865-223125,6:00:00
4935-121504,5:30:00
19164-169105,6:30:00
75976-100261,6:30:00
4781-104565,5:30:00
53315-271648,6:00:00
4658-100562,5:00:00
51697-279066,6:00:00
4785-104821,7:00:00
4422-271544,6:00:00
20386-204744,6:00:00
4405-29335,8:00:00
79781-133528,7:00:00
4328-1527,5:30:00
25625-240506,5:00:00
15971-161531,7:00:00
4546-95139,5:00:00
4545-95047,6:30:00
192-130,7:00:00
22059-215547,7:00:00
4326-1910,7:00:00
56794-282106,6:00:00
190-127,6:00:00
122-83,6:00:00
4376-10281,6:00:00
59490-293580,7:00:00
132-89,5:30:00
4223-178664,6:30:00
74865-97799,7:00:00
146-291506,6:30:00
4786-105193,6:00:00
4234-522,5:30:00
130-87,6:00:00
59075-267926,7:30:00
74955-103265,7:00:00
4262-779,5:30:00
74256-51879,6:00:00
79652-104215,6:00:00
74469-95981,7:00:00
134-200,7:30:00
4847-100916,7:30:00
9940-96882,5:00:00
74255-51779,6:00:00
70369-128724,7:00:00
64668-298098,6:00:00
3286-290340,5:00:00
74882-99767,6:30:00
74267-130085,6:00:00
13776-105935,5:00:00
3279-1869,5:00:00
74770-75586,6:00:00
4615-98529,6:30:00
79432-102666,6:00:00
74156-31602,7:00:00
133-256084,5:30:00
48933-263304,9:00:00
4673-99704,5:30:00
4520-213505,5:00:00
4393-22801,7:00:00
4987-133207,6:00:00
4554-95426,5:30:00
4741-100791,6:00:00
4910-123407,5:30:00
16811-163345,5:30:00
79572-107082,7:00:00
4989-133209,5:30:00
51956-270745,7:00:00
22373-199293,6:00:00
75264-94935,8:00:00
66551-300868,6:00:00
66552-300867,6:00:00
4643-99833,6:00:00
57271-291145,7:00:00
173-236,6:00:00
4571-95427,6:00:00
4574-96418,5:30:00
4924-125024,6:00:00
60178-294342,7:00:00
79712-107922,7:00:00
141-227,6:00:00
170-49,6:00:00
79607-97796,7:00:00
4243-41,6:00:00
4631-97848,6:00:00
4634-99283,5:30:00
79542-102931,7:00:00
17770-182188,7:30:00
23362-229225,9:00:00
4337-1931,6:30:00
64636-298641,6:00:00
16944-165970,5:30:00
79531-103262,7:00:00
1549-108548,7:00:00
75487-115268,6:30:00
4423-63940,5:30:00
74832-99496,7:00:00
4403-15393,6:30:00
74943-103267,7:00:00
4894-119405,7:00:00
22729-216504,5:30:00
4694-102072,5:30:00
54984-288775,8:30:00
51132-276429,5:30:00
65586-284465,7:00:00
4892-117884,5:30:00
16864-150416,7:30:00
4648-99931,6:00:00
54789-277446,7:30:00
4523-93970,6:30:00
66638-300776,7:00:00
50879-263645,6:00:00
76748-106267,8:00:00
10609-101494,5:30:00
66639-300773,7:00:00
47127-248044,7:00:00
28081-243409,6:00:00
4358-2079,7:00:00
55298-289122,6:00:00
53822-286044,5:30:00
4919-284906,5:30:00
161-190,5:30:00
74965-103271,7:00:00
21731-200386,7:00:00
4563-96073,6:30:00
22867-224828,7:00:00
4677-101293,5:30:00
4900-119884,6:00:00
79645-113146,7:00:00
61567-294731,5:30:00
4687-100789,6:00:00
79539-97379,7:00:00
125-167,6:00:00
178-78,5:00:00
72112-2995,6:30:00
4426-63922,7:30:00
163-250,5:30:00
55394-284585,8:00:00
72416-3788,5:00:00
72343-6246,6:00:00
3646-142867,5:00:00
72346-6249,5:00:00
183-142,5:00:00
29597-191624,6:00:00
4646-98483,6:00:00
27933-220484,8:00:00
4841-109906,6:00:00
48200-252825,7:00:00
52585-280626,9:00:00
4636-255353,6:00:00
63617-286049,7:00:00
4637-99042,5:30:00
4495-93179,6:30:00
22078-206624,6:30:00
22368-219071,7:00:00
22438-212524,6:00:00
27007-240848,7:00:00
21891-207467,6:00:00
4232-772,5:30:00
56473-289530,6:00:00
61237-295549,6:00:00
23689-232644,6:00:00
4524-93176,6:30:00
27130-106119,7:00:00
75438-106189,8:00:00
4518-93219,5:30:00
19474-181945,6:00:00
3845-145984,8:00:00
4225-767,0:00:00
21792-214225,6:00:00
58770-292993,6:00:00
8178-146684,6:30:00
4455-84621,7:00:00
4300-884,6:00:00
18199-184327,10:00:00
4270-186347,5:30:00
4497-90784,6:30:00
4720-103563,6:30:00
23325-228024,8:00:00
15824-164464,7:00:00
58364-290635,8:00:00
15631-158804,5:30:00
60044-292769,7:00:00
63125-295511,7:00:00
47988-253946,7:00:00
20991-207444,6:00:00
22866-225584,6:00:00
56315-278012,5:30:00
4208-524,6:00:00
4402-2830,6:00:00
4460-67901,6:00:00
7160-149825,8:00:00
47561-255989,5:30:00
4448-67903,5:30:00
4621-95876,8:00:00
55936-286696,8:00:00
74992-102425,7:00:00
57285-291356,6:00:00
74993-103264,7:00:00
74754-97377,7:00:00
4299-1378,6:00:00
4577-96689,5:00:00
17772-182189,6:00:00
4558-95730,5:00:00
4481-89662,5:30:00
74461-95602,7:00:00
4620-97785,4:30:00
58093-285570,5:00:00
139-24,6:00:00
4721-103479,5:00:00
4775-103544,5:00:00
17256-103543,6:00:00
4726-101459,4:30:00
4713-100741,4:30:00
4231-39,5:30:00
4105-119524,5:00:00
4783-100748,5:30:00
74758-97376,7:30:00
175-242,5:30:00
18290-186230,6:30:00
52925-281393,6:00:00
4406-29575,5:30:00
195-954,5:00:00
74757-97374,7:00:00
4596-97669,6:00:00
4811-104761,5:00:00
4468-84041,5:00:00
4473-190624,7:30:00
147-19,5:30:00
144-16,5:00:00
4269-1257,5:30:00
4529-94428,5:00:00
194-140,5:00:00
62606-296718,7:00:00
22435-204730,6:00:00
54052-285605,5:00:00
4727-103669,5:30:00
54612-286625,5:00:00
21565-204745,5:00:00
4255-961,5:00:00
4941-104025,6:30:00
27291-246105,5:00:00
4715-101540,5:00:00
4483-88804,5:30:00
79646-108553,7:00:00
120-171,5:00:00
18235-152330,5:30:00
20322-198464,5:00:00
142-25,6:00:00
74830-100386,7:00:00
5039-149606,5:30:00
58873-292713,6:00:00
18977-185484,6:00:00
57236-289747,6:00:00
4362-5763,6:00:00
51717-276963,7:00:00
16768-154344,6:00:00
4647-99935,6:30:00
5009-154021,8:00:00
63620-297895,7:00:00
55383-289245,8:00:00
47563-258408,5:30:00
58013-289217,6:00:00
59617-293838,6:00:00
60185-294411,7:00:00
4762-245326,6:00:00
4338-291134,5:00:00
4097-139548,5:00:00
57951-291945,5:30:00
60048-292780,7:00:00
4886-107868,6:00:00
19587-177724,7:00:00
63657-298073,6:00:00
63623-297894,7:00:00
4288-1222,7:30:00
22642-222004,6:00:00
59523-293622,6:00:00
47247-256549,7:30:00
27779-242428,8:00:00
24142-223752,8:30:00
5033-151647,7:30:00
4747-104225,5:00:00
50436-274185,7:00:00
56560-290457,6:00:00
52381-280365,6:00:00
53702-274207,6:00:00
4584-96820,6:00:00
58591-291969,6:00:00
4901-113505,6:30:00
15722-155290,6:00:00
4979-133665,6:00:00
16903-173366,7:00:00
49241-265204,8:00:00
4833-107475,6:30:00
74844-96803,7:00:00
4443-296866,5:00:00
57874-288957,5:00:00
56056-286472,5:00:00
4840-238618,5:00:00
26373-289077,5:00:00
58418-292069,5:00:00
50687-274906,5:00:00
4442-78640,5:30:00
26135-243089,7:00:00
4661-99980,5:30:00
57820-291408,5:00:00
27105-246044,5:00:00
1633-104763,7:00:00
70080-103268,6:30:00
177-239,6:00:00
63281-291904,7:00:00
58464-291618,4:30:00
4623-98618,5:30:00
59431-291605,4:30:00
13422-103654,5:00:00
79585-104972,6:00:00
54123-281406,6:00:00
354-280971,5:00:00
23339-229084,6:00:00
321-153984,4:30:00
9378-94210,4:30:00
55354-288707,6:00:00
22386-78901,6:00:00
4590-97211,5:30:00
4419-58659,6:00:00
4746-101457,6:00:00
4042-138017,7:00:00
4452-79463,6:00:00
4645-99110,6:30:00
4743-103298,6:30:00
23280-204964,6:30:00
26281-243832,6:30:00
54228-286471,6:30:00
55389-286621,8:00:00
4717-102447,6:00:00
55463-289303,9:00:00
6189-149865,8:00:00
75972-106123,6:00:00
4906-124044,6:00:00
4525-93920,6:00:00
4703-102543,5:30:00
4609-97961,6:00:00
63625-298062,8:00:00
49141-266125,6:30:00
28043-249493,6:00:00
55370-288978,8:00:00
23123-226945,7:00:00
21387-211744,8:00:00
5161-135184,6:00:00
73735-106117,8:00:00
4585-95347,6:00:00
4982-105180,5:30:00
21883-215124,6:00:00
55183-289008,6:00:00
75397-104159,6:30:00
16078-166544,5:30:00
4863-286832,9:30:00
4580-96128,6:30:00
15962-158584,8:00:00
12125-152237,8:00:00
4965-126344,6:00:00
20682-200387,7:00:00
4905-110264,6:00:00
4384-253006,6:00:00
4732-104193,6:00:00
29443-253504,6:30:00
4612-220385,8:30:00
63624-298158,8:00:00
15977-156245,5:30:00
54360-286336,6:00:00
73734-106121,8:00:00
47666-232784,5:30:00
4804-106564,6:00:00
4207-525,5:30:00
4254-586,6:00:00
63840-296006,7:00:00
49300-263769,7:00:00
4594-97209,6:00:00
51780-278727,7:00:00
4699-102549,6:00:00
54254-286493,7:00:00
4884-116244,6:00:00
4827-106769,6:30:00
54245-286491,7:00:00
4564-95253,6:00:00
79647-107919,7:00:00
4605-94980,6:30:00
4465-85802,6:00:00
53490-266444,8:00:00
4883-108964,6:30:00
60177-291828,6:00:00
74712-97400,7:00:00
4445-14131,6:30:00
49104-265265,7:00:00
6068-147845,7:00:00
56335-286130,6:30:00
48192-261885,10:00:00
4985-137687,6:00:00
21451-199285,7:30:00
4444-149991,8:00:00
17604-151645,6:00:00
70329-139744,7:00:00
4698-101646,6:00:00
4794-104314,6:00:00
4896-119284,6:00:00
74867-97803,7:00:00
15964-161184,7:00:00
48787-264165,7:00:00
25623-240886,6:30:00
74728-97401,7:00:00
74465-67181,7:00:00
79592-102422,7:00:00
60826-293130,6:00:00
16143-152236,5:30:00
4897-109785,6:00:00
60830-294726,6:00:00
4197-140458,6:00:00
17600-171685,5:30:00
60507-294694,6:00:00
58426-291358,7:00:00
70000-120609,5:00:00
23283-228465,6:00:00
25874-242409,7:00:00
56997-290461,6:00:00
20593-206884,6:00:00
19818-186625,6:30:00
75933-106225,5:00:00
29915-255605,6:00:00
75924-102701,5:00:00
75688-84983,4:30:00
24039-235146,0:00:00
60070-223747,7:00:00
58155-290445,7:00:00
4303-1148,5:30:00
75624-84981,5:00:00
56428-290339,8:00:00
23275-225064,6:00:00
29141-252625,8:00:00
58378-292399,8:00:00
18725-193808,4:00:00
27312-247111,5:00:00
61580-296055,6:00:00
4371-256584,9:00:00
17220-168432,7:00:00
20687-181584,6:00:00
25873-241154,7:00:00
56976-290976,6:00:00
53982-284884,7:00:00
4608-98091,6:00:00
22295-202870,6:30:00
4408-6346,5:30:00
19842-199404,5:30:00
20834-203586,7:00:00
4613-98127,6:00:00
79267-99847,8:00:00
52762-280748,6:00:00
61699-296119,5:30:00
25747-242317,6:00:00
4291-1393,6:00:00
18196-186624,6:00:00
23244-228105,6:00:00
4387-23529,6:00:00
75482-115327,7:30:00
60043-292778,7:00:00
25703-213566,7:30:00
60056-294115,7:00:00
23090-212865,6:00:00
16144-164684,5:30:00
25370-240804,6:00:00
4477-265766,6:30:00
5023-145349,8:00:00
4761-103569,6:00:00
60968-295300,6:00:00
61583-295713,8:00:00
4916-124147,5:30:00
4292-1221,6:30:00
54658-288386,5:30:00
4764-275526,7:00:00
58132-289531,5:30:00
59270-293227,8:00:00
54361-279904,6:00:00
55346-288947,8:00:00
55422-289291,6:00:00
51899-279885,5:30:00
66640-300792,6:00:00
16700-166264,6:00:00
54364-276439,6:00:00
66642-301161,6:00:00
4265-1032,6:30:00
19865-177964,9:30:00
4791-104690,6:00:00
4927-122112,5:30:00
23418-229684,7:00:00
73966-138016,8:00:00
4951-128928,6:00:00
4874-115910,6:30:00
4134-141704,7:00:00
4917-119105,6:00:00
4836-106373,5:30:00
47032-252217,7:00:00
55710-286538,7:00:00
74985-102401,7:00:00
74484-96467,7:00:00
20883-207365,5:30:00
63573-298192,7:00:00
4559-95425,6:30:00
79698-120206,7:00:00
18259-176605,7:00:00
15548-64121,7:00:00
4381-16457,6:00:00
4250-932,6:30:00
74714-97382,7:00:00
